RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"51,358",+/-194,(X),(X),"24,037",+/-148,(X),(X),"27,321",+/-112,(X),(X)
High school graduate or higher,"46,090",+/-410,89.7%,+/-0.7,"21,481",+/-304,89.4%,+/-1.2,"24,609",+/-303,90.1%,+/-1.0
Bachelor's degree or higher,"10,716",+/-574,20.9%,+/-1.1,"5,112",+/-361,21.3%,+/-1.5,"5,604",+/-392,20.5%,+/-1.4
"White alone, not Hispanic or Latino","50,563",+/-39,(X),(X),"23,757",+/-22,(X),(X),"26,806",+/-22,(X),(X)
High school graduate or higher,"45,416",+/-384,89.8%,+/-0.8,"21,249",+/-278,89.4%,+/-1.2,"24,167",+/-271,90.2%,+/-1.0
Bachelor's degree or higher,"10,550",+/-591,20.9%,+/-1.2,"5,001",+/-354,21.1%,+/-1.5,"5,549",+/-411,20.7%,+/-1.5
Black alone,"3,625",+/-182,(X),(X),"1,813",+/-97,(X),(X),"1,812",+/-158,(X),(X)
High school graduate or higher,"3,028",+/-240,83.5%,+/-5.4,"1,410",+/-155,77.8%,+/-7.0,"1,618",+/-168,89.3%,+/-6.9
Bachelor's degree or higher,338,+/-128,9.3%,+/-3.5,139,+/-84,7.7%,+/-4.7,199,+/-90,11.0%,+/-5.0
American Indian or Alaska Native alone,293,+/-90,(X),(X),179,+/-72,(X),(X),114,+/-49,(X),(X)
High school graduate or higher,260,+/-79,88.7%,+/-11.6,162,+/-69,90.5%,+/-15.3,98,+/-43,86.0%,+/-17.7
Bachelor's degree or higher,9,+/-13,3.1%,+/-4.5,0,+/-27,0.0%,+/-15.4,9,+/-13,7.9%,+/-11.2
Asian alone,622,+/-120,(X),(X),252,+/-93,(X),(X),370,+/-93,(X),(X)
High school graduate or higher,490,+/-139,78.8%,+/-17.1,202,+/-110,80.2%,+/-27.6,288,+/-86,77.8%,+/-12.7
Bachelor's degree or higher,331,+/-147,53.2%,+/-24.1,157,+/-94,62.3%,+/-28.6,174,+/-85,47.0%,+/-24.4
Native Hawaiian and Other Pacific Islander alone,17,+/-14,(X),(X),7,+/-11,(X),(X),10,+/-14,(X),(X)
High school graduate or higher,17,+/-14,100.0%,+/-69.1,7,+/-11,100.0%,+/-100.0,10,+/-14,100.0%,+/-90.1
Bachelor's degree or higher,0,+/-27,0.0%,+/-69.1,0,+/-27,0.0%,+/-100.0,0,+/-27,0.0%,+/-90.1
Some other race alone,421,+/-210,(X),(X),308,+/-197,(X),(X),113,+/-67,(X),(X)
High school graduate or higher,115,+/-85,27.3%,+/-26.8,78,+/-75,25.3%,+/-37.0,37,+/-29,32.7%,+/-24.5
Bachelor's degree or higher,24,+/-25,5.7%,+/-7.6,8,+/-15,2.6%,+/-6.9,16,+/-20,14.2%,+/-18.0
Two or more races,644,+/-208,(X),(X),244,+/-133,(X),(X),400,+/-171,(X),(X)
High school graduate or higher,636,+/-208,98.8%,+/-2.2,236,+/-130,96.7%,+/-5.7,400,+/-171,100.0%,+/-7.2
Bachelor's degree or higher,180,+/-131,28.0%,+/-17.0,74,+/-53,30.3%,+/-22.4,106,+/-128,26.5%,+/-25.5
Hispanic or Latino Origin,"1,375",+/-66,(X),(X),663,+/-51,(X),(X),712,+/-49,(X),(X)
High school graduate or higher,918,+/-213,66.8%,+/-15.6,356,+/-184,53.7%,+/-28.5,562,+/-93,78.9%,+/-12.0
Bachelor's degree or higher,179,+/-105,13.0%,+/-7.8,124,+/-86,18.7%,+/-13.7,55,+/-43,7.7%,+/-6.1
