Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,721",+/-66,(X),(X),"1,791",+/-37,(X),(X),"1,930",+/-55,(X),(X)
Less than high school graduate,447,+/-97,12.0%,+/-2.6,289,+/-88,16.1%,+/-5.0,158,+/-69,8.2%,+/-3.6
High school graduate (includes equivalency),"1,267",+/-190,34.0%,+/-5.2,661,+/-137,36.9%,+/-7.6,606,+/-118,31.4%,+/-6.2
Some college or associate's degree,"1,715",+/-195,46.1%,+/-5.1,774,+/-129,43.2%,+/-7.1,941,+/-133,48.8%,+/-6.4
Bachelor's degree or higher,292,+/-77,7.8%,+/-2.0,67,+/-34,3.7%,+/-1.9,225,+/-67,11.7%,+/-3.5
Population 25 years and over,"24,821",+/-65,(X),(X),"12,058",+/-51,(X),(X),"12,763",+/-45,(X),(X)
Less than 9th grade,566,+/-115,2.3%,+/-0.5,256,+/-77,2.1%,+/-0.6,310,+/-84,2.4%,+/-0.7
"9th to 12th grade, no diploma","1,980",+/-284,8.0%,+/-1.1,"1,019",+/-202,8.5%,+/-1.7,961,+/-148,7.5%,+/-1.2
High school graduate (includes equivalency),"10,770",+/-472,43.4%,+/-1.9,"5,282",+/-314,43.8%,+/-2.6,"5,488",+/-292,43.0%,+/-2.3
"Some college, no degree","4,943",+/-352,19.9%,+/-1.4,"2,488",+/-243,20.6%,+/-2.0,"2,455",+/-226,19.2%,+/-1.8
Associate's degree,"2,093",+/-213,8.4%,+/-0.9,833,+/-129,6.9%,+/-1.1,"1,260",+/-163,9.9%,+/-1.3
Bachelor's degree,"2,769",+/-289,11.2%,+/-1.2,"1,406",+/-194,11.7%,+/-1.6,"1,363",+/-163,10.7%,+/-1.3
Graduate or professional degree,"1,700",+/-270,6.8%,+/-1.1,774,+/-164,6.4%,+/-1.4,926,+/-159,7.3%,+/-1.2
Percent high school graduate or higher,(X),(X),89.7%,+/-1.2,(X),(X),89.4%,+/-1.7,(X),(X),90.0%,+/-1.2
Percent bachelor's degree or higher,(X),(X),18.0%,+/-1.6,(X),(X),18.1%,+/-2.0,(X),(X),17.9%,+/-1.8
Population 25 to 34 years,"4,316",+/-72,(X),(X),"2,255",+/-66,(X),(X),"2,061",+/-31,(X),(X)
High school graduate or higher,"3,973",+/-147,92.1%,+/-2.9,"2,051",+/-111,91.0%,+/-4.0,"1,922",+/-86,93.3%,+/-3.7
Bachelor's degree or higher,"1,160",+/-178,26.9%,+/-4.1,520,+/-105,23.1%,+/-4.6,640,+/-106,31.1%,+/-5.1
Population 35 to 44 years,"4,437",+/-52,(X),(X),"2,254",+/-38,(X),(X),"2,183",+/-30,(X),(X)
High school graduate or higher,"4,032",+/-155,90.9%,+/-3.4,"2,060",+/-81,91.4%,+/-3.5,"1,972",+/-98,90.3%,+/-4.3
Bachelor's degree or higher,848,+/-139,19.1%,+/-3.2,407,+/-88,18.1%,+/-4.0,441,+/-94,20.2%,+/-4.3
Population 45 to 64 years,"10,339",+/-71,(X),(X),"5,116",+/-47,(X),(X),"5,223",+/-53,(X),(X)
High school graduate or higher,"9,473",+/-185,91.6%,+/-1.7,"4,591",+/-147,89.7%,+/-2.7,"4,882",+/-94,93.5%,+/-1.7
Bachelor's degree or higher,"1,631",+/-222,15.8%,+/-2.1,867,+/-153,16.9%,+/-3.0,764,+/-118,14.6%,+/-2.2
Population 65 years and over,"5,729",+/-54,(X),(X),"2,433",+/-22,(X),(X),"3,296",+/-43,(X),(X)
High school graduate or higher,"4,797",+/-138,83.7%,+/-2.4,"2,081",+/-68,85.5%,+/-2.9,"2,716",+/-107,82.4%,+/-3.1
Bachelor's degree or higher,830,+/-142,14.5%,+/-2.5,386,+/-78,15.9%,+/-3.2,444,+/-106,13.5%,+/-3.2
