RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"24,154",+/-69,(X),(X),"11,709",+/-55,(X),(X),"12,445",+/-42,(X),(X)
High school graduate or higher,"21,837",+/-289,90.4%,+/-1.2,"10,632",+/-181,90.8%,+/-1.4,"11,205",+/-164,90.0%,+/-1.3
Bachelor's degree or higher,"4,645",+/-308,19.2%,+/-1.3,"2,223",+/-187,19.0%,+/-1.6,"2,422",+/-215,19.5%,+/-1.7
"White alone, not Hispanic or Latino","23,967",+/-24,(X),(X),"11,616",+/-24,(X),(X),"12,351",+/-24,(X),(X)
High school graduate or higher,"21,694",+/-271,90.5%,+/-1.1,"10,560",+/-167,90.9%,+/-1.4,"11,134",+/-154,90.1%,+/-1.2
Bachelor's degree or higher,"4,619",+/-308,19.3%,+/-1.3,"2,207",+/-186,19.0%,+/-1.6,"2,412",+/-213,19.5%,+/-1.7
Black alone,172,+/-57,(X),(X),92,+/-46,(X),(X),80,+/-47,(X),(X)
High school graduate or higher,157,+/-55,91.3%,+/-9.8,77,+/-44,83.7%,+/-17.9,80,+/-47,100.0%,+/-30.3
Bachelor's degree or higher,17,+/-23,9.9%,+/-12.0,0,+/-24,0.0%,+/-27.2,17,+/-23,21.3%,+/-25.4
American Indian or Alaska Native alone,72,+/-35,(X),(X),22,+/-21,(X),(X),50,+/-36,(X),(X)
High school graduate or higher,50,+/-38,69.4%,+/-30.6,8,+/-11,36.4%,+/-40.6,42,+/-37,84.0%,+/-25.2
Bachelor's degree or higher,0,+/-24,0.0%,+/-32.7,0,+/-24,0.0%,+/-60.7,0,+/-24,0.0%,+/-40.3
Asian alone,148,+/-28,(X),(X),71,+/-19,(X),(X),77,+/-19,(X),(X)
High school graduate or higher,113,+/-36,76.4%,+/-24.4,71,+/-19,100.0%,+/-33.0,42,+/-36,54.5%,+/-47.0
Bachelor's degree or higher,23,+/-24,15.5%,+/-15.4,13,+/-19,18.3%,+/-24.8,10,+/-15,13.0%,+/-17.3
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,164,+/-76,(X),(X),90,+/-62,(X),(X),74,+/-49,(X),(X)
High school graduate or higher,102,+/-74,62.2%,+/-36.5,79,+/-64,87.8%,+/-24.3,23,+/-32,31.1%,+/-56.2
Bachelor's degree or higher,0,+/-24,0.0%,+/-16.6,0,+/-24,0.0%,+/-27.7,0,+/-24,0.0%,+/-32.0
Two or more races,166,+/-59,(X),(X),108,+/-45,(X),(X),58,+/-33,(X),(X)
High school graduate or higher,166,+/-59,100.0%,+/-16.5,108,+/-45,100.0%,+/-23.9,58,+/-33,100.0%,+/-37.4
Bachelor's degree or higher,8,+/-10,4.8%,+/-6.4,6,+/-10,5.6%,+/-9.3,2,+/-3,3.4%,+/-5.8
Hispanic or Latino Origin,362,+/-47,(X),(X),183,+/-30,(X),(X),179,+/-38,(X),(X)
High school graduate or higher,249,+/-66,68.8%,+/-16.7,151,+/-44,82.5%,+/-15.7,98,+/-48,54.7%,+/-28.5
Bachelor's degree or higher,30,+/-27,8.3%,+/-7.5,16,+/-18,8.7%,+/-9.8,14,+/-16,7.8%,+/-8.8
