RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"3,761,488","+/-2,130",(X),(X),"1,821,130","+/-1,319",(X),(X),"1,940,358","+/-1,314",(X),(X)
High school graduate or higher,"3,348,668","+/-5,500",89.0%,+/-0.1,"1,612,534","+/-3,490",88.5%,+/-0.2,"1,736,134","+/-3,393",89.5%,+/-0.2
Bachelor's degree or higher,"943,490","+/-8,350",25.1%,+/-0.2,"451,383","+/-4,834",24.8%,+/-0.3,"492,107","+/-4,935",25.4%,+/-0.3
"White alone, not Hispanic or Latino","3,636,651",+/-535,(X),(X),"1,755,828",+/-357,(X),(X),"1,880,823",+/-279,(X),(X)
High school graduate or higher,"3,266,248","+/-4,419",89.8%,+/-0.1,"1,570,474","+/-2,905",89.4%,+/-0.2,"1,695,774","+/-2,850",90.2%,+/-0.2
Bachelor's degree or higher,"924,946","+/-7,877",25.4%,+/-0.2,"442,517","+/-4,690",25.2%,+/-0.3,"482,429","+/-4,678",25.6%,+/-0.2
Black alone,"361,728","+/-1,309",(X),(X),"166,364",+/-862,(X),(X),"195,364",+/-828,(X),(X)
High school graduate or higher,"308,602","+/-1,871",85.3%,+/-0.4,"139,061","+/-1,397",83.6%,+/-0.7,"169,541","+/-1,233",86.8%,+/-0.5
Bachelor's degree or higher,"59,485","+/-1,806",16.4%,+/-0.5,"24,616","+/-1,106",14.8%,+/-0.6,"34,869","+/-1,362",17.8%,+/-0.7
American Indian or Alaska Native alone,"10,934",+/-721,(X),(X),"5,596",+/-497,(X),(X),"5,338",+/-424,(X),(X)
High school graduate or higher,"8,552",+/-575,78.2%,+/-2.9,"4,263",+/-441,76.2%,+/-3.6,"4,289",+/-370,80.3%,+/-3.9
Bachelor's degree or higher,"1,519",+/-261,13.9%,+/-2.2,806,+/-172,14.4%,+/-2.7,713,+/-176,13.4%,+/-3.1
Asian alone,"77,765",+/-811,(X),(X),"36,433",+/-574,(X),(X),"41,332",+/-527,(X),(X)
High school graduate or higher,"66,893","+/-1,124",86.0%,+/-1.0,"32,012",+/-757,87.9%,+/-1.3,"34,881",+/-722,84.4%,+/-1.2
Bachelor's degree or higher,"44,545","+/-1,082",57.3%,+/-1.3,"22,884",+/-735,62.8%,+/-1.8,"21,661",+/-734,52.4%,+/-1.7
Native Hawaiian and Other Pacific Islander alone,"1,529",+/-253,(X),(X),744,+/-192,(X),(X),785,+/-158,(X),(X)
High school graduate or higher,"1,332",+/-208,87.1%,+/-6.2,642,+/-166,86.3%,+/-9.9,690,+/-157,87.9%,+/-8.6
Bachelor's degree or higher,338,+/-125,22.1%,+/-7.4,205,+/-101,27.6%,+/-11.6,133,+/-81,16.9%,+/-8.6
Some other race alone,"78,270","+/-2,212",(X),(X),"42,115","+/-1,343",(X),(X),"36,155","+/-1,327",(X),(X)
High school graduate or higher,"47,313","+/-1,822",60.4%,+/-1.7,"25,383","+/-1,097",60.3%,+/-2.0,"21,930","+/-1,226",60.7%,+/-2.1
Bachelor's degree or higher,"7,479",+/-707,9.6%,+/-0.9,"3,733",+/-501,8.9%,+/-1.2,"3,746",+/-421,10.4%,+/-1.2
Two or more races,"47,973","+/-1,742",(X),(X),"22,821","+/-1,137",(X),(X),"25,152",+/-959,(X),(X)
High school graduate or higher,"40,869","+/-1,580",85.2%,+/-1.1,"18,939","+/-1,009",83.0%,+/-1.7,"21,930",+/-891,87.2%,+/-1.2
Bachelor's degree or higher,"11,206",+/-768,23.4%,+/-1.4,"4,647",+/-447,20.4%,+/-1.9,"6,559",+/-548,26.1%,+/-1.8
Hispanic or Latino Origin,"212,949",+/-683,(X),(X),"112,119",+/-566,(X),(X),"100,830",+/-441,(X),(X)
High school graduate or higher,"136,640","+/-2,064",64.2%,+/-0.9,"70,572","+/-1,361",62.9%,+/-1.2,"66,068","+/-1,205",65.5%,+/-1.1
Bachelor's degree or higher,"26,729","+/-1,512",12.6%,+/-0.7,"12,839",+/-967,11.5%,+/-0.9,"13,890",+/-948,13.8%,+/-0.9
