RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"27,594",+/-206,(X),(X),"13,328",+/-147,(X),(X),"14,266",+/-97,(X),(X)
High school graduate or higher,"24,344",+/-371,88.2%,+/-1.1,"11,616",+/-244,87.2%,+/-1.4,"12,728",+/-215,89.2%,+/-1.3
Bachelor's degree or higher,"4,098",+/-389,14.9%,+/-1.4,"2,132",+/-254,16.0%,+/-1.9,"1,966",+/-222,13.8%,+/-1.6
"White alone, not Hispanic or Latino","27,157",+/-75,(X),(X),"13,085",+/-67,(X),(X),"14,072",+/-26,(X),(X)
High school graduate or higher,"24,040",+/-311,88.5%,+/-1.1,"11,420",+/-199,87.3%,+/-1.4,"12,620",+/-198,89.7%,+/-1.4
Bachelor's degree or higher,"4,054",+/-385,14.9%,+/-1.4,"2,098",+/-253,16.0%,+/-1.9,"1,956",+/-221,13.9%,+/-1.6
Black alone,193,+/-54,(X),(X),174,+/-47,(X),(X),19,+/-27,(X),(X)
High school graduate or higher,108,+/-57,56.0%,+/-23.8,106,+/-57,60.9%,+/-21.6,2,+/-4,10.5%,+/-27.7
Bachelor's degree or higher,0,+/-24,0.0%,+/-14.4,0,+/-24,0.0%,+/-15.8,0,+/-24,0.0%,+/-65.4
American Indian or Alaska Native alone,92,+/-85,(X),(X),42,+/-45,(X),(X),50,+/-50,(X),(X)
High school graduate or higher,67,+/-59,72.8%,+/-23.0,42,+/-45,100.0%,+/-44.0,25,+/-31,50.0%,+/-45.9
Bachelor's degree or higher,0,+/-24,0.0%,+/-27.2,0,+/-24,0.0%,+/-44.0,0,+/-24,0.0%,+/-40.3
Asian alone,473,+/-88,(X),(X),206,+/-92,(X),(X),267,+/-59,(X),(X)
High school graduate or higher,434,+/-96,91.8%,+/-8.0,206,+/-92,100.0%,+/-13.5,228,+/-54,85.4%,+/-12.6
Bachelor's degree or higher,235,+/-92,49.7%,+/-15.5,192,+/-104,93.2%,+/-15.3,43,+/-40,16.1%,+/-15.5
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,803,+/-229,(X),(X),458,+/-159,(X),(X),345,+/-111,(X),(X)
High school graduate or higher,612,+/-215,76.2%,+/-13.4,321,+/-150,70.1%,+/-19.8,291,+/-112,84.3%,+/-15.5
Bachelor's degree or higher,20,+/-29,2.5%,+/-3.4,4,+/-7,0.9%,+/-1.4,16,+/-27,4.6%,+/-7.5
Two or more races,216,+/-103,(X),(X),172,+/-85,(X),(X),44,+/-47,(X),(X)
High school graduate or higher,137,+/-69,63.4%,+/-25.0,102,+/-54,59.3%,+/-30.4,35,+/-39,79.5%,+/-34.1
Bachelor's degree or higher,56,+/-52,25.9%,+/-18.1,46,+/-47,26.7%,+/-22.7,10,+/-18,22.7%,+/-33.3
Hispanic or Latino Origin,"1,184",+/-111,(X),(X),657,+/-83,(X),(X),527,+/-57,(X),(X)
High school graduate or higher,860,+/-148,72.6%,+/-10.5,473,+/-124,72.0%,+/-15.2,387,+/-81,73.4%,+/-13.5
Bachelor's degree or higher,50,+/-46,4.2%,+/-3.7,38,+/-45,5.8%,+/-6.6,12,+/-13,2.3%,+/-2.5
