Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,466",+/-87,(X),(X),"1,779",+/-59,(X),(X),"1,687",+/-54,(X),(X)
Less than high school graduate,685,+/-163,19.8%,+/-4.5,319,+/-97,17.9%,+/-5.2,366,+/-112,21.7%,+/-6.5
High school graduate (includes equivalency),"1,350",+/-214,38.9%,+/-6.1,863,+/-147,48.5%,+/-8.1,487,+/-151,28.9%,+/-9.0
Some college or associate's degree,"1,246",+/-222,35.9%,+/-6.5,504,+/-128,28.3%,+/-7.4,742,+/-154,44.0%,+/-9.1
Bachelor's degree or higher,185,+/-78,5.3%,+/-2.3,93,+/-59,5.2%,+/-3.3,92,+/-47,5.5%,+/-2.8
Population 25 years and over,"29,579",+/-80,(X),(X),"14,503",+/-88,(X),(X),"15,076",+/-80,(X),(X)
Less than 9th grade,"1,298",+/-265,4.4%,+/-0.9,638,+/-182,4.4%,+/-1.3,660,+/-163,4.4%,+/-1.1
"9th to 12th grade, no diploma","2,568",+/-327,8.7%,+/-1.1,"1,315",+/-219,9.1%,+/-1.5,"1,253",+/-220,8.3%,+/-1.5
High school graduate (includes equivalency),"12,968",+/-539,43.8%,+/-1.8,"6,580",+/-363,45.4%,+/-2.4,"6,388",+/-368,42.4%,+/-2.5
"Some college, no degree","5,623",+/-413,19.0%,+/-1.4,"2,416",+/-246,16.7%,+/-1.7,"3,207",+/-329,21.3%,+/-2.2
Associate's degree,"2,429",+/-314,8.2%,+/-1.1,"1,121",+/-193,7.7%,+/-1.3,"1,308",+/-214,8.7%,+/-1.4
Bachelor's degree,"3,112",+/-320,10.5%,+/-1.1,"1,692",+/-244,11.7%,+/-1.7,"1,420",+/-218,9.4%,+/-1.4
Graduate or professional degree,"1,581",+/-270,5.3%,+/-0.9,741,+/-179,5.1%,+/-1.2,840,+/-164,5.6%,+/-1.1
Percent high school graduate or higher,(X),(X),86.9%,+/-1.5,(X),(X),86.5%,+/-2.0,(X),(X),87.3%,+/-1.8
Percent bachelor's degree or higher,(X),(X),15.9%,+/-1.4,(X),(X),16.8%,+/-1.9,(X),(X),15.0%,+/-1.8
Population 25 to 34 years,"5,384",+/-154,(X),(X),"2,714",+/-109,(X),(X),"2,670",+/-102,(X),(X)
High school graduate or higher,"4,805",+/-195,89.2%,+/-3.3,"2,367",+/-140,87.2%,+/-4.8,"2,438",+/-119,91.3%,+/-3.6
Bachelor's degree or higher,958,+/-221,17.8%,+/-4.0,515,+/-149,19.0%,+/-5.4,443,+/-112,16.6%,+/-4.2
Population 35 to 44 years,"5,920",+/-204,(X),(X),"3,119",+/-134,(X),(X),"2,801",+/-130,(X),(X)
High school graduate or higher,"5,313",+/-222,89.7%,+/-3.6,"2,807",+/-190,90.0%,+/-4.7,"2,506",+/-131,89.5%,+/-4.3
Bachelor's degree or higher,"1,176",+/-223,19.9%,+/-3.8,591,+/-174,18.9%,+/-5.4,585,+/-107,20.9%,+/-3.9
Population 45 to 64 years,"11,491",+/-153,(X),(X),"5,690",+/-100,(X),(X),"5,801",+/-106,(X),(X)
High school graduate or higher,"10,342",+/-254,90.0%,+/-1.8,"5,025",+/-183,88.3%,+/-2.5,"5,317",+/-165,91.7%,+/-2.3
Bachelor's degree or higher,"1,769",+/-251,15.4%,+/-2.2,872,+/-159,15.3%,+/-2.8,897,+/-168,15.5%,+/-3.0
Population 65 years and over,"6,784",+/-70,(X),(X),"2,980",+/-47,(X),(X),"3,804",+/-48,(X),(X)
High school graduate or higher,"5,253",+/-248,77.4%,+/-3.7,"2,351",+/-148,78.9%,+/-5.2,"2,902",+/-169,76.3%,+/-4.3
Bachelor's degree or higher,790,+/-160,11.6%,+/-2.3,455,+/-122,15.3%,+/-4.1,335,+/-102,8.8%,+/-2.7
