Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,107",+/-82,(X),(X),"1,646",+/-72,(X),(X),"1,461",+/-50,(X),(X)
Less than high school graduate,508,+/-108,16.4%,+/-3.4,401,+/-98,24.4%,+/-6.0,107,+/-48,7.3%,+/-3.3
High school graduate (includes equivalency),"1,088",+/-176,35.0%,+/-5.5,486,+/-134,29.5%,+/-8.0,602,+/-134,41.2%,+/-9.0
Some college or associate's degree,"1,291",+/-184,41.6%,+/-5.9,642,+/-133,39.0%,+/-7.8,649,+/-125,44.4%,+/-8.5
Bachelor's degree or higher,220,+/-80,7.1%,+/-2.6,117,+/-59,7.1%,+/-3.6,103,+/-65,7.0%,+/-4.4
Population 25 years and over,"22,029",+/-116,(X),(X),"10,738",+/-85,(X),(X),"11,291",+/-86,(X),(X)
Less than 9th grade,635,+/-176,2.9%,+/-0.8,379,+/-107,3.5%,+/-1.0,256,+/-103,2.3%,+/-0.9
"9th to 12th grade, no diploma","2,025",+/-301,9.2%,+/-1.4,"1,178",+/-225,11.0%,+/-2.1,847,+/-166,7.5%,+/-1.5
High school graduate (includes equivalency),"9,424",+/-517,42.8%,+/-2.3,"4,515",+/-336,42.0%,+/-3.0,"4,909",+/-376,43.5%,+/-3.3
"Some college, no degree","4,920",+/-433,22.3%,+/-2.0,"2,370",+/-265,22.1%,+/-2.5,"2,550",+/-327,22.6%,+/-2.9
Associate's degree,"1,646",+/-239,7.5%,+/-1.1,675,+/-157,6.3%,+/-1.5,971,+/-172,8.6%,+/-1.5
Bachelor's degree,"2,138",+/-278,9.7%,+/-1.3,982,+/-186,9.1%,+/-1.7,"1,156",+/-223,10.2%,+/-2.0
Graduate or professional degree,"1,241",+/-263,5.6%,+/-1.2,639,+/-160,6.0%,+/-1.5,602,+/-164,5.3%,+/-1.5
Percent high school graduate or higher,(X),(X),87.9%,+/-1.5,(X),(X),85.5%,+/-2.0,(X),(X),90.2%,+/-1.6
Percent bachelor's degree or higher,(X),(X),15.3%,+/-1.7,(X),(X),15.1%,+/-2.2,(X),(X),15.6%,+/-2.2
Population 25 to 34 years,"3,807",+/-150,(X),(X),"1,939",+/-102,(X),(X),"1,868",+/-93,(X),(X)
High school graduate or higher,"3,290",+/-204,86.4%,+/-4.2,"1,572",+/-137,81.1%,+/-6.3,"1,718",+/-111,92.0%,+/-4.2
Bachelor's degree or higher,819,+/-222,21.5%,+/-5.5,331,+/-124,17.1%,+/-6.2,488,+/-123,26.1%,+/-6.3
Population 35 to 44 years,"4,093",+/-104,(X),(X),"2,040",+/-81,(X),(X),"2,053",+/-74,(X),(X)
High school graduate or higher,"3,652",+/-157,89.2%,+/-3.4,"1,748",+/-113,85.7%,+/-4.9,"1,904",+/-96,92.7%,+/-3.5
Bachelor's degree or higher,915,+/-172,22.4%,+/-4.1,419,+/-119,20.5%,+/-5.8,496,+/-112,24.2%,+/-5.4
Population 45 to 64 years,"9,053",+/-133,(X),(X),"4,463",+/-76,(X),(X),"4,590",+/-100,(X),(X)
High school graduate or higher,"8,276",+/-177,91.4%,+/-1.8,"4,007",+/-114,89.8%,+/-2.6,"4,269",+/-130,93.0%,+/-2.2
Bachelor's degree or higher,"1,155",+/-194,12.8%,+/-2.1,566,+/-118,12.7%,+/-2.7,589,+/-138,12.8%,+/-3.0
Population 65 years and over,"5,076",+/-53,(X),(X),"2,296",+/-24,(X),(X),"2,780",+/-47,(X),(X)
High school graduate or higher,"4,151",+/-208,81.8%,+/-3.9,"1,854",+/-132,80.7%,+/-5.5,"2,297",+/-124,82.6%,+/-4.4
Bachelor's degree or higher,490,+/-133,9.7%,+/-2.6,305,+/-93,13.3%,+/-4.1,185,+/-79,6.7%,+/-2.9
