RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"21,487",+/-95,(X),(X),"10,448",+/-84,(X),(X),"11,039",+/-46,(X),(X)
High school graduate or higher,"18,792",+/-413,87.5%,+/-1.9,"8,870",+/-293,84.9%,+/-2.9,"9,922",+/-214,89.9%,+/-1.8
Bachelor's degree or higher,"3,572",+/-345,16.6%,+/-1.6,"1,679",+/-216,16.1%,+/-2.1,"1,893",+/-217,17.1%,+/-2.0
"White alone, not Hispanic or Latino","20,749",+/-24,(X),(X),"10,110",+/-24,(X),(X),"10,639",+/-24,(X),(X)
High school graduate or higher,"18,275",+/-379,88.1%,+/-1.8,"8,685",+/-275,85.9%,+/-2.7,"9,590",+/-195,90.1%,+/-1.8
Bachelor's degree or higher,"3,283",+/-323,15.8%,+/-1.6,"1,557",+/-198,15.4%,+/-2.0,"1,726",+/-218,16.2%,+/-2.0
Black alone,175,+/-65,(X),(X),74,+/-35,(X),(X),101,+/-48,(X),(X)
High school graduate or higher,155,+/-64,88.6%,+/-11.0,54,+/-31,73.0%,+/-22.6,101,+/-48,100.0%,+/-25.3
Bachelor's degree or higher,69,+/-86,39.4%,+/-41.4,31,+/-34,41.9%,+/-36.4,38,+/-55,37.6%,+/-50.0
American Indian or Alaska Native alone,14,+/-23,(X),(X),14,+/-23,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,14,+/-23,100.0%,+/-76.1,14,+/-23,100.0%,+/-76.1,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-76.1,0,+/-24,0.0%,+/-76.1,0,+/-24,-,**
Asian alone,86,+/-46,(X),(X),19,+/-21,(X),(X),67,+/-36,(X),(X)
High school graduate or higher,51,+/-46,59.3%,+/-26.2,10,+/-18,52.6%,+/-52.6,41,+/-40,61.2%,+/-30.0
Bachelor's degree or higher,16,+/-32,18.6%,+/-30.9,0,+/-24,0.0%,+/-65.4,16,+/-32,23.9%,+/-38.5
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,238,+/-124,(X),(X),162,+/-92,(X),(X),76,+/-57,(X),(X)
High school graduate or higher,129,+/-91,54.2%,+/-24.2,89,+/-71,54.9%,+/-31.4,40,+/-34,52.6%,+/-34.4
Bachelor's degree or higher,3,+/-6,1.3%,+/-2.8,0,+/-24,0.0%,+/-16.8,3,+/-6,3.9%,+/-9.6
Two or more races,198,+/-114,(X),(X),78,+/-44,(X),(X),120,+/-82,(X),(X)
High school graduate or higher,171,+/-95,86.4%,+/-11.0,77,+/-44,98.7%,+/-5.0,94,+/-62,78.3%,+/-17.2
Bachelor's degree or higher,12,+/-19,6.1%,+/-9.4,12,+/-19,15.4%,+/-21.8,0,+/-24,0.0%,+/-21.9
Hispanic or Latino Origin,"1,021",+/-73,(X),(X),530,+/-54,(X),(X),491,+/-55,(X),(X)
High school graduate or higher,691,+/-123,67.7%,+/-11.0,304,+/-90,57.4%,+/-17.7,387,+/-61,78.8%,+/-10.3
Bachelor's degree or higher,292,+/-155,28.6%,+/-14.8,122,+/-82,23.0%,+/-15.8,170,+/-84,34.6%,+/-16.5
