Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,760",+/-57,(X),(X),894,+/-33,(X),(X),866,+/-31,(X),(X)
Less than high school graduate,284,+/-90,16.1%,+/-5.1,167,+/-62,18.7%,+/-6.7,117,+/-54,13.5%,+/-6.2
High school graduate (includes equivalency),850,+/-115,48.3%,+/-6.2,521,+/-67,58.3%,+/-7.2,329,+/-79,38.0%,+/-9.0
Some college or associate's degree,539,+/-120,30.6%,+/-6.8,184,+/-68,20.6%,+/-7.7,355,+/-82,41.0%,+/-9.3
Bachelor's degree or higher,87,+/-43,4.9%,+/-2.4,22,+/-24,2.5%,+/-2.7,65,+/-35,7.5%,+/-4.1
Population 25 years and over,"13,930",+/-70,(X),(X),"6,693",+/-57,(X),(X),"7,237",+/-60,(X),(X)
Less than 9th grade,679,+/-168,4.9%,+/-1.2,373,+/-124,5.6%,+/-1.8,306,+/-82,4.2%,+/-1.1
"9th to 12th grade, no diploma","1,532",+/-181,11.0%,+/-1.3,738,+/-128,11.0%,+/-1.9,794,+/-126,11.0%,+/-1.7
High school graduate (includes equivalency),"6,651",+/-315,47.7%,+/-2.3,"3,313",+/-209,49.5%,+/-3.1,"3,338",+/-207,46.1%,+/-2.8
"Some college, no degree","2,452",+/-221,17.6%,+/-1.6,"1,196",+/-151,17.9%,+/-2.2,"1,256",+/-156,17.4%,+/-2.2
Associate's degree,"1,099",+/-154,7.9%,+/-1.1,480,+/-98,7.2%,+/-1.5,619,+/-117,8.6%,+/-1.6
Bachelor's degree,965,+/-164,6.9%,+/-1.2,386,+/-111,5.8%,+/-1.7,579,+/-110,8.0%,+/-1.5
Graduate or professional degree,552,+/-120,4.0%,+/-0.9,207,+/-65,3.1%,+/-1.0,345,+/-85,4.8%,+/-1.2
Percent high school graduate or higher,(X),(X),84.1%,+/-1.7,(X),(X),83.4%,+/-2.6,(X),(X),84.8%,+/-1.9
Percent bachelor's degree or higher,(X),(X),10.9%,+/-1.5,(X),(X),8.9%,+/-1.7,(X),(X),12.8%,+/-2.0
Population 25 to 34 years,"2,392",+/-79,(X),(X),"1,217",+/-48,(X),(X),"1,175",+/-48,(X),(X)
High school graduate or higher,"2,004",+/-138,83.8%,+/-4.6,972,+/-90,79.9%,+/-6.4,"1,032",+/-78,87.8%,+/-5.4
Bachelor's degree or higher,311,+/-97,13.0%,+/-4.1,66,+/-37,5.4%,+/-3.1,245,+/-81,20.9%,+/-6.8
Population 35 to 44 years,"2,443",+/-52,(X),(X),"1,208",+/-33,(X),(X),"1,235",+/-37,(X),(X)
High school graduate or higher,"2,111",+/-93,86.4%,+/-3.9,968,+/-75,80.1%,+/-6.7,"1,143",+/-53,92.6%,+/-3.6
Bachelor's degree or higher,314,+/-91,12.9%,+/-3.7,102,+/-46,8.4%,+/-3.8,212,+/-64,17.2%,+/-5.0
Population 45 to 64 years,"5,573",+/-48,(X),(X),"2,734",+/-27,(X),(X),"2,839",+/-37,(X),(X)
High school graduate or higher,"4,889",+/-140,87.7%,+/-2.5,"2,435",+/-83,89.1%,+/-3.0,"2,454",+/-111,86.4%,+/-3.7
Bachelor's degree or higher,541,+/-118,9.7%,+/-2.1,216,+/-86,7.9%,+/-3.2,325,+/-83,11.4%,+/-2.9
Population 65 years and over,"3,522",+/-55,(X),(X),"1,534",+/-32,(X),(X),"1,988",+/-35,(X),(X)
High school graduate or higher,"2,715",+/-113,77.1%,+/-2.9,"1,207",+/-80,78.7%,+/-4.7,"1,508",+/-73,75.9%,+/-3.6
Bachelor's degree or higher,351,+/-92,10.0%,+/-2.6,209,+/-61,13.6%,+/-3.9,142,+/-49,7.1%,+/-2.4
