RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,659",+/-58,(X),(X),"6,595",+/-35,(X),(X),"7,064",+/-31,(X),(X)
High school graduate or higher,"11,497",+/-225,84.2%,+/-1.7,"5,527",+/-171,83.8%,+/-2.6,"5,970",+/-137,84.5%,+/-1.9
Bachelor's degree or higher,"1,434",+/-196,10.5%,+/-1.4,576,+/-111,8.7%,+/-1.7,858,+/-141,12.1%,+/-2.0
"White alone, not Hispanic or Latino","13,398",+/-21,(X),(X),"6,469",+/-21,(X),(X),"6,929",+/-21,(X),(X)
High school graduate or higher,"11,300",+/-208,84.3%,+/-1.5,"5,430",+/-165,83.9%,+/-2.5,"5,870",+/-130,84.7%,+/-1.9
Bachelor's degree or higher,"1,434",+/-196,10.7%,+/-1.5,576,+/-111,8.9%,+/-1.7,858,+/-141,12.4%,+/-2.0
Black alone,56,+/-27,(X),(X),19,+/-26,(X),(X),37,+/-35,(X),(X)
High school graduate or higher,41,+/-35,73.2%,+/-46.7,4,+/-6,21.1%,+/-56.2,37,+/-35,100.0%,+/-46.8
Bachelor's degree or higher,0,+/-21,0.0%,+/-38.1,0,+/-21,0.0%,+/-65.4,0,+/-21,0.0%,+/-46.8
American Indian or Alaska Native alone,55,+/-22,(X),(X),17,+/-20,(X),(X),38,+/-16,(X),(X)
High school graduate or higher,39,+/-26,70.9%,+/-36.1,7,+/-14,41.2%,+/-48.5,32,+/-20,84.2%,+/-27.8
Bachelor's degree or higher,7,+/-14,12.7%,+/-20.2,0,+/-21,0.0%,+/-69.1,7,+/-14,18.4%,+/-38.7
Asian alone,67,+/-47,(X),(X),25,+/-21,(X),(X),42,+/-32,(X),(X)
High school graduate or higher,67,+/-47,100.0%,+/-34.3,25,+/-21,100.0%,+/-57.0,42,+/-32,100.0%,+/-44.0
Bachelor's degree or higher,51,+/-47,76.1%,+/-37.5,17,+/-21,68.0%,+/-54.5,34,+/-32,81.0%,+/-30.8
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,5,+/-8,(X),(X),3,+/-7,(X),(X),2,+/-3,(X),(X)
High school graduate or higher,5,+/-8,100.0%,+/-100.0,3,+/-7,100.0%,+/-100.0,2,+/-3,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-100.0
Two or more races,88,+/-38,(X),(X),34,+/-35,(X),(X),54,+/-31,(X),(X)
High school graduate or higher,70,+/-30,79.5%,+/-24.6,16,+/-23,47.1%,+/-52.4,54,+/-31,100.0%,+/-38.8
Bachelor's degree or higher,25,+/-25,28.4%,+/-30.6,0,+/-21,0.0%,+/-48.9,25,+/-25,46.3%,+/-43.8
Hispanic or Latino Origin,266,+/-58,(X),(X),129,+/-35,(X),(X),137,+/-31,(X),(X)
High school graduate or higher,202,+/-87,75.9%,+/-26.0,100,+/-54,77.5%,+/-28.4,102,+/-38,74.5%,+/-25.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-10.7,0,+/-21,0.0%,+/-20.6,0,+/-21,0.0%,+/-19.5
