RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"21,202",+/-76,(X),(X),"10,110",+/-56,(X),(X),"11,092",+/-55,(X),(X)
High school graduate or higher,"18,428",+/-355,86.9%,+/-1.7,"8,706",+/-238,86.1%,+/-2.4,"9,722",+/-231,87.6%,+/-2.0
Bachelor's degree or higher,"3,784",+/-446,17.8%,+/-2.1,"1,983",+/-287,19.6%,+/-2.9,"1,801",+/-265,16.2%,+/-2.4
"White alone, not Hispanic or Latino","21,035",+/-19,(X),(X),"9,995",+/-14,(X),(X),"11,040",+/-12,(X),(X)
High school graduate or higher,"18,275",+/-358,86.9%,+/-1.7,"8,605",+/-248,86.1%,+/-2.5,"9,670",+/-224,87.6%,+/-2.0
Bachelor's degree or higher,"3,778",+/-445,18.0%,+/-2.1,"1,977",+/-286,19.8%,+/-2.9,"1,801",+/-265,16.3%,+/-2.4
Black alone,362,+/-41,(X),(X),158,+/-79,(X),(X),204,+/-58,(X),(X)
High school graduate or higher,305,+/-55,84.3%,+/-15.0,130,+/-66,82.3%,+/-19.3,175,+/-73,85.8%,+/-22.9
Bachelor's degree or higher,5,+/-10,1.4%,+/-2.8,0,+/-24,0.0%,+/-17.2,5,+/-10,2.5%,+/-4.9
American Indian or Alaska Native alone,38,+/-34,(X),(X),23,+/-31,(X),(X),15,+/-20,(X),(X)
High school graduate or higher,16,+/-24,42.1%,+/-43.0,16,+/-24,69.6%,+/-46.3,0,+/-24,0.0%,+/-73.6
Bachelor's degree or higher,5,+/-12,13.2%,+/-29.8,5,+/-12,21.7%,+/-50.4,0,+/-24,0.0%,+/-73.6
Asian alone,163,+/-33,(X),(X),72,+/-27,(X),(X),91,+/-31,(X),(X)
High school graduate or higher,148,+/-35,90.8%,+/-13.2,72,+/-27,100.0%,+/-32.7,76,+/-29,83.5%,+/-22.1
Bachelor's degree or higher,32,+/-40,19.6%,+/-24.9,10,+/-17,13.9%,+/-22.6,22,+/-37,24.2%,+/-35.4
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,75,+/-70,(X),(X),0,+/-24,(X),(X),75,+/-70,(X),(X)
High school graduate or higher,26,+/-32,34.7%,+/-50.4,0,+/-24,-,**,26,+/-32,34.7%,+/-50.4
Bachelor's degree or higher,0,+/-24,0.0%,+/-31.7,0,+/-24,-,**,0,+/-24,0.0%,+/-31.7
Two or more races,136,+/-56,(X),(X),79,+/-48,(X),(X),57,+/-31,(X),(X)
High school graduate or higher,121,+/-50,89.0%,+/-18.3,64,+/-39,81.0%,+/-29.3,57,+/-31,100.0%,+/-37.7
Bachelor's degree or higher,37,+/-27,27.2%,+/-21.7,12,+/-15,15.2%,+/-18.6,25,+/-22,43.9%,+/-40.9
Hispanic or Latino Origin,241,+/-55,(X),(X),122,+/-57,(X),(X),119,+/-80,(X),(X)
High school graduate or higher,171,+/-71,71.0%,+/-25.4,101,+/-53,82.8%,+/-21.0,70,+/-65,58.8%,+/-45.2
Bachelor's degree or higher,6,+/-11,2.5%,+/-4.4,6,+/-11,4.9%,+/-9.1,0,+/-24,0.0%,+/-22.0
