Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,511",+/-145,(X),(X),"1,558",+/-73,(X),(X),"1,953",+/-146,(X),(X)
Less than high school graduate,630,+/-165,17.9%,+/-4.6,206,+/-91,13.2%,+/-5.8,424,+/-128,21.7%,+/-6.2
High school graduate (includes equivalency),"1,363",+/-252,38.8%,+/-6.7,517,+/-108,33.2%,+/-6.6,846,+/-194,43.3%,+/-9.0
Some college or associate's degree,"1,389",+/-155,39.6%,+/-4.6,778,+/-112,49.9%,+/-7.0,611,+/-107,31.3%,+/-5.8
Bachelor's degree or higher,129,+/-103,3.7%,+/-2.9,57,+/-52,3.7%,+/-3.3,72,+/-64,3.7%,+/-3.3
Population 25 years and over,"22,097",+/-165,(X),(X),"10,506",+/-161,(X),(X),"11,591",+/-116,(X),(X)
Less than 9th grade,703,+/-166,3.2%,+/-0.7,377,+/-123,3.6%,+/-1.2,326,+/-106,2.8%,+/-0.9
"9th to 12th grade, no diploma","1,722",+/-334,7.8%,+/-1.5,848,+/-213,8.1%,+/-2.0,874,+/-200,7.5%,+/-1.7
High school graduate (includes equivalency),"8,883",+/-493,40.2%,+/-2.3,"4,485",+/-314,42.7%,+/-3.0,"4,398",+/-349,37.9%,+/-3.1
"Some college, no degree","5,042",+/-478,22.8%,+/-2.1,"2,227",+/-277,21.2%,+/-2.6,"2,815",+/-310,24.3%,+/-2.6
Associate's degree,"1,896",+/-256,8.6%,+/-1.1,631,+/-166,6.0%,+/-1.6,"1,265",+/-183,10.9%,+/-1.6
Bachelor's degree,"2,324",+/-289,10.5%,+/-1.3,"1,234",+/-220,11.7%,+/-2.1,"1,090",+/-156,9.4%,+/-1.3
Graduate or professional degree,"1,527",+/-220,6.9%,+/-1.0,704,+/-134,6.7%,+/-1.3,823,+/-159,7.1%,+/-1.4
Percent high school graduate or higher,(X),(X),89.0%,+/-1.7,(X),(X),88.3%,+/-2.5,(X),(X),89.6%,+/-1.9
Percent bachelor's degree or higher,(X),(X),17.4%,+/-1.5,(X),(X),18.4%,+/-2.2,(X),(X),16.5%,+/-1.9
Population 25 to 34 years,"3,710",+/-107,(X),(X),"1,736",+/-56,(X),(X),"1,974",+/-93,(X),(X)
High school graduate or higher,"3,459",+/-159,93.2%,+/-3.0,"1,590",+/-105,91.6%,+/-5.0,"1,869",+/-108,94.7%,+/-3.1
Bachelor's degree or higher,535,+/-136,14.4%,+/-3.6,205,+/-91,11.8%,+/-5.2,330,+/-97,16.7%,+/-4.9
Population 35 to 44 years,"3,984",+/-120,(X),(X),"1,928",+/-99,(X),(X),"2,056",+/-67,(X),(X)
High school graduate or higher,"3,680",+/-156,92.4%,+/-2.7,"1,730",+/-126,89.7%,+/-4.0,"1,950",+/-91,94.8%,+/-3.1
Bachelor's degree or higher,655,+/-137,16.4%,+/-3.4,285,+/-91,14.8%,+/-4.7,370,+/-101,18.0%,+/-4.8
Population 45 to 64 years,"9,173",+/-148,(X),(X),"4,521",+/-144,(X),(X),"4,652",+/-75,(X),(X)
High school graduate or higher,"8,230",+/-284,89.7%,+/-2.4,"3,989",+/-209,88.2%,+/-3.6,"4,241",+/-152,91.2%,+/-2.8
Bachelor's degree or higher,"1,843",+/-258,20.1%,+/-2.8,979,+/-170,21.7%,+/-3.7,864,+/-169,18.6%,+/-3.6
Population 65 years and over,"5,230",+/-46,(X),(X),"2,321",+/-9,(X),(X),"2,909",+/-43,(X),(X)
High school graduate or higher,"4,303",+/-214,82.3%,+/-4.0,"1,972",+/-115,85.0%,+/-5.0,"2,331",+/-141,80.1%,+/-4.6
Bachelor's degree or higher,818,+/-157,15.6%,+/-3.0,469,+/-111,20.2%,+/-4.8,349,+/-96,12.0%,+/-3.3
