Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,447",+/-63,(X),(X),"1,292",+/-51,(X),(X),"1,155",+/-18,(X),(X)
Less than high school graduate,418,+/-143,17.1%,+/-5.9,246,+/-93,19.0%,+/-7.3,172,+/-83,14.9%,+/-7.2
High school graduate (includes equivalency),"1,117",+/-185,45.6%,+/-7.1,661,+/-126,51.2%,+/-9.2,456,+/-133,39.5%,+/-11.4
Some college or associate's degree,770,+/-166,31.5%,+/-6.9,352,+/-120,27.2%,+/-9.3,418,+/-126,36.2%,+/-10.9
Bachelor's degree or higher,142,+/-82,5.8%,+/-3.4,33,+/-39,2.6%,+/-3.0,109,+/-55,9.4%,+/-4.8
Population 25 years and over,"18,691",+/-81,(X),(X),"9,225",+/-90,(X),(X),"9,466",+/-73,(X),(X)
Less than 9th grade,878,+/-205,4.7%,+/-1.1,485,+/-143,5.3%,+/-1.5,393,+/-126,4.2%,+/-1.3
"9th to 12th grade, no diploma","2,140",+/-300,11.4%,+/-1.6,"1,082",+/-218,11.7%,+/-2.4,"1,058",+/-177,11.2%,+/-1.9
High school graduate (includes equivalency),"8,863",+/-540,47.4%,+/-2.9,"4,706",+/-328,51.0%,+/-3.5,"4,157",+/-361,43.9%,+/-3.7
"Some college, no degree","3,458",+/-364,18.5%,+/-1.9,"1,445",+/-214,15.7%,+/-2.3,"2,013",+/-278,21.3%,+/-3.0
Associate's degree,"1,409",+/-214,7.5%,+/-1.2,611,+/-145,6.6%,+/-1.6,798,+/-165,8.4%,+/-1.7
Bachelor's degree,"1,264",+/-206,6.8%,+/-1.1,592,+/-141,6.4%,+/-1.5,672,+/-150,7.1%,+/-1.6
Graduate or professional degree,679,+/-177,3.6%,+/-1.0,304,+/-99,3.3%,+/-1.1,375,+/-136,4.0%,+/-1.4
Percent high school graduate or higher,(X),(X),83.9%,+/-2.0,(X),(X),83.0%,+/-2.9,(X),(X),84.7%,+/-2.2
Percent bachelor's degree or higher,(X),(X),10.4%,+/-1.5,(X),(X),9.7%,+/-2.0,(X),(X),11.1%,+/-2.1
Population 25 to 34 years,"3,040",+/-138,(X),(X),"1,577",+/-92,(X),(X),"1,463",+/-59,(X),(X)
High school graduate or higher,"2,691",+/-172,88.5%,+/-4.1,"1,322",+/-121,83.8%,+/-6.7,"1,369",+/-88,93.6%,+/-4.2
Bachelor's degree or higher,350,+/-150,11.5%,+/-4.9,171,+/-104,10.8%,+/-6.5,179,+/-78,12.2%,+/-5.3
Population 35 to 44 years,"3,711",+/-70,(X),(X),"1,864",+/-44,(X),(X),"1,847",+/-58,(X),(X)
High school graduate or higher,"3,268",+/-143,88.1%,+/-3.2,"1,614",+/-95,86.6%,+/-4.8,"1,654",+/-103,89.6%,+/-4.4
Bachelor's degree or higher,374,+/-114,10.1%,+/-3.1,95,+/-51,5.1%,+/-2.7,279,+/-101,15.1%,+/-5.5
Population 45 to 64 years,"7,893",+/-99,(X),(X),"3,951",+/-66,(X),(X),"3,942",+/-67,(X),(X)
High school graduate or higher,"6,723",+/-243,85.2%,+/-2.8,"3,388",+/-158,85.8%,+/-3.7,"3,335",+/-161,84.6%,+/-3.7
Bachelor's degree or higher,935,+/-187,11.8%,+/-2.3,456,+/-130,11.5%,+/-3.3,479,+/-121,12.2%,+/-3.0
Population 65 years and over,"4,047",+/-110,(X),(X),"1,833",+/-54,(X),(X),"2,214",+/-77,(X),(X)
High school graduate or higher,"2,991",+/-215,73.9%,+/-4.8,"1,334",+/-154,72.8%,+/-7.8,"1,657",+/-129,74.8%,+/-5.3
Bachelor's degree or higher,284,+/-87,7.0%,+/-2.1,174,+/-61,9.5%,+/-3.3,110,+/-56,5.0%,+/-2.5
