RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"18,231",+/-76,(X),(X),"9,007",+/-59,(X),(X),"9,224",+/-40,(X),(X)
High school graduate or higher,"15,501",+/-336,85.0%,+/-1.7,"7,696",+/-232,85.4%,+/-2.5,"7,805",+/-241,84.6%,+/-2.6
Bachelor's degree or higher,"1,766",+/-263,9.7%,+/-1.4,776,+/-187,8.6%,+/-2.1,990,+/-178,10.7%,+/-1.9
"White alone, not Hispanic or Latino","18,031",+/-21,(X),(X),"8,918",+/-21,(X),(X),"9,113",+/-21,(X),(X)
High school graduate or higher,"15,350",+/-313,85.1%,+/-1.7,"7,631",+/-219,85.6%,+/-2.5,"7,719",+/-241,84.7%,+/-2.6
Bachelor's degree or higher,"1,751",+/-265,9.7%,+/-1.5,776,+/-187,8.7%,+/-2.1,975,+/-180,10.7%,+/-2.0
Black alone,246,+/-75,(X),(X),130,+/-75,(X),(X),116,+/-53,(X),(X)
High school graduate or higher,183,+/-65,74.4%,+/-20.0,77,+/-54,59.2%,+/-27.9,106,+/-53,91.4%,+/-22.0
Bachelor's degree or higher,28,+/-45,11.4%,+/-18.5,14,+/-22,10.8%,+/-20.6,14,+/-22,12.1%,+/-18.6
American Indian or Alaska Native alone,82,+/-90,(X),(X),82,+/-90,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,17,+/-28,20.7%,+/-41.2,17,+/-28,20.7%,+/-41.2,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-29.7,0,+/-21,0.0%,+/-29.7,0,+/-21,-,**
Asian alone,38,+/-20,(X),(X),11,+/-14,(X),(X),27,+/-9,(X),(X)
High school graduate or higher,33,+/-18,86.8%,+/-20.1,11,+/-14,100.0%,+/-85.9,22,+/-13,81.5%,+/-33.3
Bachelor's degree or higher,12,+/-21,31.6%,+/-41.2,6,+/-11,54.5%,+/-54.5,6,+/-11,22.2%,+/-34.0
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,89,+/-78,(X),(X),48,+/-45,(X),(X),41,+/-40,(X),(X)
High school graduate or higher,73,+/-75,82.0%,+/-29.6,40,+/-42,83.3%,+/-28.2,33,+/-40,80.5%,+/-36.9
Bachelor's degree or higher,0,+/-21,0.0%,+/-27.9,0,+/-21,0.0%,+/-41.1,0,+/-21,0.0%,+/-44.5
Two or more races,54,+/-52,(X),(X),10,+/-21,(X),(X),44,+/-48,(X),(X)
High school graduate or higher,32,+/-40,59.3%,+/-53.5,10,+/-21,100.0%,+/-90.1,22,+/-35,50.0%,+/-50.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-38.8,0,+/-21,0.0%,+/-90.1,0,+/-21,0.0%,+/-43.0
Hispanic or Latino Origin,289,+/-50,(X),(X),137,+/-47,(X),(X),152,+/-34,(X),(X)
High school graduate or higher,224,+/-79,77.5%,+/-20.0,105,+/-48,76.6%,+/-19.7,119,+/-49,78.3%,+/-22.1
Bachelor's degree or higher,15,+/-25,5.2%,+/-9.1,0,+/-21,0.0%,+/-19.5,15,+/-25,9.9%,+/-15.8
