RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"90,399",+/-356,(X),(X),"43,349",+/-253,(X),(X),"47,050",+/-200,(X),(X)
High school graduate or higher,"83,315",+/-847,92.2%,+/-0.8,"39,864",+/-512,92.0%,+/-1.0,"43,451",+/-496,92.4%,+/-0.9
Bachelor's degree or higher,"25,301","+/-1,242",28.0%,+/-1.3,"12,555",+/-769,29.0%,+/-1.7,"12,746",+/-767,27.1%,+/-1.6
"White alone, not Hispanic or Latino","88,984",+/-109,(X),(X),"42,611",+/-42,(X),(X),"46,373",+/-82,(X),(X)
High school graduate or higher,"82,041",+/-697,92.2%,+/-0.8,"39,224",+/-424,92.1%,+/-1.0,"42,817",+/-420,92.3%,+/-0.9
Bachelor's degree or higher,"24,831","+/-1,213",27.9%,+/-1.4,"12,185",+/-723,28.6%,+/-1.7,"12,646",+/-765,27.3%,+/-1.6
Black alone,"1,451",+/-233,(X),(X),861,+/-212,(X),(X),590,+/-118,(X),(X)
High school graduate or higher,"1,368",+/-222,94.3%,+/-3.8,780,+/-205,90.6%,+/-6.5,588,+/-118,99.7%,+/-0.6
Bachelor's degree or higher,660,+/-205,45.5%,+/-15.4,393,+/-167,45.6%,+/-17.4,267,+/-189,45.3%,+/-27.2
American Indian or Alaska Native alone,90,+/-66,(X),(X),39,+/-38,(X),(X),51,+/-44,(X),(X)
High school graduate or higher,80,+/-65,88.9%,+/-19.9,29,+/-34,74.4%,+/-41.9,51,+/-44,100.0%,+/-39.9
Bachelor's degree or higher,12,+/-22,13.3%,+/-25.9,0,+/-27,0.0%,+/-45.6,12,+/-22,23.5%,+/-41.2
Asian alone,"2,005",+/-278,(X),(X),901,+/-155,(X),(X),"1,104",+/-207,(X),(X)
High school graduate or higher,"1,792",+/-295,89.4%,+/-7.7,846,+/-144,93.9%,+/-7.8,946,+/-229,85.7%,+/-10.3
Bachelor's degree or higher,879,+/-247,43.8%,+/-10.8,458,+/-162,50.8%,+/-15.2,421,+/-141,38.1%,+/-10.8
Native Hawaiian and Other Pacific Islander alone,11,+/-20,(X),(X),11,+/-20,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,11,+/-20,100.0%,+/-85.9,11,+/-20,100.0%,+/-85.9,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,0.0%,+/-85.9,0,+/-27,0.0%,+/-85.9,0,+/-27,-,**
Some other race alone,875,+/-442,(X),(X),484,+/-279,(X),(X),391,+/-214,(X),(X)
High school graduate or higher,652,+/-345,74.5%,+/-12.3,392,+/-274,81.0%,+/-18.9,260,+/-168,66.5%,+/-25.6
Bachelor's degree or higher,72,+/-91,8.2%,+/-11.0,27,+/-42,5.6%,+/-9.7,45,+/-54,11.5%,+/-14.3
Two or more races,"1,219",+/-328,(X),(X),526,+/-184,(X),(X),693,+/-211,(X),(X)
High school graduate or higher,"1,165",+/-329,95.6%,+/-3.8,509,+/-186,96.8%,+/-4.7,656,+/-210,94.7%,+/-5.5
Bachelor's degree or higher,468,+/-195,38.4%,+/-11.2,251,+/-130,47.7%,+/-15.1,217,+/-88,31.3%,+/-12.5
Hispanic or Latino Origin,"2,449",+/-180,(X),(X),"1,324",+/-150,(X),(X),"1,125",+/-159,(X),(X)
High school graduate or higher,"2,054",+/-178,83.9%,+/-6.9,"1,104",+/-191,83.4%,+/-8.8,950,+/-115,84.4%,+/-10.6
Bachelor's degree or higher,511,+/-246,20.9%,+/-10.2,382,+/-224,28.9%,+/-16.7,129,+/-88,11.5%,+/-7.6
