RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"23,930",+/-91,(X),(X),"11,593",+/-67,(X),(X),"12,337",+/-36,(X),(X)
High school graduate or higher,"21,028",+/-368,87.9%,+/-1.5,"10,251",+/-233,88.4%,+/-1.9,"10,777",+/-250,87.4%,+/-2.0
Bachelor's degree or higher,"3,671",+/-386,15.3%,+/-1.6,"1,669",+/-230,14.4%,+/-2.0,"2,002",+/-238,16.2%,+/-1.9
"White alone, not Hispanic or Latino","23,770",+/-24,(X),(X),"11,484",+/-24,(X),(X),"12,286",+/-24,(X),(X)
High school graduate or higher,"20,897",+/-360,87.9%,+/-1.5,"10,162",+/-223,88.5%,+/-1.9,"10,735",+/-249,87.4%,+/-2.0
Bachelor's degree or higher,"3,665",+/-385,15.4%,+/-1.6,"1,669",+/-230,14.5%,+/-2.0,"1,996",+/-237,16.2%,+/-1.9
Black alone,491,+/-105,(X),(X),255,+/-78,(X),(X),236,+/-83,(X),(X)
High school graduate or higher,459,+/-107,93.5%,+/-7.6,243,+/-78,95.3%,+/-6.6,216,+/-83,91.5%,+/-13.9
Bachelor's degree or higher,19,+/-33,3.9%,+/-7.0,19,+/-33,7.5%,+/-12.8,0,+/-24,0.0%,+/-11.9
American Indian or Alaska Native alone,32,+/-23,(X),(X),8,+/-14,(X),(X),24,+/-21,(X),(X)
High school graduate or higher,28,+/-24,87.5%,+/-31.7,8,+/-14,100.0%,+/-100.0,20,+/-23,83.3%,+/-45.1
Bachelor's degree or higher,17,+/-19,53.1%,+/-51.0,8,+/-14,100.0%,+/-100.0,9,+/-15,37.5%,+/-56.2
Asian alone,179,+/-63,(X),(X),49,+/-39,(X),(X),130,+/-63,(X),(X)
High school graduate or higher,168,+/-62,93.9%,+/-8.0,47,+/-39,95.9%,+/-7.9,121,+/-63,93.1%,+/-11.5
Bachelor's degree or higher,24,+/-28,13.4%,+/-15.9,17,+/-24,34.7%,+/-40.5,7,+/-15,5.4%,+/-11.6
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,93,+/-81,(X),(X),40,+/-49,(X),(X),53,+/-87,(X),(X)
High school graduate or higher,93,+/-81,100.0%,+/-27.0,40,+/-49,100.0%,+/-45.1,53,+/-87,100.0%,+/-39.1
Bachelor's degree or higher,0,+/-24,0.0%,+/-27.0,0,+/-24,0.0%,+/-45.1,0,+/-24,0.0%,+/-39.1
Two or more races,157,+/-53,(X),(X),63,+/-41,(X),(X),94,+/-62,(X),(X)
High school graduate or higher,108,+/-49,68.8%,+/-22.6,57,+/-39,90.5%,+/-13.7,51,+/-46,54.3%,+/-30.5
Bachelor's degree or higher,61,+/-48,38.9%,+/-25.3,22,+/-31,34.9%,+/-39.0,39,+/-44,41.5%,+/-34.5
Hispanic or Latino Origin,253,+/-74,(X),(X),149,+/-68,(X),(X),104,+/-82,(X),(X)
High school graduate or higher,224,+/-76,88.5%,+/-11.5,129,+/-71,86.6%,+/-15.6,95,+/-80,91.3%,+/-15.3
Bachelor's degree or higher,6,+/-11,2.4%,+/-4.5,0,+/-24,0.0%,+/-18.1,6,+/-11,5.8%,+/-12.0
