Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"5,139",+/-165,(X),(X),"3,097",+/-154,(X),(X),"2,042",+/-132,(X),(X)
Less than high school graduate,472,+/-140,9.2%,+/-2.8,284,+/-114,9.2%,+/-3.7,188,+/-90,9.2%,+/-4.4
High school graduate (includes equivalency),"1,489",+/-297,29.0%,+/-5.6,961,+/-238,31.0%,+/-7.2,528,+/-171,25.9%,+/-8.4
Some college or associate's degree,"2,996",+/-299,58.3%,+/-5.6,"1,748",+/-221,56.4%,+/-7.1,"1,248",+/-225,61.1%,+/-9.7
Bachelor's degree or higher,182,+/-110,3.5%,+/-2.1,104,+/-102,3.4%,+/-3.3,78,+/-49,3.8%,+/-2.4
Population 25 years and over,"24,770",+/-166,(X),(X),"12,008",+/-167,(X),(X),"12,762",+/-112,(X),(X)
Less than 9th grade,593,+/-156,2.4%,+/-0.6,227,+/-90,1.9%,+/-0.7,366,+/-110,2.9%,+/-0.9
"9th to 12th grade, no diploma","2,246",+/-372,9.1%,+/-1.5,"1,033",+/-223,8.6%,+/-1.8,"1,213",+/-235,9.5%,+/-1.8
High school graduate (includes equivalency),"9,066",+/-476,36.6%,+/-1.9,"4,756",+/-324,39.6%,+/-2.7,"4,310",+/-348,33.8%,+/-2.7
"Some college, no degree","4,784",+/-393,19.3%,+/-1.6,"2,356",+/-291,19.6%,+/-2.4,"2,428",+/-284,19.0%,+/-2.2
Associate's degree,"4,307",+/-465,17.4%,+/-1.9,"1,924",+/-274,16.0%,+/-2.2,"2,383",+/-325,18.7%,+/-2.6
Bachelor's degree,"2,486",+/-333,10.0%,+/-1.3,"1,214",+/-221,10.1%,+/-1.8,"1,272",+/-204,10.0%,+/-1.6
Graduate or professional degree,"1,288",+/-228,5.2%,+/-0.9,498,+/-112,4.1%,+/-0.9,790,+/-175,6.2%,+/-1.4
Percent high school graduate or higher,(X),(X),88.5%,+/-1.5,(X),(X),89.5%,+/-1.8,(X),(X),87.6%,+/-1.9
Percent bachelor's degree or higher,(X),(X),15.2%,+/-1.7,(X),(X),14.3%,+/-2.2,(X),(X),16.2%,+/-1.9
Population 25 to 34 years,"4,423",+/-119,(X),(X),"2,363",+/-101,(X),(X),"2,060",+/-77,(X),(X)
High school graduate or higher,"4,023",+/-161,91.0%,+/-2.7,"2,206",+/-128,93.4%,+/-3.3,"1,817",+/-120,88.2%,+/-4.6
Bachelor's degree or higher,852,+/-194,19.3%,+/-4.3,433,+/-132,18.3%,+/-5.6,419,+/-127,20.3%,+/-6.0
Population 35 to 44 years,"4,086",+/-100,(X),(X),"2,102",+/-101,(X),(X),"1,984",+/-88,(X),(X)
High school graduate or higher,"3,715",+/-133,90.9%,+/-2.7,"1,855",+/-124,88.2%,+/-4.5,"1,860",+/-106,93.8%,+/-3.3
Bachelor's degree or higher,536,+/-139,13.1%,+/-3.5,138,+/-56,6.6%,+/-2.7,398,+/-121,20.1%,+/-6.2
Population 45 to 64 years,"9,961",+/-124,(X),(X),"4,941",+/-95,(X),(X),"5,020",+/-92,(X),(X)
High school graduate or higher,"8,899",+/-244,89.3%,+/-2.2,"4,387",+/-168,88.8%,+/-2.9,"4,512",+/-157,89.9%,+/-2.8
Bachelor's degree or higher,"1,503",+/-232,15.1%,+/-2.3,717,+/-152,14.5%,+/-3.0,786,+/-147,15.7%,+/-2.9
Population 65 years and over,"6,300",+/-58,(X),(X),"2,602",+/-17,(X),(X),"3,698",+/-60,(X),(X)
High school graduate or higher,"5,294",+/-216,84.0%,+/-3.4,"2,300",+/-98,88.4%,+/-3.7,"2,994",+/-157,81.0%,+/-4.2
Bachelor's degree or higher,883,+/-171,14.0%,+/-2.7,424,+/-108,16.3%,+/-4.2,459,+/-117,12.4%,+/-3.2
