Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"7,343",+/-198,(X),(X),"3,666",+/-148,(X),(X),"3,677",+/-113,(X),(X)
Less than high school graduate,"1,553",+/-292,21.1%,+/-3.9,"1,028",+/-214,28.0%,+/-5.7,525,+/-134,14.3%,+/-3.7
High school graduate (includes equivalency),"2,498",+/-343,34.0%,+/-4.6,"1,281",+/-211,34.9%,+/-5.5,"1,217",+/-195,33.1%,+/-5.5
Some college or associate's degree,"2,688",+/-325,36.6%,+/-4.3,"1,237",+/-223,33.7%,+/-5.9,"1,451",+/-210,39.5%,+/-5.4
Bachelor's degree or higher,604,+/-190,8.2%,+/-2.6,120,+/-78,3.3%,+/-2.1,484,+/-158,13.2%,+/-4.2
Population 25 years and over,"51,316",+/-173,(X),(X),"25,336",+/-152,(X),(X),"25,980",+/-114,(X),(X)
Less than 9th grade,"2,499",+/-318,4.9%,+/-0.6,"1,388",+/-193,5.5%,+/-0.8,"1,111",+/-186,4.3%,+/-0.7
"9th to 12th grade, no diploma","5,009",+/-373,9.8%,+/-0.7,"2,329",+/-270,9.2%,+/-1.1,"2,680",+/-279,10.3%,+/-1.1
High school graduate (includes equivalency),"19,333",+/-684,37.7%,+/-1.4,"9,566",+/-451,37.8%,+/-1.8,"9,767",+/-425,37.6%,+/-1.6
"Some college, no degree","10,313",+/-557,20.1%,+/-1.1,"5,207",+/-379,20.6%,+/-1.5,"5,106",+/-429,19.7%,+/-1.6
Associate's degree,"3,537",+/-351,6.9%,+/-0.7,"1,515",+/-231,6.0%,+/-0.9,"2,022",+/-237,7.8%,+/-0.9
Bachelor's degree,"6,906",+/-523,13.5%,+/-1.0,"3,309",+/-322,13.1%,+/-1.3,"3,597",+/-336,13.8%,+/-1.3
Graduate or professional degree,"3,719",+/-368,7.2%,+/-0.7,"2,022",+/-254,8.0%,+/-1.0,"1,697",+/-204,6.5%,+/-0.8
Percent high school graduate or higher,(X),(X),85.4%,+/-1.0,(X),(X),85.3%,+/-1.2,(X),(X),85.4%,+/-1.3
Percent bachelor's degree or higher,(X),(X),20.7%,+/-1.3,(X),(X),21.0%,+/-1.7,(X),(X),20.4%,+/-1.5
Population 25 to 34 years,"9,693",+/-119,(X),(X),"5,060",+/-111,(X),(X),"4,633",+/-58,(X),(X)
High school graduate or higher,"8,157",+/-250,84.2%,+/-2.3,"4,284",+/-181,84.7%,+/-2.9,"3,873",+/-151,83.6%,+/-3.1
Bachelor's degree or higher,"2,206",+/-286,22.8%,+/-2.9,"1,006",+/-184,19.9%,+/-3.5,"1,200",+/-173,25.9%,+/-3.7
Population 35 to 44 years,"9,214",+/-79,(X),(X),"4,681",+/-63,(X),(X),"4,533",+/-36,(X),(X)
High school graduate or higher,"8,146",+/-185,88.4%,+/-1.9,"4,132",+/-131,88.3%,+/-2.5,"4,014",+/-117,88.6%,+/-2.4
Bachelor's degree or higher,"2,160",+/-286,23.4%,+/-3.1,"1,004",+/-192,21.4%,+/-4.1,"1,156",+/-163,25.5%,+/-3.6
Population 45 to 64 years,"21,057",+/-142,(X),(X),"10,439",+/-89,(X),(X),"10,618",+/-113,(X),(X)
High school graduate or higher,"18,338",+/-338,87.1%,+/-1.5,"8,986",+/-205,86.1%,+/-1.9,"9,352",+/-228,88.1%,+/-1.9
Bachelor's degree or higher,"4,297",+/-328,20.4%,+/-1.6,"2,190",+/-245,21.0%,+/-2.3,"2,107",+/-174,19.8%,+/-1.6
Population 65 years and over,"11,352",+/-71,(X),(X),"5,156",+/-71,(X),(X),"6,196",+/-9,(X),(X)
High school graduate or higher,"9,167",+/-255,80.8%,+/-2.3,"4,217",+/-132,81.8%,+/-2.7,"4,950",+/-194,79.9%,+/-3.1
Bachelor's degree or higher,"1,962",+/-219,17.3%,+/-1.9,"1,131",+/-142,21.9%,+/-2.7,831,+/-127,13.4%,+/-2.1
