RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"49,722",+/-253,(X),(X),"24,357",+/-148,(X),(X),"25,365",+/-138,(X),(X)
High school graduate or higher,"42,406",+/-522,85.3%,+/-1.1,"20,783",+/-362,85.3%,+/-1.5,"21,623",+/-329,85.2%,+/-1.3
Bachelor's degree or higher,"10,951",+/-598,22.0%,+/-1.2,"5,403",+/-395,22.2%,+/-1.6,"5,548",+/-316,21.9%,+/-1.2
"White alone, not Hispanic or Latino","47,618",+/-34,(X),(X),"23,213",+/-34,(X),(X),"24,405",+/-27,(X),(X)
High school graduate or higher,"41,331",+/-433,86.8%,+/-0.9,"20,151",+/-313,86.8%,+/-1.3,"21,180",+/-281,86.8%,+/-1.2
Bachelor's degree or higher,"10,880",+/-587,22.8%,+/-1.2,"5,363",+/-388,23.1%,+/-1.7,"5,517",+/-309,22.6%,+/-1.3
Black alone,299,+/-98,(X),(X),232,+/-90,(X),(X),67,+/-51,(X),(X)
High school graduate or higher,248,+/-102,82.9%,+/-20.4,181,+/-76,78.0%,+/-23.9,67,+/-51,100.0%,+/-34.3
Bachelor's degree or higher,62,+/-43,20.7%,+/-13.2,23,+/-22,9.9%,+/-8.9,39,+/-35,58.2%,+/-25.5
American Indian or Alaska Native alone,139,+/-47,(X),(X),72,+/-38,(X),(X),67,+/-31,(X),(X)
High school graduate or higher,99,+/-45,71.2%,+/-21.6,60,+/-34,83.3%,+/-23.4,39,+/-30,58.2%,+/-35.0
Bachelor's degree or higher,20,+/-24,14.4%,+/-17.5,12,+/-20,16.7%,+/-27.2,8,+/-14,11.9%,+/-22.3
Asian alone,606,+/-89,(X),(X),313,+/-70,(X),(X),293,+/-61,(X),(X)
High school graduate or higher,562,+/-85,92.7%,+/-7.0,313,+/-70,100.0%,+/-9.1,249,+/-54,85.0%,+/-13.7
Bachelor's degree or higher,430,+/-140,71.0%,+/-16.1,252,+/-99,80.5%,+/-19.2,178,+/-70,60.8%,+/-17.9
Native Hawaiian and Other Pacific Islander alone,12,+/-23,(X),(X),0,+/-27,(X),(X),12,+/-23,(X),(X)
High school graduate or higher,12,+/-23,100.0%,+/-82.2,0,+/-27,-,**,12,+/-23,100.0%,+/-82.2
Bachelor's degree or higher,0,+/-27,0.0%,+/-82.3,0,+/-27,-,**,0,+/-27,0.0%,+/-82.3
Some other race alone,814,+/-247,(X),(X),499,+/-138,(X),(X),315,+/-131,(X),(X)
High school graduate or higher,410,+/-141,50.4%,+/-13.9,236,+/-94,47.3%,+/-17.2,174,+/-86,55.2%,+/-18.4
Bachelor's degree or higher,59,+/-49,7.2%,+/-5.5,19,+/-24,3.8%,+/-4.6,40,+/-40,12.7%,+/-11.7
Two or more races,449,+/-123,(X),(X),293,+/-94,(X),(X),156,+/-61,(X),(X)
High school graduate or higher,386,+/-115,86.0%,+/-9.8,254,+/-84,86.7%,+/-12.1,132,+/-56,84.6%,+/-13.7
Bachelor's degree or higher,60,+/-43,13.4%,+/-9.2,45,+/-38,15.4%,+/-12.5,15,+/-16,9.6%,+/-9.9
Hispanic or Latino Origin,"2,986",+/-96,(X),(X),"1,668",+/-96,(X),(X),"1,318",*****,(X),(X)
High school graduate or higher,"1,525",+/-245,51.1%,+/-8.1,888,+/-170,53.2%,+/-9.7,637,+/-126,48.3%,+/-9.6
Bachelor's degree or higher,130,+/-65,4.4%,+/-2.2,59,+/-39,3.5%,+/-2.3,71,+/-48,5.4%,+/-3.7
