Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,502",+/-76,(X),(X),"1,827",+/-35,(X),(X),"1,675",+/-62,(X),(X)
Less than high school graduate,"2,090",+/-193,59.7%,+/-5.5,"1,039",+/-131,56.9%,+/-7.1,"1,051",+/-118,62.7%,+/-6.7
High school graduate (includes equivalency),707,+/-136,20.2%,+/-3.9,386,+/-92,21.1%,+/-5.0,321,+/-88,19.2%,+/-5.2
Some college or associate's degree,622,+/-150,17.8%,+/-4.2,362,+/-113,19.8%,+/-6.2,260,+/-88,15.5%,+/-5.2
Bachelor's degree or higher,83,+/-54,2.4%,+/-1.5,40,+/-38,2.2%,+/-2.1,43,+/-39,2.6%,+/-2.3
Population 25 years and over,"21,662",+/-73,(X),(X),"10,621",+/-50,(X),(X),"11,041",+/-61,(X),(X)
Less than 9th grade,"6,027",+/-420,27.8%,+/-1.9,"2,974",+/-270,28.0%,+/-2.5,"3,053",+/-241,27.7%,+/-2.2
"9th to 12th grade, no diploma","1,987",+/-266,9.2%,+/-1.2,977,+/-180,9.2%,+/-1.7,"1,010",+/-173,9.1%,+/-1.6
High school graduate (includes equivalency),"7,165",+/-470,33.1%,+/-2.2,"3,698",+/-301,34.8%,+/-2.8,"3,467",+/-268,31.4%,+/-2.4
"Some college, no degree","3,119",+/-268,14.4%,+/-1.2,"1,500",+/-190,14.1%,+/-1.8,"1,619",+/-166,14.7%,+/-1.5
Associate's degree,"1,234",+/-204,5.7%,+/-0.9,415,+/-99,3.9%,+/-0.9,819,+/-159,7.4%,+/-1.4
Bachelor's degree,"1,272",+/-201,5.9%,+/-0.9,596,+/-126,5.6%,+/-1.2,676,+/-156,6.1%,+/-1.4
Graduate or professional degree,858,+/-182,4.0%,+/-0.8,461,+/-109,4.3%,+/-1.0,397,+/-119,3.6%,+/-1.1
Percent high school graduate or higher,(X),(X),63.0%,+/-2.2,(X),(X),62.8%,+/-2.6,(X),(X),63.2%,+/-2.6
Percent bachelor's degree or higher,(X),(X),9.8%,+/-1.2,(X),(X),10.0%,+/-1.5,(X),(X),9.7%,+/-1.5
Population 25 to 34 years,"4,383",+/-68,(X),(X),"2,175",+/-29,(X),(X),"2,208",+/-56,(X),(X)
High school graduate or higher,"2,170",+/-229,49.5%,+/-5.1,"1,028",+/-140,47.3%,+/-6.4,"1,142",+/-135,51.7%,+/-5.7
Bachelor's degree or higher,257,+/-83,5.9%,+/-1.9,104,+/-46,4.8%,+/-2.1,153,+/-69,6.9%,+/-3.1
Population 35 to 44 years,"4,303",+/-60,(X),(X),"2,194",+/-47,(X),(X),"2,109",+/-32,(X),(X)
High school graduate or higher,"2,350",+/-203,54.6%,+/-4.7,"1,270",+/-120,57.9%,+/-5.1,"1,080",+/-123,51.2%,+/-6.0
Bachelor's degree or higher,410,+/-129,9.5%,+/-3.0,187,+/-69,8.5%,+/-3.1,223,+/-89,10.6%,+/-4.2
Population 45 to 64 years,"8,259",+/-70,(X),(X),"4,093",+/-53,(X),(X),"4,166",+/-42,(X),(X)
High school graduate or higher,"5,760",+/-245,69.7%,+/-3.0,"2,833",+/-155,69.2%,+/-3.9,"2,927",+/-153,70.3%,+/-3.7
Bachelor's degree or higher,845,+/-165,10.2%,+/-2.0,439,+/-106,10.7%,+/-2.6,406,+/-96,9.7%,+/-2.3
Population 65 years and over,"4,717",+/-50,(X),(X),"2,159",+/-24,(X),(X),"2,558",+/-31,(X),(X)
High school graduate or higher,"3,368",+/-201,71.4%,+/-4.2,"1,539",+/-128,71.3%,+/-5.8,"1,829",+/-135,71.5%,+/-5.1
Bachelor's degree or higher,618,+/-131,13.1%,+/-2.8,327,+/-82,15.1%,+/-3.8,291,+/-81,11.4%,+/-3.2
