RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"21,624",+/-99,(X),(X),"10,570",+/-71,(X),(X),"11,054",+/-54,(X),(X)
High school graduate or higher,"13,859",+/-379,64.1%,+/-1.7,"6,602",+/-255,62.5%,+/-2.3,"7,257",+/-222,65.7%,+/-2.0
Bachelor's degree or higher,"2,363",+/-292,10.9%,+/-1.4,"1,278",+/-194,12.1%,+/-1.8,"1,085",+/-185,9.8%,+/-1.7
"White alone, not Hispanic or Latino","21,058",+/-24,(X),(X),"10,323",+/-24,(X),(X),"10,735",+/-24,(X),(X)
High school graduate or higher,"13,524",+/-378,64.2%,+/-1.8,"6,482",+/-252,62.8%,+/-2.4,"7,042",+/-223,65.6%,+/-2.1
Bachelor's degree or higher,"2,326",+/-280,11.0%,+/-1.3,"1,272",+/-192,12.3%,+/-1.9,"1,054",+/-175,9.8%,+/-1.6
Black alone,74,+/-72,(X),(X),74,+/-72,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,74,+/-72,100.0%,+/-32.0,74,+/-72,100.0%,+/-32.0,0,+/-24,-,**
Bachelor's degree or higher,67,+/-76,90.5%,+/-32.8,67,+/-76,90.5%,+/-32.8,0,+/-24,-,**
American Indian or Alaska Native alone,10,+/-16,(X),(X),4,+/-7,(X),(X),6,+/-9,(X),(X)
High school graduate or higher,5,+/-8,50.0%,+/-23.4,0,+/-24,0.0%,+/-100.0,5,+/-8,83.3%,+/-38.3
Bachelor's degree or higher,0,+/-24,0.0%,+/-90.1,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0
Asian alone,26,+/-24,(X),(X),5,+/-11,(X),(X),21,+/-15,(X),(X)
High school graduate or higher,18,+/-18,69.2%,+/-31.5,5,+/-11,100.0%,+/-100.0,13,+/-13,61.9%,+/-44.1
Bachelor's degree or higher,17,+/-16,65.4%,+/-28.5,5,+/-11,100.0%,+/-100.0,12,+/-12,57.1%,+/-43.4
Native Hawaiian and Other Pacific Islander alone,9,+/-12,(X),(X),9,+/-12,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,9,+/-12,100.0%,+/-95.0,9,+/-12,100.0%,+/-95.0,0,+/-24,-,**
Bachelor's degree or higher,9,+/-12,100.0%,+/-95.0,9,+/-12,100.0%,+/-95.0,0,+/-24,-,**
Some other race alone,24,+/-30,(X),(X),22,+/-30,(X),(X),2,+/-4,(X),(X)
High school graduate or higher,24,+/-30,100.0%,+/-58.2,22,+/-30,100.0%,+/-60.7,2,+/-4,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-58.2,0,+/-24,0.0%,+/-60.7,0,+/-24,0.0%,+/-100.0
Two or more races,187,+/-36,(X),(X),86,+/-36,(X),(X),101,+/-29,(X),(X)
High school graduate or higher,124,+/-34,66.3%,+/-12.0,62,+/-31,72.1%,+/-16.8,62,+/-23,61.4%,+/-17.2
Bachelor's degree or higher,2,+/-4,1.1%,+/-2.1,1,+/-3,1.2%,+/-4.3,1,+/-2,1.0%,+/-2.1
Hispanic or Latino Origin,594,+/-94,(X),(X),269,+/-64,(X),(X),325,+/-56,(X),(X)
High school graduate or higher,357,+/-148,60.1%,+/-18.6,142,+/-91,52.8%,+/-24.8,215,+/-73,66.2%,+/-18.6
Bachelor's degree or higher,37,+/-42,6.2%,+/-7.4,6,+/-9,2.2%,+/-3.1,31,+/-42,9.5%,+/-13.8
