Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"9,384",+/-42,(X),(X),"5,275",+/-27,(X),(X),"4,109",+/-36,(X),(X)
Less than high school graduate,"2,194",+/-275,23.4%,+/-2.9,"1,425",+/-194,27.0%,+/-3.7,769,+/-189,18.7%,+/-4.6
High school graduate (includes equivalency),"3,946",+/-309,42.1%,+/-3.3,"2,514",+/-219,47.7%,+/-4.1,"1,432",+/-246,34.9%,+/-5.9
Some college or associate's degree,"2,761",+/-308,29.4%,+/-3.3,"1,217",+/-187,23.1%,+/-3.5,"1,544",+/-221,37.6%,+/-5.4
Bachelor's degree or higher,483,+/-141,5.1%,+/-1.5,119,+/-59,2.3%,+/-1.1,364,+/-131,8.9%,+/-3.2
Population 25 years and over,"77,203",+/-42,(X),(X),"39,714",+/-55,(X),(X),"37,489",+/-59,(X),(X)
Less than 9th grade,"2,338",+/-302,3.0%,+/-0.4,"1,441",+/-212,3.6%,+/-0.5,897,+/-168,2.4%,+/-0.4
"9th to 12th grade, no diploma","7,030",+/-589,9.1%,+/-0.8,"4,072",+/-433,10.3%,+/-1.1,"2,958",+/-376,7.9%,+/-1.0
High school graduate (includes equivalency),"29,991",+/-885,38.8%,+/-1.1,"16,191",+/-673,40.8%,+/-1.7,"13,800",+/-544,36.8%,+/-1.5
"Some college, no degree","17,117",+/-685,22.2%,+/-0.9,"8,712",+/-505,21.9%,+/-1.3,"8,405",+/-447,22.4%,+/-1.2
Associate's degree,"6,969",+/-424,9.0%,+/-0.5,"2,705",+/-289,6.8%,+/-0.7,"4,264",+/-323,11.4%,+/-0.9
Bachelor's degree,"8,931",+/-557,11.6%,+/-0.7,"4,316",+/-414,10.9%,+/-1.0,"4,615",+/-396,12.3%,+/-1.1
Graduate or professional degree,"4,827",+/-426,6.3%,+/-0.6,"2,277",+/-251,5.7%,+/-0.6,"2,550",+/-286,6.8%,+/-0.8
Percent high school graduate or higher,(X),(X),87.9%,+/-0.9,(X),(X),86.1%,+/-1.3,(X),(X),89.7%,+/-1.2
Percent bachelor's degree or higher,(X),(X),17.8%,+/-0.8,(X),(X),16.6%,+/-1.2,(X),(X),19.1%,+/-1.1
Population 25 to 34 years,"14,397",+/-78,(X),(X),"8,304",+/-61,(X),(X),"6,093",+/-46,(X),(X)
High school graduate or higher,"12,425",+/-267,86.3%,+/-1.8,"6,814",+/-222,82.1%,+/-2.6,"5,611",+/-128,92.1%,+/-2.0
Bachelor's degree or higher,"2,460",+/-303,17.1%,+/-2.1,"1,069",+/-189,12.9%,+/-2.3,"1,391",+/-219,22.8%,+/-3.6
Population 35 to 44 years,"13,814",+/-70,(X),(X),"7,554",+/-48,(X),(X),"6,260",+/-50,(X),(X)
High school graduate or higher,"12,277",+/-290,88.9%,+/-2.1,"6,534",+/-198,86.5%,+/-2.6,"5,743",+/-177,91.7%,+/-2.8
Bachelor's degree or higher,"2,276",+/-263,16.5%,+/-1.9,950,+/-151,12.6%,+/-2.0,"1,326",+/-191,21.2%,+/-3.1
Population 45 to 64 years,"30,911",+/-117,(X),(X),"15,872",+/-96,(X),(X),"15,039",+/-60,(X),(X)
High school graduate or higher,"27,848",+/-380,90.1%,+/-1.2,"13,953",+/-276,87.9%,+/-1.7,"13,895",+/-230,92.4%,+/-1.5
Bachelor's degree or higher,"5,715",+/-443,18.5%,+/-1.4,"2,912",+/-311,18.3%,+/-2.0,"2,803",+/-273,18.6%,+/-1.8
Population 65 years and over,"18,081",+/-94,(X),(X),"7,984",+/-79,(X),(X),"10,097",+/-55,(X),(X)
High school graduate or higher,"15,285",+/-369,84.5%,+/-2.0,"6,900",+/-188,86.4%,+/-2.2,"8,385",+/-249,83.0%,+/-2.5
Bachelor's degree or higher,"3,307",+/-312,18.3%,+/-1.7,"1,662",+/-168,20.8%,+/-2.1,"1,645",+/-226,16.3%,+/-2.2
