Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"44,262",+/-88,(X),(X),"22,494",+/-66,(X),(X),"21,768",+/-51,(X),(X)
Less than high school graduate,"9,196",+/-605,20.8%,+/-1.4,"5,243",+/-475,23.3%,+/-2.1,"3,953",+/-402,18.2%,+/-1.8
High school graduate (includes equivalency),"15,482",+/-762,35.0%,+/-1.7,"8,054",+/-532,35.8%,+/-2.4,"7,428",+/-510,34.1%,+/-2.3
Some college or associate's degree,"16,473",+/-871,37.2%,+/-2.0,"7,877",+/-617,35.0%,+/-2.7,"8,596",+/-591,39.5%,+/-2.7
Bachelor's degree or higher,"3,111",+/-405,7.0%,+/-0.9,"1,320",+/-262,5.9%,+/-1.2,"1,791",+/-295,8.2%,+/-1.3
Population 25 years and over,"325,433",+/-104,(X),(X),"153,220",+/-68,(X),(X),"172,213",+/-59,(X),(X)
Less than 9th grade,"14,525",+/-963,4.5%,+/-0.3,"7,119",+/-622,4.6%,+/-0.4,"7,406",+/-586,4.3%,+/-0.3
"9th to 12th grade, no diploma","25,867",+/-899,7.9%,+/-0.3,"12,707",+/-572,8.3%,+/-0.4,"13,160",+/-711,7.6%,+/-0.4
High school graduate (includes equivalency),"114,779","+/-1,887",35.3%,+/-0.6,"57,638","+/-1,213",37.6%,+/-0.8,"57,141","+/-1,385",33.2%,+/-0.8
"Some college, no degree","75,330","+/-1,632",23.1%,+/-0.5,"35,034","+/-1,105",22.9%,+/-0.7,"40,296","+/-1,075",23.4%,+/-0.6
Associate's degree,"26,956","+/-1,009",8.3%,+/-0.3,"10,412",+/-576,6.8%,+/-0.4,"16,544",+/-718,9.6%,+/-0.4
Bachelor's degree,"45,298","+/-1,378",13.9%,+/-0.4,"20,826",+/-813,13.6%,+/-0.5,"24,472","+/-1,028",14.2%,+/-0.6
Graduate or professional degree,"22,678",+/-957,7.0%,+/-0.3,"9,484",+/-565,6.2%,+/-0.4,"13,194",+/-696,7.7%,+/-0.4
Percent high school graduate or higher,(X),(X),87.6%,+/-0.4,(X),(X),87.1%,+/-0.5,(X),(X),88.1%,+/-0.5
Percent bachelor's degree or higher,(X),(X),20.9%,+/-0.5,(X),(X),19.8%,+/-0.7,(X),(X),21.9%,+/-0.7
Population 25 to 34 years,"60,483",+/-89,(X),(X),"29,447",+/-66,(X),(X),"31,036",+/-50,(X),(X)
High school graduate or higher,"54,105",+/-572,89.5%,+/-0.9,"26,191",+/-359,88.9%,+/-1.2,"27,914",+/-384,89.9%,+/-1.2
Bachelor's degree or higher,"14,792",+/-905,24.5%,+/-1.5,"5,913",+/-568,20.1%,+/-1.9,"8,879",+/-591,28.6%,+/-1.9
Population 35 to 44 years,"61,231",+/-62,(X),(X),"29,653",+/-59,(X),(X),"31,578",+/-9,(X),(X)
High school graduate or higher,"55,392",+/-589,90.5%,+/-1.0,"26,264",+/-417,88.6%,+/-1.4,"29,128",+/-317,92.2%,+/-1.0
Bachelor's degree or higher,"14,972",+/-783,24.5%,+/-1.3,"6,381",+/-454,21.5%,+/-1.5,"8,591",+/-499,27.2%,+/-1.6
Population 45 to 64 years,"132,247",+/-84,(X),(X),"63,709",+/-82,(X),(X),"68,538",+/-19,(X),(X)
High school graduate or higher,"118,330",+/-624,89.5%,+/-0.5,"56,312",+/-483,88.4%,+/-0.8,"62,018",+/-464,90.5%,+/-0.7
Bachelor's degree or higher,"27,243","+/-1,088",20.6%,+/-0.8,"12,340",+/-664,19.4%,+/-1.0,"14,903",+/-741,21.7%,+/-1.1
Population 65 years and over,"71,472",+/-48,(X),(X),"30,411",+/-46,(X),(X),"41,061",+/-9,(X),(X)
High school graduate or higher,"57,214",+/-646,80.1%,+/-0.9,"24,627",+/-359,81.0%,+/-1.2,"32,587",+/-490,79.4%,+/-1.2
Bachelor's degree or higher,"10,969",+/-620,15.3%,+/-0.9,"5,676",+/-401,18.7%,+/-1.3,"5,293",+/-410,12.9%,+/-1.0
