RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"217,527","+/-1,079",(X),(X),"105,090",+/-624,(X),(X),"112,437",+/-625,(X),(X)
High school graduate or higher,"195,490","+/-1,471",89.9%,+/-0.5,"94,385",+/-932,89.8%,+/-0.7,"101,105",+/-914,89.9%,+/-0.7
Bachelor's degree or higher,"52,537","+/-1,486",24.2%,+/-0.7,"24,448",+/-956,23.3%,+/-0.9,"28,089",+/-835,25.0%,+/-0.7
"White alone, not Hispanic or Latino","195,682",+/-173,(X),(X),"94,213",+/-98,(X),(X),"101,469",+/-86,(X),(X)
High school graduate or higher,"179,048","+/-1,035",91.5%,+/-0.5,"86,237",+/-632,91.5%,+/-0.7,"92,811",+/-689,91.5%,+/-0.7
Bachelor's degree or higher,"48,939","+/-1,412",25.0%,+/-0.7,"22,839",+/-898,24.2%,+/-1.0,"26,100",+/-834,25.7%,+/-0.8
Black alone,"73,387",+/-270,(X),(X),"31,179",+/-175,(X),(X),"42,208",+/-209,(X),(X)
High school graduate or higher,"65,210",+/-571,88.9%,+/-0.7,"27,408",+/-413,87.9%,+/-1.3,"37,802",+/-445,89.6%,+/-0.9
Bachelor's degree or higher,"11,123",+/-761,15.2%,+/-1.0,"3,574",+/-418,11.5%,+/-1.3,"7,549",+/-582,17.9%,+/-1.4
American Indian or Alaska Native alone,"1,077",+/-218,(X),(X),613,+/-129,(X),(X),464,+/-135,(X),(X)
High school graduate or higher,844,+/-221,78.4%,+/-10.6,450,+/-150,73.4%,+/-15.8,394,+/-125,84.9%,+/-14.0
Bachelor's degree or higher,230,+/-134,21.4%,+/-11.4,164,+/-99,26.8%,+/-14.4,66,+/-61,14.2%,+/-11.9
Asian alone,"4,516",+/-203,(X),(X),"2,059",+/-111,(X),(X),"2,457",+/-138,(X),(X)
High school graduate or higher,"4,106",+/-228,90.9%,+/-3.3,"1,880",+/-144,91.3%,+/-5.0,"2,226",+/-146,90.6%,+/-3.2
Bachelor's degree or higher,"2,419",+/-283,53.6%,+/-5.8,"1,269",+/-176,61.6%,+/-7.5,"1,150",+/-179,46.8%,+/-6.8
Native Hawaiian and Other Pacific Islander alone,72,+/-47,(X),(X),4,+/-7,(X),(X),68,+/-44,(X),(X)
High school graduate or higher,69,+/-44,95.8%,+/-11.1,4,+/-7,100.0%,+/-100.0,65,+/-41,95.6%,+/-11.9
Bachelor's degree or higher,10,+/-18,13.9%,+/-19.8,2,+/-4,50.0%,+/-50.0,8,+/-16,11.8%,+/-19.3
Some other race alone,"24,980","+/-1,119",(X),(X),"12,764",+/-632,(X),(X),"12,216",+/-640,(X),(X)
High school graduate or higher,"17,588","+/-1,038",70.4%,+/-2.6,"8,909",+/-580,69.8%,+/-3.0,"8,679",+/-631,71.0%,+/-3.2
Bachelor's degree or higher,"2,522",+/-450,10.1%,+/-1.7,"1,298",+/-281,10.2%,+/-2.1,"1,224",+/-295,10.0%,+/-2.3
Two or more races,"4,940",+/-554,(X),(X),"2,069",+/-350,(X),(X),"2,871",+/-354,(X),(X)
High school graduate or higher,"4,189",+/-480,84.8%,+/-3.9,"1,705",+/-305,82.4%,+/-6.3,"2,484",+/-332,86.5%,+/-4.0
Bachelor's degree or higher,"1,128",+/-247,22.8%,+/-4.1,441,+/-159,21.3%,+/-6.2,687,+/-164,23.9%,+/-5.2
Hispanic or Latino Origin,"50,189",*****,(X),(X),"25,247",*****,(X),(X),"24,942",*****,(X),(X)
High school graduate or higher,"36,737",+/-674,73.2%,+/-1.3,"18,299",+/-446,72.5%,+/-1.8,"18,438",+/-439,73.9%,+/-1.8
Bachelor's degree or higher,"6,642",+/-580,13.2%,+/-1.2,"3,177",+/-381,12.6%,+/-1.5,"3,465",+/-382,13.9%,+/-1.5
