Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,482",+/-90,(X),(X),"1,819",+/-55,(X),(X),"1,663",+/-79,(X),(X)
Less than high school graduate,799,+/-179,22.9%,+/-5.0,448,+/-127,24.6%,+/-7.0,351,+/-127,21.1%,+/-7.3
High school graduate (includes equivalency),"1,176",+/-201,33.8%,+/-5.5,727,+/-149,40.0%,+/-8.0,449,+/-137,27.0%,+/-8.0
Some college or associate's degree,"1,232",+/-196,35.4%,+/-5.8,545,+/-132,30.0%,+/-7.3,687,+/-136,41.3%,+/-8.4
Bachelor's degree or higher,275,+/-140,7.9%,+/-4.0,99,+/-69,5.4%,+/-3.8,176,+/-101,10.6%,+/-6.1
Population 25 years and over,"32,002",+/-104,(X),(X),"15,450",+/-105,(X),(X),"16,552",+/-96,(X),(X)
Less than 9th grade,"1,170",+/-232,3.7%,+/-0.7,628,+/-180,4.1%,+/-1.2,542,+/-128,3.3%,+/-0.8
"9th to 12th grade, no diploma","2,882",+/-423,9.0%,+/-1.3,"1,349",+/-239,8.7%,+/-1.5,"1,533",+/-279,9.3%,+/-1.7
High school graduate (includes equivalency),"13,743",+/-618,42.9%,+/-1.9,"6,739",+/-405,43.6%,+/-2.6,"7,004",+/-411,42.3%,+/-2.5
"Some college, no degree","6,354",+/-462,19.9%,+/-1.4,"3,043",+/-305,19.7%,+/-2.0,"3,311",+/-367,20.0%,+/-2.2
Associate's degree,"3,443",+/-503,10.8%,+/-1.6,"1,640",+/-339,10.6%,+/-2.2,"1,803",+/-302,10.9%,+/-1.8
Bachelor's degree,"2,894",+/-360,9.0%,+/-1.1,"1,356",+/-245,8.8%,+/-1.6,"1,538",+/-254,9.3%,+/-1.5
Graduate or professional degree,"1,516",+/-273,4.7%,+/-0.9,695,+/-176,4.5%,+/-1.1,821,+/-161,5.0%,+/-1.0
Percent high school graduate or higher,(X),(X),87.3%,+/-1.5,(X),(X),87.2%,+/-1.8,(X),(X),87.5%,+/-1.7
Percent bachelor's degree or higher,(X),(X),13.8%,+/-1.6,(X),(X),13.3%,+/-2.0,(X),(X),14.3%,+/-1.9
Population 25 to 34 years,"5,078",+/-121,(X),(X),"2,506",+/-69,(X),(X),"2,572",+/-95,(X),(X)
High school graduate or higher,"4,585",+/-206,90.3%,+/-3.5,"2,176",+/-125,86.8%,+/-5.3,"2,409",+/-134,93.7%,+/-3.0
Bachelor's degree or higher,977,+/-218,19.2%,+/-4.3,306,+/-117,12.2%,+/-4.8,671,+/-162,26.1%,+/-6.2
Population 35 to 44 years,"5,714",+/-93,(X),(X),"2,847",+/-49,(X),(X),"2,867",+/-93,(X),(X)
High school graduate or higher,"5,129",+/-202,89.8%,+/-3.4,"2,578",+/-122,90.6%,+/-4.3,"2,551",+/-126,89.0%,+/-4.1
Bachelor's degree or higher,780,+/-202,13.7%,+/-3.5,357,+/-136,12.5%,+/-4.8,423,+/-138,14.8%,+/-4.8
Population 45 to 64 years,"13,176",+/-80,(X),(X),"6,530",+/-57,(X),(X),"6,646",+/-58,(X),(X)
High school graduate or higher,"11,991",+/-236,91.0%,+/-1.7,"5,907",+/-170,90.5%,+/-2.4,"6,084",+/-144,91.5%,+/-2.2
Bachelor's degree or higher,"1,867",+/-307,14.2%,+/-2.3,885,+/-214,13.6%,+/-3.3,982,+/-171,14.8%,+/-2.6
Population 65 years and over,"8,034",+/-68,(X),(X),"3,567",+/-50,(X),(X),"4,467",+/-40,(X),(X)
High school graduate or higher,"6,245",+/-262,77.7%,+/-3.2,"2,812",+/-152,78.8%,+/-4.2,"3,433",+/-181,76.9%,+/-4.0
Bachelor's degree or higher,786,+/-168,9.8%,+/-2.1,503,+/-121,14.1%,+/-3.4,283,+/-96,6.3%,+/-2.2
