RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"31,216",+/-79,(X),(X),"15,089",+/-43,(X),(X),"16,127",+/-58,(X),(X)
High school graduate or higher,"27,784",+/-423,89.0%,+/-1.3,"13,508",+/-272,89.5%,+/-1.8,"14,276",+/-261,88.5%,+/-1.6
Bachelor's degree or higher,"4,979",+/-471,16.0%,+/-1.5,"2,408",+/-288,16.0%,+/-1.9,"2,571",+/-314,15.9%,+/-1.9
"White alone, not Hispanic or Latino","31,038",+/-4,(X),(X),"15,018",+/-4,(X),(X),"16,020",+/-24,(X),(X)
High school graduate or higher,"27,647",+/-421,89.1%,+/-1.4,"13,447",+/-268,89.5%,+/-1.8,"14,200",+/-265,88.6%,+/-1.7
Bachelor's degree or higher,"4,958",+/-470,16.0%,+/-1.5,"2,408",+/-288,16.0%,+/-1.9,"2,550",+/-311,15.9%,+/-1.9
Black alone,108,+/-34,(X),(X),65,+/-40,(X),(X),43,+/-29,(X),(X)
High school graduate or higher,90,+/-33,83.3%,+/-17.8,47,+/-30,72.3%,+/-23.7,43,+/-29,100.0%,+/-43.5
Bachelor's degree or higher,0,+/-24,0.0%,+/-23.9,0,+/-24,0.0%,+/-34.9,0,+/-24,0.0%,+/-43.5
American Indian or Alaska Native alone,130,+/-96,(X),(X),83,+/-71,(X),(X),47,+/-66,(X),(X)
High school graduate or higher,130,+/-96,100.0%,+/-20.4,83,+/-71,100.0%,+/-29.5,47,+/-66,100.0%,+/-41.6
Bachelor's degree or higher,38,+/-40,29.2%,+/-26.0,38,+/-40,45.8%,+/-40.8,0,+/-24,0.0%,+/-41.6
Asian alone,128,+/-51,(X),(X),41,+/-28,(X),(X),87,+/-40,(X),(X)
High school graduate or higher,113,+/-52,88.3%,+/-14.8,33,+/-28,80.5%,+/-34.0,80,+/-41,92.0%,+/-14.4
Bachelor's degree or higher,59,+/-44,46.1%,+/-25.4,33,+/-28,80.5%,+/-34.0,26,+/-26,29.9%,+/-25.3
Native Hawaiian and Other Pacific Islander alone,21,+/-37,(X),(X),0,+/-24,(X),(X),21,+/-37,(X),(X)
High school graduate or higher,21,+/-37,100.0%,+/-62.2,0,+/-24,-,**,21,+/-37,100.0%,+/-62.2
Bachelor's degree or higher,21,+/-37,100.0%,+/-62.2,0,+/-24,-,**,21,+/-37,100.0%,+/-62.2
Some other race alone,133,+/-91,(X),(X),63,+/-49,(X),(X),70,+/-54,(X),(X)
High school graduate or higher,106,+/-64,79.7%,+/-24.7,63,+/-49,100.0%,+/-35.6,43,+/-39,61.4%,+/-48.6
Bachelor's degree or higher,0,+/-24,0.0%,+/-20.0,0,+/-24,0.0%,+/-35.6,0,+/-24,0.0%,+/-33.3
Two or more races,294,+/-150,(X),(X),95,+/-57,(X),(X),199,+/-116,(X),(X)
High school graduate or higher,269,+/-138,91.5%,+/-12.2,95,+/-57,100.0%,+/-26.5,174,+/-101,87.4%,+/-17.3
Bachelor's degree or higher,51,+/-44,17.3%,+/-14.5,44,+/-41,46.3%,+/-36.7,7,+/-13,3.5%,+/-6.4
Hispanic or Latino Origin,340,+/-64,(X),(X),163,+/-52,(X),(X),177,+/-51,(X),(X)
High school graduate or higher,272,+/-75,80.0%,+/-14.8,153,+/-51,93.9%,+/-9.2,119,+/-57,67.2%,+/-27.0
Bachelor's degree or higher,39,+/-45,11.5%,+/-12.8,18,+/-27,11.0%,+/-15.1,21,+/-35,11.9%,+/-19.6
