Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"11,600",+/-55,(X),(X),"5,951",+/-46,(X),(X),"5,649",+/-29,(X),(X)
Less than high school graduate,"2,474",+/-297,21.3%,+/-2.6,"1,538",+/-213,25.8%,+/-3.6,936,+/-176,16.6%,+/-3.1
High school graduate (includes equivalency),"4,183",+/-364,36.1%,+/-3.1,"2,209",+/-252,37.1%,+/-4.2,"1,974",+/-233,34.9%,+/-4.1
Some college or associate's degree,"4,468",+/-340,38.5%,+/-2.9,"2,014",+/-245,33.8%,+/-4.1,"2,454",+/-218,43.4%,+/-3.9
Bachelor's degree or higher,475,+/-130,4.1%,+/-1.1,190,+/-92,3.2%,+/-1.5,285,+/-84,5.0%,+/-1.5
Population 25 years and over,"89,672",+/-58,(X),(X),"44,255",+/-81,(X),(X),"45,417",+/-59,(X),(X)
Less than 9th grade,"2,898",+/-301,3.2%,+/-0.3,"1,674",+/-213,3.8%,+/-0.5,"1,224",+/-189,2.7%,+/-0.4
"9th to 12th grade, no diploma","8,504",+/-500,9.5%,+/-0.6,"4,449",+/-331,10.1%,+/-0.8,"4,055",+/-341,8.9%,+/-0.8
High school graduate (includes equivalency),"35,101",+/-982,39.1%,+/-1.1,"17,838",+/-699,40.3%,+/-1.6,"17,263",+/-577,38.0%,+/-1.3
"Some college, no degree","19,510",+/-837,21.8%,+/-0.9,"9,648",+/-585,21.8%,+/-1.3,"9,862",+/-537,21.7%,+/-1.2
Associate's degree,"7,939",+/-519,8.9%,+/-0.6,"3,371",+/-338,7.6%,+/-0.8,"4,568",+/-389,10.1%,+/-0.9
Bachelor's degree,"10,702",+/-595,11.9%,+/-0.7,"5,045",+/-342,11.4%,+/-0.8,"5,657",+/-414,12.5%,+/-0.9
Graduate or professional degree,"5,018",+/-409,5.6%,+/-0.5,"2,230",+/-234,5.0%,+/-0.5,"2,788",+/-291,6.1%,+/-0.6
Percent high school graduate or higher,(X),(X),87.3%,+/-0.6,(X),(X),86.2%,+/-0.9,(X),(X),88.4%,+/-0.8
Percent bachelor's degree or higher,(X),(X),17.5%,+/-0.8,(X),(X),16.4%,+/-0.9,(X),(X),18.6%,+/-1.1
Population 25 to 34 years,"16,190",+/-57,(X),(X),"8,478",+/-41,(X),(X),"7,712",+/-61,(X),(X)
High school graduate or higher,"13,872",+/-317,85.7%,+/-2.0,"7,103",+/-220,83.8%,+/-2.6,"6,769",+/-180,87.8%,+/-2.4
Bachelor's degree or higher,"3,146",+/-347,19.4%,+/-2.1,"1,296",+/-188,15.3%,+/-2.2,"1,850",+/-224,24.0%,+/-2.9
Population 35 to 44 years,"16,751",+/-91,(X),(X),"8,841",+/-101,(X),(X),"7,910",+/-39,(X),(X)
High school graduate or higher,"15,087",+/-240,90.1%,+/-1.5,"7,846",+/-190,88.7%,+/-2.1,"7,241",+/-169,91.5%,+/-2.0
Bachelor's degree or higher,"3,401",+/-327,20.3%,+/-1.9,"1,488",+/-208,16.8%,+/-2.4,"1,913",+/-224,24.2%,+/-2.8
Population 45 to 64 years,"35,204",+/-131,(X),(X),"17,573",+/-118,(X),(X),"17,631",+/-63,(X),(X)
High school graduate or higher,"31,656",+/-325,89.9%,+/-0.9,"15,528",+/-257,88.4%,+/-1.4,"16,128",+/-236,91.5%,+/-1.3
Bachelor's degree or higher,"6,252",+/-407,17.8%,+/-1.2,"3,018",+/-250,17.2%,+/-1.4,"3,234",+/-294,18.3%,+/-1.7
Population 65 years and over,"21,527",+/-83,(X),(X),"9,363",+/-56,(X),(X),"12,164",+/-64,(X),(X)
High school graduate or higher,"17,655",+/-290,82.0%,+/-1.3,"7,655",+/-175,81.8%,+/-1.9,"10,000",+/-220,82.2%,+/-1.7
Bachelor's degree or higher,"2,921",+/-237,13.6%,+/-1.1,"1,473",+/-158,15.7%,+/-1.7,"1,448",+/-167,11.9%,+/-1.4
