RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"80,422",+/-199,(X),(X),"38,903",+/-140,(X),(X),"41,519",+/-84,(X),(X)
High school graduate or higher,"70,931",+/-511,88.2%,+/-0.6,"34,067",+/-346,87.6%,+/-0.9,"36,864",+/-333,88.8%,+/-0.8
Bachelor's degree or higher,"14,587",+/-726,18.1%,+/-0.9,"6,565",+/-414,16.9%,+/-1.1,"8,022",+/-464,19.3%,+/-1.1
"White alone, not Hispanic or Latino","79,128",+/-14,(X),(X),"38,250",+/-13,(X),(X),"40,878",+/-3,(X),(X)
High school graduate or higher,"70,057",+/-515,88.5%,+/-0.6,"33,667",+/-341,88.0%,+/-0.9,"36,390",+/-339,89.0%,+/-0.8
Bachelor's degree or higher,"14,407",+/-720,18.2%,+/-0.9,"6,493",+/-413,17.0%,+/-1.1,"7,914",+/-465,19.4%,+/-1.1
Black alone,"6,643",+/-176,(X),(X),"3,611",+/-143,(X),(X),"3,032",+/-94,(X),(X)
High school graduate or higher,"5,377",+/-187,80.9%,+/-2.5,"2,811",+/-165,77.8%,+/-3.5,"2,566",+/-130,84.6%,+/-4.1
Bachelor's degree or higher,763,+/-153,11.5%,+/-2.2,476,+/-102,13.2%,+/-2.8,287,+/-100,9.5%,+/-3.3
American Indian or Alaska Native alone,89,+/-37,(X),(X),49,+/-27,(X),(X),40,+/-28,(X),(X)
High school graduate or higher,69,+/-34,77.5%,+/-20.8,43,+/-27,87.8%,+/-19.8,26,+/-24,65.0%,+/-37.3
Bachelor's degree or higher,6,+/-8,6.7%,+/-9.5,3,+/-6,6.1%,+/-11.5,3,+/-6,7.5%,+/-14.6
Asian alone,398,+/-100,(X),(X),162,+/-66,(X),(X),236,+/-62,(X),(X)
High school graduate or higher,361,+/-112,90.7%,+/-12.5,141,+/-67,87.0%,+/-19.7,220,+/-68,93.2%,+/-9.9
Bachelor's degree or higher,72,+/-45,18.1%,+/-13.4,27,+/-29,16.7%,+/-17.8,45,+/-31,19.1%,+/-14.4
Native Hawaiian and Other Pacific Islander alone,23,+/-27,(X),(X),23,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,23,+/-27,100.0%,+/-59.4,23,+/-27,100.0%,+/-59.4,0,+/-27,-,**
Bachelor's degree or higher,23,+/-27,100.0%,+/-59.4,23,+/-27,100.0%,+/-59.4,0,+/-27,-,**
Some other race alone,743,+/-199,(X),(X),525,+/-142,(X),(X),218,+/-74,(X),(X)
High school graduate or higher,348,+/-165,46.8%,+/-16.9,223,+/-123,42.5%,+/-18.8,125,+/-67,57.3%,+/-21.4
Bachelor's degree or higher,19,+/-18,2.6%,+/-2.5,15,+/-18,2.9%,+/-3.7,4,+/-7,1.8%,+/-3.1
Two or more races,"1,354",+/-201,(X),(X),982,+/-172,(X),(X),372,+/-111,(X),(X)
High school graduate or higher,"1,161",+/-192,85.7%,+/-4.4,824,+/-170,83.9%,+/-6.3,337,+/-111,90.6%,+/-7.6
Bachelor's degree or higher,250,+/-69,18.5%,+/-4.6,166,+/-54,16.9%,+/-4.9,84,+/-45,22.6%,+/-11.3
Hispanic or Latino Origin,"2,209",*****,(X),(X),"1,278",*****,(X),(X),931,*****,(X),(X)
High school graduate or higher,"1,358",+/-192,61.5%,+/-8.7,694,+/-141,54.3%,+/-11.0,664,+/-80,71.3%,+/-8.6
Bachelor's degree or higher,203,+/-81,9.2%,+/-3.7,87,+/-49,6.8%,+/-3.8,116,+/-65,12.5%,+/-7.0
