RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"409,811","+/-1,046",(X),(X),"196,987",+/-594,(X),(X),"212,824",+/-639,(X),(X)
High school graduate or higher,"359,366","+/-1,693",87.7%,+/-0.4,"171,430","+/-1,212",87.0%,+/-0.6,"187,936","+/-1,072",88.3%,+/-0.5
Bachelor's degree or higher,"138,429","+/-2,604",33.8%,+/-0.6,"66,598","+/-1,567",33.8%,+/-0.8,"71,831","+/-1,556",33.8%,+/-0.7
"White alone, not Hispanic or Latino","386,334",+/-235,(X),(X),"184,278",+/-176,(X),(X),"202,056",+/-91,(X),(X)
High school graduate or higher,"346,155","+/-1,528",89.6%,+/-0.4,"164,264","+/-1,037",89.1%,+/-0.6,"181,891",+/-909,90.0%,+/-0.4
Bachelor's degree or higher,"135,172","+/-2,521",35.0%,+/-0.6,"64,717","+/-1,505",35.1%,+/-0.8,"70,455","+/-1,512",34.9%,+/-0.7
Black alone,"151,835",+/-811,(X),(X),"65,367",+/-432,(X),(X),"86,468",+/-494,(X),(X)
High school graduate or higher,"129,098","+/-1,328",85.0%,+/-0.7,"54,503",+/-893,83.4%,+/-1.2,"74,595",+/-760,86.3%,+/-0.7
Bachelor's degree or higher,"25,314","+/-1,237",16.7%,+/-0.8,"9,957",+/-680,15.2%,+/-1.0,"15,357",+/-844,17.8%,+/-1.0
American Indian or Alaska Native alone,"1,631",+/-285,(X),(X),833,+/-186,(X),(X),798,+/-160,(X),(X)
High school graduate or higher,"1,366",+/-248,83.8%,+/-6.5,707,+/-173,84.9%,+/-8.4,659,+/-138,82.6%,+/-7.3
Bachelor's degree or higher,293,+/-109,18.0%,+/-7.3,185,+/-83,22.2%,+/-10.3,108,+/-64,13.5%,+/-8.3
Asian alone,"15,973",+/-260,(X),(X),"7,670",+/-169,(X),(X),"8,303",+/-164,(X),(X)
High school graduate or higher,"12,670",+/-482,79.3%,+/-2.7,"6,206",+/-270,80.9%,+/-3.0,"6,464",+/-360,77.9%,+/-3.9
Bachelor's degree or higher,"8,169",+/-592,51.1%,+/-3.6,"4,134",+/-366,53.9%,+/-4.6,"4,035",+/-399,48.6%,+/-4.8
Native Hawaiian and Other Pacific Islander alone,194,+/-133,(X),(X),96,+/-77,(X),(X),98,+/-73,(X),(X)
High school graduate or higher,153,+/-82,78.9%,+/-21.8,55,+/-48,57.3%,+/-47.1,98,+/-73,100.0%,+/-25.9
Bachelor's degree or higher,20,+/-26,10.3%,+/-18.0,11,+/-17,11.5%,+/-24.9,9,+/-19,9.2%,+/-20.3
Some other race alone,"19,312","+/-1,114",(X),(X),"10,768",+/-691,(X),(X),"8,544",+/-646,(X),(X)
High school graduate or higher,"10,189",+/-943,52.8%,+/-3.6,"5,749",+/-600,53.4%,+/-4.0,"4,440",+/-570,52.0%,+/-4.9
Bachelor's degree or higher,"1,639",+/-283,8.5%,+/-1.4,820,+/-218,7.6%,+/-2.0,819,+/-186,9.6%,+/-2.2
Two or more races,"9,303",+/-803,(X),(X),"4,233",+/-484,(X),(X),"5,070",+/-477,(X),(X)
High school graduate or higher,"7,997",+/-782,86.0%,+/-2.8,"3,615",+/-469,85.4%,+/-3.4,"4,382",+/-458,86.4%,+/-3.5
Bachelor's degree or higher,"2,601",+/-293,28.0%,+/-2.9,957,+/-194,22.6%,+/-4.2,"1,644",+/-256,32.4%,+/-4.1
Hispanic or Latino Origin,"44,220",*****,(X),(X),"23,997",*****,(X),(X),"20,223",*****,(X),(X)
High school graduate or higher,"24,262",+/-960,54.9%,+/-2.2,"13,153",+/-658,54.8%,+/-2.7,"11,109",+/-574,54.9%,+/-2.8
Bachelor's degree or higher,"4,850",+/-439,11.0%,+/-1.0,"2,612",+/-348,10.9%,+/-1.5,"2,238",+/-305,11.1%,+/-1.5
