RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"29,482",+/-284,(X),(X),"14,227",+/-192,(X),(X),"15,255",+/-115,(X),(X)
High school graduate or higher,"25,066",+/-441,85.0%,+/-1.5,"12,032",+/-269,84.6%,+/-1.9,"13,034",+/-273,85.4%,+/-1.7
Bachelor's degree or higher,"5,546",+/-459,18.8%,+/-1.5,"2,547",+/-252,17.9%,+/-1.8,"2,999",+/-313,19.7%,+/-2.0
"White alone, not Hispanic or Latino","28,204",+/-24,(X),(X),"13,582",+/-24,(X),(X),"14,622",+/-24,(X),(X)
High school graduate or higher,"24,253",+/-379,86.0%,+/-1.3,"11,685",+/-237,86.0%,+/-1.7,"12,568",+/-242,86.0%,+/-1.7
Bachelor's degree or higher,"5,442",+/-455,19.3%,+/-1.6,"2,547",+/-252,18.8%,+/-1.9,"2,895",+/-295,19.8%,+/-2.0
Black alone,114,+/-47,(X),(X),81,+/-37,(X),(X),33,+/-32,(X),(X)
High school graduate or higher,73,+/-41,64.0%,+/-25.4,54,+/-35,66.7%,+/-19.8,19,+/-15,57.6%,+/-57.6
Bachelor's degree or higher,0,+/-24,0.0%,+/-22.9,0,+/-24,0.0%,+/-30.0,0,+/-24,0.0%,+/-49.6
American Indian or Alaska Native alone,97,+/-61,(X),(X),53,+/-38,(X),(X),44,+/-44,(X),(X)
High school graduate or higher,51,+/-50,52.6%,+/-34.7,16,+/-19,30.2%,+/-37.3,35,+/-40,79.5%,+/-37.2
Bachelor's degree or higher,12,+/-19,12.4%,+/-17.6,0,+/-24,0.0%,+/-39.1,12,+/-19,27.3%,+/-36.4
Asian alone,137,+/-73,(X),(X),86,+/-46,(X),(X),51,+/-34,(X),(X)
High school graduate or higher,125,+/-68,91.2%,+/-12.5,74,+/-45,86.0%,+/-21.4,51,+/-34,100.0%,+/-39.9
Bachelor's degree or higher,69,+/-47,50.4%,+/-21.6,55,+/-49,64.0%,+/-39.4,14,+/-15,27.5%,+/-24.2
Native Hawaiian and Other Pacific Islander alone,8,+/-14,(X),(X),4,+/-7,(X),(X),4,+/-7,(X),(X)
High school graduate or higher,8,+/-14,100.0%,+/-100.0,4,+/-7,100.0%,+/-100.0,4,+/-7,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0
Some other race alone,757,+/-250,(X),(X),444,+/-159,(X),(X),313,+/-114,(X),(X)
High school graduate or higher,560,+/-203,74.0%,+/-11.3,322,+/-129,72.5%,+/-16.9,238,+/-99,76.0%,+/-15.0
Bachelor's degree or higher,22,+/-22,2.9%,+/-3.3,0,+/-24,0.0%,+/-6.5,22,+/-22,7.0%,+/-7.5
Two or more races,299,+/-97,(X),(X),158,+/-84,(X),(X),141,+/-58,(X),(X)
High school graduate or higher,214,+/-93,71.6%,+/-18.0,134,+/-78,84.8%,+/-16.7,80,+/-47,56.7%,+/-28.9
Bachelor's degree or higher,76,+/-56,25.4%,+/-18.4,37,+/-41,23.4%,+/-24.1,39,+/-28,27.7%,+/-21.6
Hispanic or Latino Origin,"2,119",+/-94,(X),(X),"1,144",+/-94,(X),(X),975,*****,(X),(X)
High school graduate or higher,"1,435",+/-201,67.7%,+/-8.1,711,+/-152,62.2%,+/-10.9,724,+/-78,74.3%,+/-7.9
Bachelor's degree or higher,138,+/-78,6.5%,+/-3.8,0,+/-24,0.0%,+/-2.6,138,+/-78,14.2%,+/-8.0
