Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,752,+/-26,(X),(X),380,+/-17,(X),(X),372,+/-18,(X),(X)
Less than high school graduate,115,+/-60,15.3%,+/-7.9,84,+/-44,22.1%,+/-11.6,31,+/-34,8.3%,+/-9.1
High school graduate (includes equivalency),174,+/-84,23.1%,+/-11.0,67,+/-36,17.6%,+/-9.1,107,+/-69,28.8%,+/-18.7
Some college or associate's degree,398,+/-95,52.9%,+/-12.9,216,+/-50,56.8%,+/-13.5,182,+/-70,48.9%,+/-18.8
Bachelor's degree or higher,65,+/-51,8.6%,+/-6.7,13,+/-21,3.4%,+/-5.5,52,+/-45,14.0%,+/-11.9
Population 25 years and over,"7,131",+/-30,(X),(X),"3,555",+/-34,(X),(X),"3,576",+/-13,(X),(X)
Less than 9th grade,378,+/-108,5.3%,+/-1.5,226,+/-78,6.4%,+/-2.2,152,+/-64,4.3%,+/-1.8
"9th to 12th grade, no diploma",832,+/-150,11.7%,+/-2.1,420,+/-103,11.8%,+/-2.9,412,+/-98,11.5%,+/-2.7
High school graduate (includes equivalency),"3,072",+/-208,43.1%,+/-2.9,"1,601",+/-153,45.0%,+/-4.4,"1,471",+/-156,41.1%,+/-4.4
"Some college, no degree","1,208",+/-213,16.9%,+/-3.0,572,+/-141,16.1%,+/-3.9,636,+/-147,17.8%,+/-4.1
Associate's degree,777,+/-127,10.9%,+/-1.8,389,+/-86,10.9%,+/-2.4,388,+/-87,10.9%,+/-2.4
Bachelor's degree,471,+/-133,6.6%,+/-1.9,167,+/-81,4.7%,+/-2.3,304,+/-87,8.5%,+/-2.4
Graduate or professional degree,393,+/-105,5.5%,+/-1.5,180,+/-82,5.1%,+/-2.3,213,+/-67,6.0%,+/-1.9
Percent high school graduate or higher,(X),(X),83.0%,+/-2.4,(X),(X),81.8%,+/-3.3,(X),(X),84.2%,+/-3.2
Percent bachelor's degree or higher,(X),(X),12.1%,+/-2.5,(X),(X),9.8%,+/-3.5,(X),(X),14.5%,+/-3.0
Population 25 to 34 years,"1,064",+/-19,(X),(X),554,+/-18,(X),(X),510,+/-4,(X),(X)
High school graduate or higher,933,+/-63,87.7%,+/-5.7,500,+/-42,90.3%,+/-7.2,433,+/-46,84.9%,+/-8.8
Bachelor's degree or higher,176,+/-76,16.5%,+/-7.1,53,+/-46,9.6%,+/-8.3,123,+/-55,24.1%,+/-10.7
Population 35 to 44 years,"1,239",+/-36,(X),(X),643,+/-26,(X),(X),596,+/-20,(X),(X)
High school graduate or higher,"1,070",+/-70,86.4%,+/-4.8,527,+/-61,82.0%,+/-8.2,543,+/-37,91.1%,+/-5.8
Bachelor's degree or higher,237,+/-86,19.1%,+/-6.9,97,+/-61,15.1%,+/-9.3,140,+/-51,23.5%,+/-8.6
Population 45 to 64 years,"3,125",+/-39,(X),(X),"1,587",+/-33,(X),(X),"1,538",+/-26,(X),(X)
High school graduate or higher,"2,664",+/-102,85.2%,+/-3.2,"1,294",+/-82,81.5%,+/-4.6,"1,370",+/-65,89.1%,+/-4.1
Bachelor's degree or higher,333,+/-99,10.7%,+/-3.2,153,+/-62,9.6%,+/-3.9,180,+/-63,11.7%,+/-4.1
Population 65 years and over,"1,703",+/-17,(X),(X),771,+/-18,(X),(X),932,+/-17,(X),(X)
High school graduate or higher,"1,254",+/-115,73.6%,+/-6.7,588,+/-65,76.3%,+/-8.4,666,+/-69,71.5%,+/-7.4
Bachelor's degree or higher,118,+/-53,6.9%,+/-3.1,44,+/-36,5.7%,+/-4.7,74,+/-40,7.9%,+/-4.3
