RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"6,987",+/-26,(X),(X),"3,483",+/-17,(X),(X),"3,504",+/-20,(X),(X)
High school graduate or higher,"5,822",+/-173,83.3%,+/-2.4,"2,854",+/-119,81.9%,+/-3.4,"2,968",+/-112,84.7%,+/-3.2
Bachelor's degree or higher,848,+/-173,12.1%,+/-2.5,332,+/-123,9.5%,+/-3.5,516,+/-105,14.7%,+/-3.0
"White alone, not Hispanic or Latino","6,963",+/-18,(X),(X),"3,473",+/-18,(X),(X),"3,490",+/-18,(X),(X)
High school graduate or higher,"5,800",+/-171,83.3%,+/-2.5,"2,844",+/-118,81.9%,+/-3.4,"2,956",+/-112,84.7%,+/-3.2
Bachelor's degree or higher,848,+/-173,12.2%,+/-2.5,332,+/-123,9.6%,+/-3.5,516,+/-105,14.8%,+/-3.0
Black alone,30,+/-30,(X),(X),23,+/-26,(X),(X),7,+/-17,(X),(X)
High school graduate or higher,23,+/-26,76.7%,+/-51.5,23,+/-26,100.0%,+/-59.4,0,+/-18,0.0%,+/-100.0
Bachelor's degree or higher,13,+/-21,43.3%,+/-56.7,13,+/-21,56.5%,+/-56.5,0,+/-18,0.0%,+/-100.0
American Indian or Alaska Native alone,17,+/-18,(X),(X),7,+/-12,(X),(X),10,+/-15,(X),(X)
High school graduate or higher,8,+/-14,47.1%,+/-52.9,7,+/-12,100.0%,+/-100.0,1,+/-4,10.0%,+/-50.9
Bachelor's degree or higher,1,+/-4,5.9%,+/-23.3,0,+/-18,0.0%,+/-100.0,1,+/-4,10.0%,+/-50.9
Asian alone,30,+/-39,(X),(X),17,+/-21,(X),(X),13,+/-21,(X),(X)
High school graduate or higher,13,+/-21,43.3%,+/-22.2,0,+/-18,0.0%,+/-69.1,13,+/-21,100.0%,+/-79.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-52.0,0,+/-18,0.0%,+/-69.1,0,+/-18,0.0%,+/-79.0
Native Hawaiian and Other Pacific Islander alone,8,+/-18,(X),(X),8,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,8,+/-18,100.0%,+/-100.0,8,+/-18,100.0%,+/-100.0,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**
Some other race alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Two or more races,59,+/-38,(X),(X),17,+/-25,(X),(X),42,+/-27,(X),(X)
High school graduate or higher,47,+/-37,79.7%,+/-28.1,17,+/-25,100.0%,+/-69.1,30,+/-26,71.4%,+/-39.0
Bachelor's degree or higher,2,+/-5,3.4%,+/-9.1,2,+/-5,11.8%,+/-37.6,0,+/-18,0.0%,+/-44.0
Hispanic or Latino Origin,24,+/-26,(X),(X),10,+/-17,(X),(X),14,+/-20,(X),(X)
High school graduate or higher,22,+/-25,91.7%,+/-19.0,10,+/-17,100.0%,+/-90.1,12,+/-20,85.7%,+/-36.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-58.2,0,+/-18,0.0%,+/-90.1,0,+/-18,0.0%,+/-76.1
