RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,986",+/-50,(X),(X),"11,958",+/-77,(X),(X),"11,028",+/-61,(X),(X)
High school graduate or higher,"19,697",+/-353,85.7%,+/-1.5,"10,167",+/-252,85.0%,+/-2.1,"9,530",+/-211,86.4%,+/-1.9
Bachelor's degree or higher,"2,757",+/-264,12.0%,+/-1.1,"1,204",+/-164,10.1%,+/-1.4,"1,553",+/-169,14.1%,+/-1.5
"White alone, not Hispanic or Latino","22,717",+/-24,(X),(X),"11,771",+/-24,(X),(X),"10,946",+/-24,(X),(X)
High school graduate or higher,"19,552",+/-351,86.1%,+/-1.5,"10,064",+/-249,85.5%,+/-2.1,"9,488",+/-210,86.7%,+/-1.9
Bachelor's degree or higher,"2,743",+/-266,12.1%,+/-1.2,"1,200",+/-164,10.2%,+/-1.4,"1,543",+/-170,14.1%,+/-1.6
Black alone,999,+/-149,(X),(X),825,+/-150,(X),(X),174,+/-23,(X),(X)
High school graduate or higher,760,+/-133,76.1%,+/-6.1,627,+/-134,76.0%,+/-7.3,133,+/-25,76.4%,+/-11.6
Bachelor's degree or higher,91,+/-53,9.1%,+/-5.2,50,+/-46,6.1%,+/-5.4,41,+/-29,23.6%,+/-16.0
American Indian or Alaska Native alone,243,+/-69,(X),(X),126,+/-34,(X),(X),117,+/-50,(X),(X)
High school graduate or higher,230,+/-60,94.7%,+/-7.0,113,+/-34,89.7%,+/-14.3,117,+/-50,100.0%,+/-22.4
Bachelor's degree or higher,28,+/-30,11.5%,+/-12.6,13,+/-19,10.3%,+/-14.5,15,+/-24,12.8%,+/-22.4
Asian alone,81,+/-41,(X),(X),33,+/-21,(X),(X),48,+/-28,(X),(X)
High school graduate or higher,79,+/-43,97.5%,+/-6.4,31,+/-22,93.9%,+/-16.1,48,+/-28,100.0%,+/-41.1
Bachelor's degree or higher,45,+/-29,55.6%,+/-19.2,10,+/-14,30.3%,+/-44.2,35,+/-33,72.9%,+/-42.8
Native Hawaiian and Other Pacific Islander alone,22,+/-21,(X),(X),0,+/-24,(X),(X),22,+/-21,(X),(X)
High school graduate or higher,22,+/-21,100.0%,+/-60.7,0,+/-24,-,**,22,+/-21,100.0%,+/-60.7
Bachelor's degree or higher,4,+/-5,18.2%,+/-27.6,0,+/-24,-,**,4,+/-5,18.2%,+/-27.6
Some other race alone,148,+/-53,(X),(X),71,+/-54,(X),(X),77,+/-40,(X),(X)
High school graduate or higher,54,+/-46,36.5%,+/-24.6,31,+/-38,43.7%,+/-27.2,23,+/-24,29.9%,+/-32.1
Bachelor's degree or higher,5,+/-9,3.4%,+/-6.1,0,+/-24,0.0%,+/-33.0,5,+/-9,6.5%,+/-13.5
Two or more races,271,+/-79,(X),(X),153,+/-52,(X),(X),118,+/-63,(X),(X)
High school graduate or higher,219,+/-66,80.8%,+/-13.8,146,+/-52,95.4%,+/-9.5,73,+/-41,61.9%,+/-24.4
Bachelor's degree or higher,24,+/-19,8.9%,+/-6.9,24,+/-19,15.7%,+/-12.0,0,+/-24,0.0%,+/-22.2
Hispanic or Latino Origin,468,+/-46,(X),(X),296,+/-59,(X),(X),172,+/-56,(X),(X)
High school graduate or higher,231,+/-78,49.4%,+/-14.3,153,+/-45,51.7%,+/-11.6,78,+/-54,45.3%,+/-31.4
Bachelor's degree or higher,29,+/-27,6.2%,+/-5.7,14,+/-16,4.7%,+/-5.5,15,+/-20,8.7%,+/-11.5
