Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,315",+/-175,(X),(X),"1,747",+/-116,(X),(X),"1,568",+/-179,(X),(X)
Less than high school graduate,842,+/-200,25.4%,+/-5.8,555,+/-155,31.8%,+/-7.6,287,+/-138,18.3%,+/-8.7
High school graduate (includes equivalency),"1,157",+/-178,34.9%,+/-5.6,723,+/-123,41.4%,+/-7.1,434,+/-119,27.7%,+/-8.0
Some college or associate's degree,"1,124",+/-235,33.9%,+/-6.4,402,+/-92,23.0%,+/-5.6,722,+/-208,46.0%,+/-10.8
Bachelor's degree or higher,192,+/-80,5.8%,+/-2.5,67,+/-43,3.8%,+/-2.5,125,+/-68,8.0%,+/-4.4
Population 25 years and over,"24,872",+/-166,(X),(X),"13,273",+/-192,(X),(X),"11,599",+/-97,(X),(X)
Less than 9th grade,943,+/-201,3.8%,+/-0.8,515,+/-135,3.9%,+/-1.0,428,+/-141,3.7%,+/-1.2
"9th to 12th grade, no diploma","2,706",+/-322,10.9%,+/-1.3,"1,571",+/-223,11.8%,+/-1.7,"1,135",+/-206,9.8%,+/-1.8
High school graduate (includes equivalency),"10,235",+/-468,41.2%,+/-1.9,"5,753",+/-323,43.3%,+/-2.5,"4,482",+/-293,38.6%,+/-2.5
"Some college, no degree","5,727",+/-460,23.0%,+/-1.8,"3,043",+/-333,22.9%,+/-2.4,"2,684",+/-302,23.1%,+/-2.6
Associate's degree,"2,124",+/-241,8.5%,+/-1.0,"1,017",+/-178,7.7%,+/-1.3,"1,107",+/-161,9.5%,+/-1.4
Bachelor's degree,"1,944",+/-260,7.8%,+/-1.0,876,+/-142,6.6%,+/-1.1,"1,068",+/-178,9.2%,+/-1.5
Graduate or professional degree,"1,193",+/-225,4.8%,+/-0.9,498,+/-118,3.8%,+/-0.9,695,+/-159,6.0%,+/-1.4
Percent high school graduate or higher,(X),(X),85.3%,+/-1.6,(X),(X),84.3%,+/-2.0,(X),(X),86.5%,+/-2.1
Percent bachelor's degree or higher,(X),(X),12.6%,+/-1.3,(X),(X),10.4%,+/-1.4,(X),(X),15.2%,+/-1.8
Population 25 to 34 years,"4,614",+/-167,(X),(X),"2,783",+/-151,(X),(X),"1,831",+/-69,(X),(X)
High school graduate or higher,"3,745",+/-212,81.2%,+/-3.3,"2,191",+/-167,78.7%,+/-4.5,"1,554",+/-113,84.9%,+/-4.9
Bachelor's degree or higher,620,+/-158,13.4%,+/-3.5,233,+/-87,8.4%,+/-3.2,387,+/-98,21.1%,+/-5.2
Population 35 to 44 years,"4,595",+/-99,(X),(X),"2,585",+/-91,(X),(X),"2,010",+/-39,(X),(X)
High school graduate or higher,"4,006",+/-162,87.2%,+/-3.2,"2,173",+/-136,84.1%,+/-4.8,"1,833",+/-88,91.2%,+/-3.8
Bachelor's degree or higher,548,+/-129,11.9%,+/-2.8,237,+/-71,9.2%,+/-2.8,311,+/-88,15.5%,+/-4.4
Population 45 to 64 years,"9,690",+/-157,(X),(X),"5,171",+/-138,(X),(X),"4,519",+/-63,(X),(X)
High school graduate or higher,"8,660",+/-232,89.4%,+/-2.2,"4,512",+/-173,87.3%,+/-3.0,"4,148",+/-133,91.8%,+/-2.4
Bachelor's degree or higher,"1,239",+/-183,12.8%,+/-1.9,503,+/-117,9.7%,+/-2.3,736,+/-129,16.3%,+/-2.8
Population 65 years and over,"5,973",+/-75,(X),(X),"2,734",+/-50,(X),(X),"3,239",+/-69,(X),(X)
High school graduate or higher,"4,812",+/-170,80.6%,+/-2.9,"2,311",+/-116,84.5%,+/-4.0,"2,501",+/-145,77.2%,+/-4.6
Bachelor's degree or higher,730,+/-142,12.2%,+/-2.4,401,+/-98,14.7%,+/-3.6,329,+/-84,10.2%,+/-2.6
