Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"39,491",+/-74,(X),(X),"19,944",+/-66,(X),(X),"19,547",+/-40,(X),(X)
Less than high school graduate,"1,411",+/-306,3.6%,+/-0.8,798,+/-215,4.0%,+/-1.1,613,+/-223,3.1%,+/-1.1
High school graduate (includes equivalency),"6,244",+/-617,15.8%,+/-1.6,"3,276",+/-433,16.4%,+/-2.2,"2,968",+/-378,15.2%,+/-1.9
Some college or associate's degree,"26,276",+/-913,66.5%,+/-2.3,"13,502",+/-712,67.7%,+/-3.5,"12,774",+/-611,65.4%,+/-3.1
Bachelor's degree or higher,"5,560",+/-797,14.1%,+/-2.0,"2,368",+/-515,11.9%,+/-2.6,"3,192",+/-532,16.3%,+/-2.7
Population 25 years and over,"81,878",+/-74,(X),(X),"40,162",+/-88,(X),(X),"41,716",+/-80,(X),(X)
Less than 9th grade,"1,808",+/-309,2.2%,+/-0.4,984,+/-222,2.5%,+/-0.6,824,+/-181,2.0%,+/-0.4
"9th to 12th grade, no diploma","4,824",+/-514,5.9%,+/-0.6,"2,383",+/-373,5.9%,+/-0.9,"2,441",+/-352,5.9%,+/-0.8
High school graduate (includes equivalency),"17,854",+/-833,21.8%,+/-1.0,"8,647",+/-499,21.5%,+/-1.2,"9,207",+/-555,22.1%,+/-1.3
"Some college, no degree","14,302",+/-740,17.5%,+/-0.9,"7,182",+/-545,17.9%,+/-1.4,"7,120",+/-536,17.1%,+/-1.3
Associate's degree,"5,592",+/-583,6.8%,+/-0.7,"2,479",+/-354,6.2%,+/-0.9,"3,113",+/-400,7.5%,+/-1.0
Bachelor's degree,"19,422",+/-876,23.7%,+/-1.1,"9,350",+/-565,23.3%,+/-1.4,"10,072",+/-610,24.1%,+/-1.5
Graduate or professional degree,"18,076",+/-836,22.1%,+/-1.0,"9,137",+/-638,22.8%,+/-1.6,"8,939",+/-430,21.4%,+/-1.0
Percent high school graduate or higher,(X),(X),91.9%,+/-0.7,(X),(X),91.6%,+/-1.0,(X),(X),92.2%,+/-0.9
Percent bachelor's degree or higher,(X),(X),45.8%,+/-1.4,(X),(X),46.0%,+/-1.8,(X),(X),45.6%,+/-1.6
Population 25 to 34 years,"20,979",+/-203,(X),(X),"11,053",+/-145,(X),(X),"9,926",+/-146,(X),(X)
High school graduate or higher,"19,764",+/-330,94.2%,+/-1.3,"10,291",+/-254,93.1%,+/-1.9,"9,473",+/-213,95.4%,+/-1.5
Bachelor's degree or higher,"11,474",+/-603,54.7%,+/-2.8,"5,667",+/-433,51.3%,+/-4.0,"5,807",+/-377,58.5%,+/-3.6
Population 35 to 44 years,"14,629",+/-229,(X),(X),"7,416",+/-174,(X),(X),"7,213",+/-158,(X),(X)
High school graduate or higher,"13,600",+/-267,93.0%,+/-1.6,"6,841",+/-193,92.2%,+/-2.2,"6,759",+/-215,93.7%,+/-2.4
Bachelor's degree or higher,"7,228",+/-440,49.4%,+/-3.0,"3,375",+/-305,45.5%,+/-4.0,"3,853",+/-300,53.4%,+/-4.2
Population 45 to 64 years,"29,215",+/-229,(X),(X),"14,201",+/-153,(X),(X),"15,014",+/-167,(X),(X)
High school graduate or higher,"27,082",+/-433,92.7%,+/-1.3,"13,012",+/-250,91.6%,+/-1.5,"14,070",+/-281,93.7%,+/-1.5
Bachelor's degree or higher,"12,311",+/-627,42.1%,+/-2.1,"5,984",+/-378,42.1%,+/-2.6,"6,327",+/-359,42.1%,+/-2.4
Population 65 years and over,"17,055",+/-142,(X),(X),"7,492",+/-97,(X),(X),"9,563",+/-87,(X),(X)
High school graduate or higher,"14,800",+/-317,86.8%,+/-1.8,"6,651",+/-210,88.8%,+/-2.7,"8,149",+/-243,85.2%,+/-2.5
Bachelor's degree or higher,"6,485",+/-440,38.0%,+/-2.5,"3,461",+/-265,46.2%,+/-3.4,"3,024",+/-293,31.6%,+/-3.0
