RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"73,463",+/-194,(X),(X),"35,866",+/-131,(X),(X),"37,597",+/-118,(X),(X)
High school graduate or higher,"67,597",+/-561,92.0%,+/-0.8,"32,914",+/-448,91.8%,+/-1.2,"34,683",+/-354,92.2%,+/-0.9
Bachelor's degree or higher,"32,728","+/-1,009",44.6%,+/-1.4,"16,141",+/-634,45.0%,+/-1.7,"16,587",+/-586,44.1%,+/-1.5
"White alone, not Hispanic or Latino","72,007",+/-30,(X),(X),"35,115",+/-22,(X),(X),"36,892",+/-20,(X),(X)
High school graduate or higher,"66,384",+/-526,92.2%,+/-0.7,"32,292",+/-392,92.0%,+/-1.1,"34,092",+/-354,92.4%,+/-1.0
Bachelor's degree or higher,"31,888",+/-950,44.3%,+/-1.3,"15,743",+/-604,44.8%,+/-1.7,"16,145",+/-556,43.8%,+/-1.5
Black alone,"2,202",+/-179,(X),(X),"1,175",+/-90,(X),(X),"1,027",+/-146,(X),(X)
High school graduate or higher,"1,988",+/-202,90.3%,+/-5.1,"1,055",+/-104,89.8%,+/-6.1,933,+/-164,90.8%,+/-7.3
Bachelor's degree or higher,886,+/-211,40.2%,+/-9.1,534,+/-155,45.4%,+/-12.4,352,+/-118,34.3%,+/-10.8
American Indian or Alaska Native alone,184,+/-91,(X),(X),80,+/-49,(X),(X),104,+/-73,(X),(X)
High school graduate or higher,154,+/-87,83.7%,+/-15.4,56,+/-46,70.0%,+/-31.8,98,+/-71,94.2%,+/-9.8
Bachelor's degree or higher,19,+/-22,10.3%,+/-13.0,14,+/-21,17.5%,+/-26.4,5,+/-11,4.8%,+/-11.1
Asian alone,"3,975",+/-194,(X),(X),"2,017",+/-116,(X),(X),"1,958",+/-121,(X),(X)
High school graduate or higher,"3,672",+/-261,92.4%,+/-3.6,"1,849",+/-173,91.7%,+/-5.4,"1,823",+/-148,93.1%,+/-3.7
Bachelor's degree or higher,"3,037",+/-276,76.4%,+/-5.5,"1,503",+/-192,74.5%,+/-8.0,"1,534",+/-149,78.3%,+/-6.0
Native Hawaiian and Other Pacific Islander alone,44,+/-37,(X),(X),31,+/-30,(X),(X),13,+/-21,(X),(X)
High school graduate or higher,31,+/-30,70.5%,+/-39.7,31,+/-30,100.0%,+/-51.2,0,+/-27,0.0%,+/-79.0
Bachelor's degree or higher,31,+/-30,70.5%,+/-39.7,31,+/-30,100.0%,+/-51.2,0,+/-27,0.0%,+/-79.0
Some other race alone,445,+/-175,(X),(X),259,+/-146,(X),(X),186,+/-94,(X),(X)
High school graduate or higher,396,+/-160,89.0%,+/-11.0,240,+/-132,92.7%,+/-10.3,156,+/-85,83.9%,+/-21.4
Bachelor's degree or higher,183,+/-99,41.1%,+/-21.3,113,+/-98,43.6%,+/-30.3,70,+/-46,37.6%,+/-24.8
Two or more races,"1,565",+/-268,(X),(X),734,+/-168,(X),(X),831,+/-183,(X),(X)
High school graduate or higher,"1,408",+/-251,90.0%,+/-4.4,650,+/-160,88.6%,+/-6.8,758,+/-164,91.2%,+/-6.8
Bachelor's degree or higher,614,+/-159,39.2%,+/-8.1,151,+/-64,20.6%,+/-9.2,463,+/-152,55.7%,+/-13.4
Hispanic or Latino Origin,"2,048",+/-54,(X),(X),"1,090",+/-78,(X),(X),958,+/-52,(X),(X)
High school graduate or higher,"1,709",+/-167,83.4%,+/-8.1,904,+/-146,82.9%,+/-11.6,805,+/-84,84.0%,+/-8.7
Bachelor's degree or higher,"1,019",+/-213,49.8%,+/-10.6,497,+/-162,45.6%,+/-14.8,522,+/-114,54.5%,+/-11.5
