Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,687",+/-100,(X),(X),"2,206",+/-93,(X),(X),"1,481",+/-35,(X),(X)
Less than high school graduate,697,+/-203,18.9%,+/-5.4,507,+/-163,23.0%,+/-7.1,190,+/-90,12.8%,+/-6.0
High school graduate (includes equivalency),"1,129",+/-189,30.6%,+/-5.3,664,+/-136,30.1%,+/-6.2,465,+/-106,31.4%,+/-7.2
Some college or associate's degree,"1,673",+/-210,45.4%,+/-5.6,934,+/-148,42.3%,+/-6.8,739,+/-120,49.9%,+/-8.0
Bachelor's degree or higher,188,+/-93,5.1%,+/-2.5,101,+/-66,4.6%,+/-3.0,87,+/-63,5.9%,+/-4.3
Population 25 years and over,"25,785",+/-131,(X),(X),"12,758",+/-147,(X),(X),"13,027",+/-76,(X),(X)
Less than 9th grade,626,+/-142,2.4%,+/-0.6,368,+/-104,2.9%,+/-0.8,258,+/-88,2.0%,+/-0.7
"9th to 12th grade, no diploma","2,023",+/-297,7.8%,+/-1.1,961,+/-201,7.5%,+/-1.6,"1,062",+/-218,8.2%,+/-1.7
High school graduate (includes equivalency),"10,917",+/-410,42.3%,+/-1.6,"5,528",+/-300,43.3%,+/-2.3,"5,389",+/-306,41.4%,+/-2.3
"Some college, no degree","5,489",+/-438,21.3%,+/-1.7,"2,718",+/-282,21.3%,+/-2.2,"2,771",+/-301,21.3%,+/-2.3
Associate's degree,"2,057",+/-248,8.0%,+/-1.0,"1,058",+/-177,8.3%,+/-1.4,999,+/-158,7.7%,+/-1.2
Bachelor's degree,"3,270",+/-345,12.7%,+/-1.4,"1,439",+/-231,11.3%,+/-1.8,"1,831",+/-208,14.1%,+/-1.6
Graduate or professional degree,"1,403",+/-236,5.4%,+/-0.9,686,+/-143,5.4%,+/-1.1,717,+/-158,5.5%,+/-1.2
Percent high school graduate or higher,(X),(X),89.7%,+/-1.2,(X),(X),89.6%,+/-1.7,(X),(X),89.9%,+/-1.8
Percent bachelor's degree or higher,(X),(X),18.1%,+/-1.6,(X),(X),16.7%,+/-2.0,(X),(X),19.6%,+/-2.0
Population 25 to 34 years,"4,229",+/-112,(X),(X),"2,182",+/-90,(X),(X),"2,047",+/-73,(X),(X)
High school graduate or higher,"3,856",+/-172,91.2%,+/-3.1,"1,985",+/-120,91.0%,+/-3.7,"1,871",+/-116,91.4%,+/-4.8
Bachelor's degree or higher,990,+/-214,23.4%,+/-5.0,417,+/-120,19.1%,+/-5.5,573,+/-152,28.0%,+/-7.3
Population 35 to 44 years,"4,515",+/-159,(X),(X),"2,357",+/-142,(X),(X),"2,158",+/-68,(X),(X)
High school graduate or higher,"4,116",+/-216,91.2%,+/-3.4,"2,117",+/-159,89.8%,+/-5.1,"1,999",+/-105,92.6%,+/-3.5
Bachelor's degree or higher,965,+/-184,21.4%,+/-3.9,377,+/-103,16.0%,+/-4.4,588,+/-129,27.2%,+/-5.6
Population 45 to 64 years,"10,507",+/-121,(X),(X),"5,318",+/-112,(X),(X),"5,189",+/-80,(X),(X)
High school graduate or higher,"9,397",+/-197,89.4%,+/-2.0,"4,745",+/-166,89.2%,+/-3.2,"4,652",+/-149,89.7%,+/-2.8
Bachelor's degree or higher,"1,728",+/-213,16.4%,+/-2.0,844,+/-141,15.9%,+/-2.6,884,+/-126,17.0%,+/-2.4
Population 65 years and over,"6,534",+/-60,(X),(X),"2,901",+/-31,(X),(X),"3,633",+/-48,(X),(X)
High school graduate or higher,"5,767",+/-165,88.3%,+/-2.4,"2,582",+/-96,89.0%,+/-3.4,"3,185",+/-126,87.7%,+/-3.2
Bachelor's degree or higher,990,+/-178,15.2%,+/-2.7,487,+/-102,16.8%,+/-3.5,503,+/-133,13.8%,+/-3.7
