RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"25,036",+/-106,(X),(X),"12,326",+/-95,(X),(X),"12,710",+/-58,(X),(X)
High school graduate or higher,"22,449",+/-309,89.7%,+/-1.2,"11,026",+/-223,89.5%,+/-1.8,"11,423",+/-233,89.9%,+/-1.8
Bachelor's degree or higher,"4,507",+/-403,18.0%,+/-1.6,"2,037",+/-234,16.5%,+/-1.9,"2,470",+/-257,19.4%,+/-2.0
"White alone, not Hispanic or Latino","24,306",+/-24,(X),(X),"11,841",+/-24,(X),(X),"12,465",+/-24,(X),(X)
High school graduate or higher,"22,024",+/-314,90.6%,+/-1.3,"10,770",+/-205,91.0%,+/-1.7,"11,254",+/-229,90.3%,+/-1.8
Bachelor's degree or higher,"4,470",+/-401,18.4%,+/-1.6,"2,030",+/-235,17.1%,+/-2.0,"2,440",+/-253,19.6%,+/-2.0
Black alone,195,+/-43,(X),(X),109,+/-51,(X),(X),86,+/-51,(X),(X)
High school graduate or higher,195,+/-43,100.0%,+/-14.2,109,+/-51,100.0%,+/-23.7,86,+/-51,100.0%,+/-28.7
Bachelor's degree or higher,11,+/-10,5.6%,+/-5.3,11,+/-10,10.1%,+/-10.3,0,+/-24,0.0%,+/-28.7
American Indian or Alaska Native alone,53,+/-46,(X),(X),7,+/-12,(X),(X),46,+/-47,(X),(X)
High school graduate or higher,50,+/-47,94.3%,+/-10.4,6,+/-12,85.7%,+/-39.0,44,+/-47,95.7%,+/-12.3
Bachelor's degree or higher,0,+/-24,0.0%,+/-39.1,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-42.0
Asian alone,207,+/-82,(X),(X),141,+/-88,(X),(X),66,+/-15,(X),(X)
High school graduate or higher,207,+/-82,100.0%,+/-13.5,141,+/-88,100.0%,+/-19.0,66,+/-15,100.0%,+/-34.6
Bachelor's degree or higher,113,+/-72,54.6%,+/-33.0,62,+/-64,44.0%,+/-43.0,51,+/-17,77.3%,+/-30.8
Native Hawaiian and Other Pacific Islander alone,7,+/-12,(X),(X),4,+/-7,(X),(X),3,+/-6,(X),(X)
High school graduate or higher,5,+/-9,71.4%,+/-46.3,2,+/-3,50.0%,+/-50.0,3,+/-6,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0
Some other race alone,17,+/-26,(X),(X),0,+/-24,(X),(X),17,+/-26,(X),(X)
High school graduate or higher,14,+/-25,82.4%,+/-44.0,0,+/-24,-,**,14,+/-25,82.4%,+/-44.0
Bachelor's degree or higher,14,+/-25,82.4%,+/-44.0,0,+/-24,-,**,14,+/-25,82.4%,+/-44.0
Two or more races,270,+/-113,(X),(X),171,+/-84,(X),(X),99,+/-60,(X),(X)
High school graduate or higher,216,+/-102,80.0%,+/-17.2,145,+/-80,84.8%,+/-19.2,71,+/-54,71.7%,+/-27.4
Bachelor's degree or higher,28,+/-28,10.4%,+/-10.6,15,+/-22,8.8%,+/-13.0,13,+/-15,13.1%,+/-16.0
Hispanic or Latino Origin,847,+/-78,(X),(X),536,+/-86,(X),(X),311,+/-37,(X),(X)
High school graduate or higher,515,+/-144,60.8%,+/-16.8,296,+/-116,55.2%,+/-22.0,219,+/-67,70.4%,+/-16.9
Bachelor's degree or higher,51,+/-47,6.0%,+/-5.5,7,+/-13,1.3%,+/-2.5,44,+/-44,14.1%,+/-14.2
