Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"5,621",+/-109,(X),(X),"2,911",+/-94,(X),(X),"2,710",+/-64,(X),(X)
Less than high school graduate,825,+/-172,14.7%,+/-3.1,504,+/-142,17.3%,+/-4.9,321,+/-89,11.8%,+/-3.3
High school graduate (includes equivalency),"2,324",+/-300,41.3%,+/-5.2,"1,455",+/-225,50.0%,+/-7.1,869,+/-185,32.1%,+/-6.9
Some college or associate's degree,"2,195",+/-261,39.0%,+/-4.7,886,+/-189,30.4%,+/-6.7,"1,309",+/-174,48.3%,+/-6.0
Bachelor's degree or higher,277,+/-105,4.9%,+/-1.9,66,+/-46,2.3%,+/-1.6,211,+/-94,7.8%,+/-3.5
Population 25 years and over,"47,126",+/-109,(X),(X),"22,864",+/-117,(X),(X),"24,262",+/-104,(X),(X)
Less than 9th grade,"1,072",+/-192,2.3%,+/-0.4,640,+/-149,2.8%,+/-0.7,432,+/-106,1.8%,+/-0.4
"9th to 12th grade, no diploma","4,460",+/-468,9.5%,+/-1.0,"2,166",+/-269,9.5%,+/-1.2,"2,294",+/-354,9.5%,+/-1.5
High school graduate (includes equivalency),"19,600",+/-793,41.6%,+/-1.7,"9,353",+/-545,40.9%,+/-2.4,"10,247",+/-527,42.2%,+/-2.2
"Some college, no degree","9,738",+/-601,20.7%,+/-1.3,"4,757",+/-425,20.8%,+/-1.8,"4,981",+/-447,20.5%,+/-1.8
Associate's degree,"4,855",+/-482,10.3%,+/-1.0,"2,345",+/-344,10.3%,+/-1.5,"2,510",+/-301,10.3%,+/-1.2
Bachelor's degree,"4,830",+/-451,10.2%,+/-1.0,"2,431",+/-285,10.6%,+/-1.2,"2,399",+/-296,9.9%,+/-1.2
Graduate or professional degree,"2,571",+/-339,5.5%,+/-0.7,"1,172",+/-229,5.1%,+/-1.0,"1,399",+/-255,5.8%,+/-1.1
Percent high school graduate or higher,(X),(X),88.3%,+/-1.0,(X),(X),87.7%,+/-1.3,(X),(X),88.8%,+/-1.4
Percent bachelor's degree or higher,(X),(X),15.7%,+/-1.3,(X),(X),15.8%,+/-1.6,(X),(X),15.7%,+/-1.4
Population 25 to 34 years,"7,634",+/-94,(X),(X),"3,647",+/-52,(X),(X),"3,987",+/-94,(X),(X)
High school graduate or higher,"6,736",+/-212,88.2%,+/-2.7,"3,232",+/-155,88.6%,+/-3.9,"3,504",+/-162,87.9%,+/-3.5
Bachelor's degree or higher,"1,376",+/-216,18.0%,+/-2.9,492,+/-140,13.5%,+/-3.8,884,+/-138,22.2%,+/-3.4
Population 35 to 44 years,"8,795",+/-95,(X),(X),"4,368",+/-78,(X),(X),"4,427",+/-46,(X),(X)
High school graduate or higher,"7,984",+/-230,90.8%,+/-2.4,"3,877",+/-166,88.8%,+/-3.3,"4,107",+/-129,92.8%,+/-2.8
Bachelor's degree or higher,"1,434",+/-271,16.3%,+/-3.1,623,+/-167,14.3%,+/-3.9,811,+/-192,18.3%,+/-4.4
Population 45 to 64 years,"20,646",+/-65,(X),(X),"10,233",+/-49,(X),(X),"10,413",+/-55,(X),(X)
High school graduate or higher,"18,605",+/-285,90.1%,+/-1.3,"9,184",+/-191,89.7%,+/-1.8,"9,421",+/-198,90.5%,+/-1.8
Bachelor's degree or higher,"3,174",+/-373,15.4%,+/-1.8,"1,649",+/-233,16.1%,+/-2.3,"1,525",+/-239,14.6%,+/-2.3
Population 65 years and over,"10,051",+/-47,(X),(X),"4,616",+/-40,(X),(X),"5,435",+/-34,(X),(X)
High school graduate or higher,"8,269",+/-219,82.3%,+/-2.2,"3,765",+/-132,81.6%,+/-2.9,"4,504",+/-158,82.9%,+/-2.9
Bachelor's degree or higher,"1,417",+/-234,14.1%,+/-2.3,839,+/-158,18.2%,+/-3.4,578,+/-122,10.6%,+/-2.2
