RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"46,516",+/-73,(X),(X),"22,699",+/-50,(X),(X),"23,817",+/-63,(X),(X)
High school graduate or higher,"41,162",+/-522,88.5%,+/-1.1,"20,194",+/-320,89.0%,+/-1.4,"20,968",+/-400,88.0%,+/-1.7
Bachelor's degree or higher,"7,188",+/-550,15.5%,+/-1.2,"3,591",+/-331,15.8%,+/-1.5,"3,597",+/-387,15.1%,+/-1.6
"White alone, not Hispanic or Latino","46,181",+/-27,(X),(X),"22,505",+/-27,(X),(X),"23,676",+/-27,(X),(X)
High school graduate or higher,"40,907",+/-506,88.6%,+/-1.1,"20,066",+/-307,89.2%,+/-1.4,"20,841",+/-399,88.0%,+/-1.7
Bachelor's degree or higher,"7,139",+/-550,15.5%,+/-1.2,"3,579",+/-331,15.9%,+/-1.5,"3,560",+/-383,15.0%,+/-1.6
Black alone,156,+/-65,(X),(X),110,+/-60,(X),(X),46,+/-52,(X),(X)
High school graduate or higher,136,+/-65,87.2%,+/-13.4,90,+/-56,81.8%,+/-18.7,46,+/-52,100.0%,+/-42.0
Bachelor's degree or higher,33,+/-48,21.2%,+/-26.9,0,+/-27,0.0%,+/-23.6,33,+/-48,71.7%,+/-39.6
American Indian or Alaska Native alone,44,+/-39,(X),(X),14,+/-20,(X),(X),30,+/-30,(X),(X)
High school graduate or higher,38,+/-37,86.4%,+/-23.1,8,+/-17,57.1%,+/-57.1,30,+/-30,100.0%,+/-52.0
Bachelor's degree or higher,8,+/-17,18.2%,+/-35.7,8,+/-17,57.1%,+/-57.1,0,+/-27,0.0%,+/-52.0
Asian alone,185,+/-41,(X),(X),47,+/-27,(X),(X),138,+/-36,(X),(X)
High school graduate or higher,168,+/-35,90.8%,+/-12.9,47,+/-27,100.0%,+/-41.6,121,+/-41,87.7%,+/-18.4
Bachelor's degree or higher,88,+/-41,47.6%,+/-22.8,0,+/-27,0.0%,+/-41.6,88,+/-41,63.8%,+/-22.6
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,137,+/-72,(X),(X),68,+/-62,(X),(X),69,+/-41,(X),(X)
High school graduate or higher,77,+/-64,56.2%,+/-33.7,39,+/-43,57.4%,+/-45.6,38,+/-48,55.1%,+/-54.4
Bachelor's degree or higher,4,+/-8,2.9%,+/-5.6,4,+/-8,5.9%,+/-12.5,0,+/-27,0.0%,+/-33.6
Two or more races,347,+/-70,(X),(X),81,+/-52,(X),(X),266,+/-81,(X),(X)
High school graduate or higher,314,+/-75,90.5%,+/-7.8,73,+/-49,90.1%,+/-16.8,241,+/-91,90.6%,+/-11.3
Bachelor's degree or higher,38,+/-36,11.0%,+/-10.0,25,+/-29,30.9%,+/-28.9,13,+/-21,4.9%,+/-9.0
Hispanic or Latino Origin,472,+/-82,(X),(X),262,+/-66,(X),(X),210,+/-63,(X),(X)
High school graduate or higher,332,+/-102,70.3%,+/-18.6,167,+/-66,63.7%,+/-24.4,165,+/-87,78.6%,+/-21.5
Bachelor's degree or higher,53,+/-39,11.2%,+/-7.8,16,+/-25,6.1%,+/-8.7,37,+/-31,17.6%,+/-13.9
