Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,092",+/-56,(X),(X),526,+/-26,(X),(X),566,+/-49,(X),(X)
Less than high school graduate,305,+/-109,27.9%,+/-10.2,173,+/-82,32.9%,+/-16.1,132,+/-62,23.3%,+/-11.0
High school graduate (includes equivalency),361,+/-107,33.1%,+/-9.4,200,+/-90,38.0%,+/-16.5,161,+/-60,28.4%,+/-10.7
Some college or associate's degree,330,+/-104,30.2%,+/-9.5,124,+/-71,23.6%,+/-13.5,206,+/-78,36.4%,+/-13.3
Bachelor's degree or higher,96,+/-53,8.8%,+/-4.8,29,+/-29,5.5%,+/-5.5,67,+/-42,11.8%,+/-7.0
Population 25 years and over,"9,835",+/-59,(X),(X),"4,946",+/-32,(X),(X),"4,889",+/-53,(X),(X)
Less than 9th grade,360,+/-83,3.7%,+/-0.8,143,+/-53,2.9%,+/-1.1,217,+/-69,4.4%,+/-1.4
"9th to 12th grade, no diploma","1,034",+/-218,10.5%,+/-2.2,553,+/-141,11.2%,+/-2.8,481,+/-122,9.8%,+/-2.5
High school graduate (includes equivalency),"4,572",+/-255,46.5%,+/-2.5,"2,443",+/-176,49.4%,+/-3.5,"2,129",+/-168,43.5%,+/-3.4
"Some college, no degree","2,064",+/-246,21.0%,+/-2.5,940,+/-150,19.0%,+/-3.0,"1,124",+/-195,23.0%,+/-3.9
Associate's degree,768,+/-192,7.8%,+/-1.9,363,+/-121,7.3%,+/-2.4,405,+/-121,8.3%,+/-2.4
Bachelor's degree,717,+/-150,7.3%,+/-1.5,346,+/-88,7.0%,+/-1.8,371,+/-107,7.6%,+/-2.2
Graduate or professional degree,320,+/-105,3.3%,+/-1.1,158,+/-62,3.2%,+/-1.3,162,+/-66,3.3%,+/-1.3
Percent high school graduate or higher,(X),(X),85.8%,+/-2.4,(X),(X),85.9%,+/-2.8,(X),(X),85.7%,+/-2.9
Percent bachelor's degree or higher,(X),(X),10.5%,+/-2.0,(X),(X),10.2%,+/-2.0,(X),(X),10.9%,+/-2.7
Population 25 to 34 years,"1,598",+/-67,(X),(X),850,+/-54,(X),(X),748,+/-50,(X),(X)
High school graduate or higher,"1,452",+/-83,90.9%,+/-4.1,780,+/-62,91.8%,+/-5.9,672,+/-49,89.8%,+/-4.7
Bachelor's degree or higher,250,+/-112,15.6%,+/-6.9,122,+/-67,14.4%,+/-7.7,128,+/-71,17.1%,+/-9.5
Population 35 to 44 years,"1,676",+/-64,(X),(X),895,+/-51,(X),(X),781,+/-35,(X),(X)
High school graduate or higher,"1,422",+/-100,84.8%,+/-5.7,703,+/-72,78.5%,+/-9.0,719,+/-56,92.1%,+/-5.6
Bachelor's degree or higher,102,+/-47,6.1%,+/-2.8,52,+/-33,5.8%,+/-3.7,50,+/-27,6.4%,+/-3.4
Population 45 to 64 years,"4,101",+/-41,(X),(X),"2,091",+/-28,(X),(X),"2,010",+/-32,(X),(X)
High school graduate or higher,"3,517",+/-147,85.8%,+/-3.6,"1,807",+/-84,86.4%,+/-4.2,"1,710",+/-100,85.1%,+/-4.8
Bachelor's degree or higher,357,+/-93,8.7%,+/-2.3,164,+/-63,7.8%,+/-3.0,193,+/-68,9.6%,+/-3.4
Population 65 years and over,"2,460",+/-42,(X),(X),"1,110",+/-8,(X),(X),"1,350",+/-38,(X),(X)
High school graduate or higher,"2,050",+/-111,83.3%,+/-4.4,960,+/-57,86.5%,+/-5.1,"1,090",+/-85,80.7%,+/-5.8
Bachelor's degree or higher,328,+/-94,13.3%,+/-3.8,166,+/-68,15.0%,+/-6.1,162,+/-60,12.0%,+/-4.3
