RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"9,615",+/-55,(X),(X),"4,825",+/-41,(X),(X),"4,790",+/-43,(X),(X)
High school graduate or higher,"8,276",+/-233,86.1%,+/-2.4,"4,182",+/-137,86.7%,+/-2.8,"4,094",+/-150,85.5%,+/-2.9
Bachelor's degree or higher,961,+/-186,10.0%,+/-1.9,464,+/-94,9.6%,+/-2.0,497,+/-127,10.4%,+/-2.6
"White alone, not Hispanic or Latino","9,265",+/-18,(X),(X),"4,628",+/-18,(X),(X),"4,637",+/-18,(X),(X)
High school graduate or higher,"8,100",+/-223,87.4%,+/-2.4,"4,096",+/-129,88.5%,+/-2.8,"4,004",+/-134,86.3%,+/-2.9
Bachelor's degree or higher,948,+/-182,10.2%,+/-2.0,451,+/-94,9.7%,+/-2.0,497,+/-127,10.7%,+/-2.7
Black alone,37,+/-37,(X),(X),10,+/-11,(X),(X),27,+/-36,(X),(X)
High school graduate or higher,37,+/-37,100.0%,+/-46.8,10,+/-11,100.0%,+/-90.1,27,+/-36,100.0%,+/-54.8
Bachelor's degree or higher,27,+/-36,73.0%,+/-44.7,0,+/-18,0.0%,+/-90.1,27,+/-36,100.0%,+/-54.8
American Indian or Alaska Native alone,19,+/-25,(X),(X),4,+/-8,(X),(X),15,+/-21,(X),(X)
High school graduate or higher,15,+/-21,78.9%,+/-31.6,0,+/-18,0.0%,+/-100.0,15,+/-21,100.0%,+/-73.6
Bachelor's degree or higher,0,+/-18,0.0%,+/-65.4,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-73.6
Asian alone,22,+/-23,(X),(X),5,+/-9,(X),(X),17,+/-19,(X),(X)
High school graduate or higher,22,+/-23,100.0%,+/-60.7,5,+/-9,100.0%,+/-100.0,17,+/-19,100.0%,+/-69.1
Bachelor's degree or higher,5,+/-9,22.7%,+/-33.7,5,+/-9,100.0%,+/-100.0,0,+/-18,0.0%,+/-69.1
Native Hawaiian and Other Pacific Islander alone,22,+/-33,(X),(X),10,+/-15,(X),(X),12,+/-19,(X),(X)
High school graduate or higher,22,+/-33,100.0%,+/-60.7,10,+/-15,100.0%,+/-90.1,12,+/-19,100.0%,+/-82.2
Bachelor's degree or higher,0,+/-18,0.0%,+/-60.7,0,+/-18,0.0%,+/-90.1,0,+/-18,0.0%,+/-82.3
Some other race alone,76,+/-53,(X),(X),72,+/-51,(X),(X),4,+/-5,(X),(X)
High school graduate or higher,41,+/-49,53.9%,+/-46.3,39,+/-49,54.2%,+/-48.4,2,+/-3,50.0%,+/-50.0
Bachelor's degree or higher,31,+/-48,40.8%,+/-47.8,31,+/-48,43.1%,+/-49.9,0,+/-18,0.0%,+/-100.0
Two or more races,44,+/-24,(X),(X),20,+/-19,(X),(X),24,+/-19,(X),(X)
High school graduate or higher,28,+/-23,63.6%,+/-40.1,4,+/-8,20.0%,+/-49.6,24,+/-19,100.0%,+/-58.2
Bachelor's degree or higher,13,+/-16,29.5%,+/-25.7,4,+/-8,20.0%,+/-49.6,9,+/-14,37.5%,+/-38.3
Hispanic or Latino Origin,426,+/-46,(X),(X),269,+/-21,(X),(X),157,+/-45,(X),(X)
High school graduate or higher,217,+/-66,50.9%,+/-13.3,125,+/-57,46.5%,+/-21.6,92,+/-52,58.6%,+/-24.0
Bachelor's degree or higher,44,+/-53,10.3%,+/-12.0,44,+/-53,16.4%,+/-19.4,0,+/-18,0.0%,+/-17.3
