Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,999",+/-104,(X),(X),"2,095",+/-99,(X),(X),"1,904",+/-23,(X),(X)
Less than high school graduate,856,+/-159,21.4%,+/-3.9,436,+/-121,20.8%,+/-5.6,420,+/-91,22.1%,+/-4.8
High school graduate (includes equivalency),"1,634",+/-196,40.9%,+/-4.6,917,+/-164,43.8%,+/-7.7,717,+/-134,37.7%,+/-7.0
Some college or associate's degree,"1,286",+/-202,32.2%,+/-5.0,658,+/-160,31.4%,+/-7.5,628,+/-165,33.0%,+/-8.7
Bachelor's degree or higher,223,+/-89,5.6%,+/-2.3,84,+/-44,4.0%,+/-2.1,139,+/-84,7.3%,+/-4.4
Population 25 years and over,"31,373",+/-106,(X),(X),"15,465",+/-107,(X),(X),"15,908",+/-35,(X),(X)
Less than 9th grade,"1,874",+/-271,6.0%,+/-0.9,"1,029",+/-179,6.7%,+/-1.2,845,+/-167,5.3%,+/-1.1
"9th to 12th grade, no diploma","2,927",+/-333,9.3%,+/-1.1,"1,495",+/-237,9.7%,+/-1.5,"1,432",+/-248,9.0%,+/-1.6
High school graduate (includes equivalency),"12,886",+/-591,41.1%,+/-1.9,"6,725",+/-393,43.5%,+/-2.6,"6,161",+/-370,38.7%,+/-2.3
"Some college, no degree","6,330",+/-391,20.2%,+/-1.3,"3,173",+/-270,20.5%,+/-1.7,"3,157",+/-296,19.8%,+/-1.9
Associate's degree,"2,918",+/-290,9.3%,+/-0.9,"1,013",+/-161,6.6%,+/-1.0,"1,905",+/-245,12.0%,+/-1.5
Bachelor's degree,"3,078",+/-298,9.8%,+/-0.9,"1,363",+/-218,8.8%,+/-1.4,"1,715",+/-209,10.8%,+/-1.3
Graduate or professional degree,"1,360",+/-198,4.3%,+/-0.6,667,+/-137,4.3%,+/-0.9,693,+/-128,4.4%,+/-0.8
Percent high school graduate or higher,(X),(X),84.7%,+/-1.2,(X),(X),83.7%,+/-1.8,(X),(X),85.7%,+/-1.7
Percent bachelor's degree or higher,(X),(X),14.1%,+/-1.3,(X),(X),13.1%,+/-1.7,(X),(X),15.1%,+/-1.4
Population 25 to 34 years,"5,526",+/-97,(X),(X),"2,810",+/-89,(X),(X),"2,716",+/-46,(X),(X)
High school graduate or higher,"4,633",+/-190,83.8%,+/-3.4,"2,305",+/-133,82.0%,+/-4.7,"2,328",+/-155,85.7%,+/-5.5
Bachelor's degree or higher,967,+/-200,17.5%,+/-3.6,377,+/-104,13.4%,+/-3.8,590,+/-127,21.7%,+/-4.7
Population 35 to 44 years,"6,048",+/-94,(X),(X),"3,044",+/-26,(X),(X),"3,004",+/-94,(X),(X)
High school graduate or higher,"5,115",+/-216,84.6%,+/-3.5,"2,560",+/-114,84.1%,+/-3.6,"2,555",+/-168,85.1%,+/-5.5
Bachelor's degree or higher,867,+/-161,14.3%,+/-2.7,313,+/-104,10.3%,+/-3.4,554,+/-105,18.4%,+/-3.6
Population 45 to 64 years,"12,939",+/-106,(X),(X),"6,556",+/-59,(X),(X),"6,383",+/-87,(X),(X)
High school graduate or higher,"11,039",+/-266,85.3%,+/-2.0,"5,509",+/-200,84.0%,+/-2.8,"5,530",+/-153,86.6%,+/-2.6
Bachelor's degree or higher,"1,869",+/-297,14.4%,+/-2.3,943,+/-185,14.4%,+/-2.8,926,+/-175,14.5%,+/-2.7
Population 65 years and over,"6,860",+/-55,(X),(X),"3,055",+/-49,(X),(X),"3,805",+/-31,(X),(X)
High school graduate or higher,"5,785",+/-203,84.3%,+/-3.0,"2,567",+/-134,84.0%,+/-4.3,"3,218",+/-110,84.6%,+/-2.9
Bachelor's degree or higher,735,+/-130,10.7%,+/-1.9,397,+/-97,13.0%,+/-3.2,338,+/-88,8.9%,+/-2.3
