Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,390,+/-16,(X),(X),201,+/-16,(X),(X),189,+/-16,(X),(X)
Less than high school graduate,61,+/-41,15.6%,+/-10.6,48,+/-38,23.9%,+/-18.7,13,+/-16,6.9%,+/-8.5
High school graduate (includes equivalency),166,+/-48,42.6%,+/-12.3,64,+/-33,31.8%,+/-16.2,102,+/-44,54.0%,+/-23.5
Some college or associate's degree,115,+/-55,29.5%,+/-14.2,46,+/-33,22.9%,+/-16.5,69,+/-44,36.5%,+/-23.2
Bachelor's degree or higher,48,+/-43,12.3%,+/-11.0,43,+/-39,21.4%,+/-19.6,5,+/-9,2.6%,+/-4.7
Population 25 years and over,"4,384",+/-45,(X),(X),"2,191",+/-27,(X),(X),"2,193",+/-37,(X),(X)
Less than 9th grade,112,+/-46,2.6%,+/-1.1,67,+/-39,3.1%,+/-1.8,45,+/-31,2.1%,+/-1.4
"9th to 12th grade, no diploma",388,+/-97,8.9%,+/-2.2,169,+/-53,7.7%,+/-2.4,219,+/-63,10.0%,+/-2.9
High school graduate (includes equivalency),"2,051",+/-192,46.8%,+/-4.3,995,+/-126,45.4%,+/-5.7,"1,056",+/-128,48.2%,+/-5.9
"Some college, no degree",791,+/-173,18.0%,+/-3.9,400,+/-100,18.3%,+/-4.5,391,+/-103,17.8%,+/-4.7
Associate's degree,435,+/-98,9.9%,+/-2.2,235,+/-89,10.7%,+/-4.1,200,+/-81,9.1%,+/-3.7
Bachelor's degree,382,+/-116,8.7%,+/-2.6,197,+/-77,9.0%,+/-3.5,185,+/-62,8.4%,+/-2.8
Graduate or professional degree,225,+/-85,5.1%,+/-1.9,128,+/-59,5.8%,+/-2.7,97,+/-45,4.4%,+/-2.1
Percent high school graduate or higher,(X),(X),88.6%,+/-2.4,(X),(X),89.2%,+/-2.9,(X),(X),88.0%,+/-2.9
Percent bachelor's degree or higher,(X),(X),13.8%,+/-3.4,(X),(X),14.8%,+/-4.3,(X),(X),12.9%,+/-3.6
Population 25 to 34 years,645,+/-15,(X),(X),343,+/-22,(X),(X),302,+/-16,(X),(X)
High school graduate or higher,617,+/-33,95.7%,+/-4.3,324,+/-33,94.5%,+/-7.0,293,+/-20,97.0%,+/-4.3
Bachelor's degree or higher,80,+/-42,12.4%,+/-6.5,23,+/-22,6.7%,+/-6.3,57,+/-27,18.9%,+/-8.7
Population 35 to 44 years,684,+/-20,(X),(X),343,+/-16,(X),(X),341,+/-9,(X),(X)
High school graduate or higher,675,+/-25,98.7%,+/-2.1,334,+/-21,97.4%,+/-4.2,341,+/-9,100.0%,+/-8.4
Bachelor's degree or higher,129,+/-55,18.9%,+/-8.0,66,+/-38,19.2%,+/-11.2,63,+/-35,18.5%,+/-10.3
Population 45 to 64 years,"1,891",+/-33,(X),(X),978,+/-27,(X),(X),913,+/-16,(X),(X)
High school graduate or higher,"1,693",+/-79,89.5%,+/-3.9,863,+/-51,88.2%,+/-4.5,830,+/-50,90.9%,+/-5.3
Bachelor's degree or higher,216,+/-103,11.4%,+/-5.4,115,+/-59,11.8%,+/-6.0,101,+/-53,11.1%,+/-5.8
Population 65 years and over,"1,164",+/-18,(X),(X),527,+/-8,(X),(X),637,+/-15,(X),(X)
High school graduate or higher,899,+/-68,77.2%,+/-5.5,434,+/-40,82.4%,+/-7.7,465,+/-48,73.0%,+/-6.8
Bachelor's degree or higher,182,+/-66,15.6%,+/-5.6,121,+/-52,23.0%,+/-9.9,61,+/-35,9.6%,+/-5.4
