RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"4,277",+/-21,(X),(X),"2,125",+/-11,(X),(X),"2,152",+/-12,(X),(X)
High school graduate or higher,"3,773",+/-134,88.2%,+/-3.1,"1,871",+/-97,88.0%,+/-4.5,"1,902",+/-64,88.4%,+/-2.9
Bachelor's degree or higher,609,+/-131,14.2%,+/-3.1,322,+/-84,15.2%,+/-3.9,287,+/-84,13.3%,+/-3.9
"White alone, not Hispanic or Latino","4,261",+/-16,(X),(X),"2,118",+/-16,(X),(X),"2,143",+/-16,(X),(X)
High school graduate or higher,"3,757",+/-133,88.2%,+/-3.1,"1,864",+/-96,88.0%,+/-4.5,"1,893",+/-63,88.3%,+/-2.9
Bachelor's degree or higher,602,+/-131,14.1%,+/-3.1,315,+/-84,14.9%,+/-4.0,287,+/-84,13.4%,+/-3.9
Black alone,44,+/-32,(X),(X),37,+/-32,(X),(X),7,+/-12,(X),(X)
High school graduate or higher,37,+/-26,84.1%,+/-15.1,30,+/-25,81.1%,+/-15.3,7,+/-12,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-43.0,0,+/-16,0.0%,+/-46.8,0,+/-16,0.0%,+/-100.0
American Indian or Alaska Native alone,5,+/-8,(X),(X),0,+/-16,(X),(X),5,+/-8,(X),(X)
High school graduate or higher,5,+/-8,100.0%,+/-100.0,0,+/-16,-,**,5,+/-8,100.0%,+/-100.0
Bachelor's degree or higher,5,+/-8,100.0%,+/-100.0,0,+/-16,-,**,5,+/-8,100.0%,+/-100.0
Asian alone,20,+/-21,(X),(X),3,+/-8,(X),(X),17,+/-17,(X),(X)
High school graduate or higher,17,+/-17,85.0%,+/-30.1,0,+/-16,0.0%,+/-100.0,17,+/-17,100.0%,+/-69.1
Bachelor's degree or higher,0,+/-16,0.0%,+/-63.7,0,+/-16,0.0%,+/-100.0,0,+/-16,0.0%,+/-69.1
Native Hawaiian and Other Pacific Islander alone,0,+/-16,(X),(X),0,+/-16,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Some other race alone,23,+/-27,(X),(X),11,+/-15,(X),(X),12,+/-15,(X),(X)
High school graduate or higher,23,+/-27,100.0%,+/-59.4,11,+/-15,100.0%,+/-85.9,12,+/-15,100.0%,+/-82.2
Bachelor's degree or higher,7,+/-13,30.4%,+/-30.3,0,+/-16,0.0%,+/-85.9,7,+/-13,58.3%,+/-58.3
Two or more races,19,+/-20,(X),(X),0,+/-16,(X),(X),19,+/-20,(X),(X)
High school graduate or higher,19,+/-20,100.0%,+/-65.4,0,+/-16,-,**,19,+/-20,100.0%,+/-65.4
Bachelor's degree or higher,0,+/-16,0.0%,+/-65.4,0,+/-16,-,**,0,+/-16,0.0%,+/-65.4
Hispanic or Latino Origin,39,+/-30,(X),(X),18,+/-17,(X),(X),21,+/-17,(X),(X)
High school graduate or higher,39,+/-30,100.0%,+/-45.6,18,+/-17,100.0%,+/-67.2,21,+/-17,100.0%,+/-62.2
Bachelor's degree or higher,14,+/-16,35.9%,+/-17.9,7,+/-11,38.9%,+/-47.8,7,+/-13,33.3%,+/-53.1
