Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,534",+/-38,(X),(X),785,+/-14,(X),(X),749,+/-35,(X),(X)
Less than high school graduate,306,+/-96,19.9%,+/-6.3,211,+/-85,26.9%,+/-10.8,95,+/-43,12.7%,+/-5.8
High school graduate (includes equivalency),687,+/-111,44.8%,+/-6.8,318,+/-67,40.5%,+/-8.5,369,+/-90,49.3%,+/-11.2
Some college or associate's degree,457,+/-103,29.8%,+/-6.8,209,+/-74,26.6%,+/-9.4,248,+/-66,33.1%,+/-9.1
Bachelor's degree or higher,84,+/-49,5.5%,+/-3.2,47,+/-45,6.0%,+/-5.8,37,+/-24,4.9%,+/-3.2
Population 25 years and over,"13,354",+/-74,(X),(X),"6,521",+/-77,(X),(X),"6,833",+/-43,(X),(X)
Less than 9th grade,670,+/-138,5.0%,+/-1.0,366,+/-95,5.6%,+/-1.5,304,+/-80,4.4%,+/-1.2
"9th to 12th grade, no diploma","1,555",+/-159,11.6%,+/-1.2,645,+/-123,9.9%,+/-1.9,910,+/-113,13.3%,+/-1.7
High school graduate (includes equivalency),"6,016",+/-345,45.1%,+/-2.6,"3,214",+/-244,49.3%,+/-3.6,"2,802",+/-216,41.0%,+/-3.2
"Some college, no degree","2,637",+/-300,19.7%,+/-2.2,"1,211",+/-173,18.6%,+/-2.6,"1,426",+/-207,20.9%,+/-3.0
Associate's degree,886,+/-136,6.6%,+/-1.0,398,+/-98,6.1%,+/-1.5,488,+/-101,7.1%,+/-1.5
Bachelor's degree,946,+/-174,7.1%,+/-1.3,399,+/-97,6.1%,+/-1.5,547,+/-126,8.0%,+/-1.8
Graduate or professional degree,644,+/-128,4.8%,+/-1.0,288,+/-78,4.4%,+/-1.2,356,+/-90,5.2%,+/-1.3
Percent high school graduate or higher,(X),(X),83.3%,+/-1.5,(X),(X),84.5%,+/-2.2,(X),(X),82.2%,+/-1.8
Percent bachelor's degree or higher,(X),(X),11.9%,+/-1.6,(X),(X),10.5%,+/-1.9,(X),(X),13.2%,+/-2.1
Population 25 to 34 years,"2,145",+/-70,(X),(X),"1,110",+/-75,(X),(X),"1,035",+/-32,(X),(X)
High school graduate or higher,"1,858",+/-123,86.6%,+/-4.4,942,+/-100,84.9%,+/-5.6,916,+/-65,88.5%,+/-5.3
Bachelor's degree or higher,291,+/-89,13.6%,+/-4.1,102,+/-50,9.2%,+/-4.4,189,+/-72,18.3%,+/-6.8
Population 35 to 44 years,"2,274",+/-26,(X),(X),"1,129",+/-16,(X),(X),"1,145",+/-12,(X),(X)
High school graduate or higher,"2,034",+/-84,89.4%,+/-3.5,"1,014",+/-54,89.8%,+/-4.5,"1,020",+/-45,89.1%,+/-3.8
Bachelor's degree or higher,307,+/-86,13.5%,+/-3.8,97,+/-49,8.6%,+/-4.3,210,+/-75,18.3%,+/-6.5
Population 45 to 64 years,"5,532",+/-39,(X),(X),"2,769",+/-35,(X),(X),"2,763",+/-17,(X),(X)
High school graduate or higher,"4,589",+/-136,83.0%,+/-2.4,"2,313",+/-91,83.5%,+/-3.3,"2,276",+/-90,82.4%,+/-3.2
Bachelor's degree or higher,519,+/-114,9.4%,+/-2.1,222,+/-70,8.0%,+/-2.6,297,+/-77,10.7%,+/-2.8
Population 65 years and over,"3,403",+/-48,(X),(X),"1,513",+/-24,(X),(X),"1,890",+/-37,(X),(X)
High school graduate or higher,"2,648",+/-115,77.8%,+/-3.3,"1,241",+/-81,82.0%,+/-5.2,"1,407",+/-82,74.4%,+/-4.1
Bachelor's degree or higher,473,+/-94,13.9%,+/-2.8,266,+/-71,17.6%,+/-4.8,207,+/-57,11.0%,+/-3.1
