RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,082",+/-47,(X),(X),"6,324",+/-25,(X),(X),"6,758",+/-38,(X),(X)
High school graduate or higher,"10,890",+/-242,83.2%,+/-1.8,"5,281",+/-161,83.5%,+/-2.5,"5,609",+/-155,83.0%,+/-2.2
Bachelor's degree or higher,"1,563",+/-218,11.9%,+/-1.7,639,+/-129,10.1%,+/-2.0,924,+/-155,13.7%,+/-2.3
"White alone, not Hispanic or Latino","12,999",+/-18,(X),(X),"6,291",+/-18,(X),(X),"6,708",+/-18,(X),(X)
High school graduate or higher,"10,807",+/-241,83.1%,+/-1.9,"5,248",+/-160,83.4%,+/-2.5,"5,559",+/-150,82.9%,+/-2.2
Bachelor's degree or higher,"1,535",+/-222,11.8%,+/-1.7,639,+/-129,10.2%,+/-2.1,896,+/-157,13.4%,+/-2.3
Black alone,147,+/-28,(X),(X),84,+/-27,(X),(X),63,+/-21,(X),(X)
High school graduate or higher,120,+/-26,81.6%,+/-11.9,64,+/-25,76.2%,+/-18.8,56,+/-23,88.9%,+/-14.3
Bachelor's degree or higher,7,+/-10,4.8%,+/-7.0,0,+/-18,0.0%,+/-29.2,7,+/-10,11.1%,+/-16.0
American Indian or Alaska Native alone,26,+/-12,(X),(X),4,+/-8,(X),(X),22,+/-14,(X),(X)
High school graduate or higher,26,+/-12,100.0%,+/-55.9,4,+/-8,100.0%,+/-100.0,22,+/-14,100.0%,+/-60.7
Bachelor's degree or higher,0,+/-18,0.0%,+/-55.9,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-60.7
Asian alone,69,+/-19,(X),(X),51,+/-10,(X),(X),18,+/-19,(X),(X)
High school graduate or higher,60,+/-20,87.0%,+/-19.3,48,+/-12,94.1%,+/-9.6,12,+/-16,66.7%,+/-46.0
Bachelor's degree or higher,15,+/-20,21.7%,+/-24.1,9,+/-14,17.6%,+/-25.2,6,+/-13,33.3%,+/-50.5
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,53,+/-71,(X),(X),53,+/-71,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,53,+/-71,100.0%,+/-39.1,53,+/-71,100.0%,+/-39.1,0,+/-18,-,**
Bachelor's degree or higher,5,+/-8,9.4%,+/-23.5,5,+/-8,9.4%,+/-23.5,0,+/-18,-,**
Two or more races,84,+/-60,(X),(X),43,+/-34,(X),(X),41,+/-47,(X),(X)
High school graduate or higher,66,+/-48,78.6%,+/-26.6,43,+/-34,100.0%,+/-43.5,23,+/-31,56.1%,+/-45.5
Bachelor's degree or higher,0,+/-18,0.0%,+/-29.2,0,+/-18,0.0%,+/-43.5,0,+/-18,0.0%,+/-44.5
Hispanic or Latino Origin,140,+/-64,(X),(X),86,+/-62,(X),(X),54,+/-38,(X),(X)
High school graduate or higher,140,+/-64,100.0%,+/-19.2,86,+/-62,100.0%,+/-28.7,54,+/-38,100.0%,+/-38.8
Bachelor's degree or higher,33,+/-43,23.6%,+/-27.0,5,+/-8,5.8%,+/-10.4,28,+/-40,51.9%,+/-51.5
