Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,581",+/-39,(X),(X),817,+/-24,(X),(X),764,+/-21,(X),(X)
Less than high school graduate,407,+/-96,25.7%,+/-6.0,259,+/-80,31.7%,+/-9.7,148,+/-46,19.4%,+/-6.1
High school graduate (includes equivalency),556,+/-145,35.2%,+/-9.2,301,+/-97,36.8%,+/-11.8,255,+/-85,33.4%,+/-11.1
Some college or associate's degree,552,+/-143,34.9%,+/-9.0,240,+/-88,29.4%,+/-10.8,312,+/-90,40.8%,+/-11.7
Bachelor's degree or higher,66,+/-49,4.2%,+/-3.1,17,+/-20,2.1%,+/-2.5,49,+/-36,6.4%,+/-4.7
Population 25 years and over,"14,930",+/-52,(X),(X),"7,493",+/-60,(X),(X),"7,437",+/-47,(X),(X)
Less than 9th grade,711,+/-134,4.8%,+/-0.9,352,+/-86,4.7%,+/-1.2,359,+/-96,4.8%,+/-1.3
"9th to 12th grade, no diploma","1,637",+/-260,11.0%,+/-1.7,888,+/-180,11.9%,+/-2.4,749,+/-149,10.1%,+/-2.0
High school graduate (includes equivalency),"6,448",+/-363,43.2%,+/-2.5,"3,356",+/-293,44.8%,+/-3.9,"3,092",+/-217,41.6%,+/-3.0
"Some college, no degree","3,319",+/-305,22.2%,+/-2.0,"1,577",+/-203,21.0%,+/-2.7,"1,742",+/-209,23.4%,+/-2.8
Associate's degree,"1,022",+/-179,6.8%,+/-1.2,459,+/-123,6.1%,+/-1.6,563,+/-116,7.6%,+/-1.5
Bachelor's degree,975,+/-159,6.5%,+/-1.1,442,+/-99,5.9%,+/-1.3,533,+/-103,7.2%,+/-1.4
Graduate or professional degree,818,+/-160,5.5%,+/-1.1,419,+/-121,5.6%,+/-1.6,399,+/-96,5.4%,+/-1.3
Percent high school graduate or higher,(X),(X),84.3%,+/-1.9,(X),(X),83.5%,+/-2.6,(X),(X),85.1%,+/-2.2
Percent bachelor's degree or higher,(X),(X),12.0%,+/-1.6,(X),(X),11.5%,+/-2.0,(X),(X),12.5%,+/-1.8
Population 25 to 34 years,"2,186",+/-51,(X),(X),"1,143",+/-40,(X),(X),"1,043",+/-28,(X),(X)
High school graduate or higher,"1,935",+/-108,88.5%,+/-4.3,997,+/-85,87.2%,+/-6.6,938,+/-52,89.9%,+/-4.9
Bachelor's degree or higher,231,+/-77,10.6%,+/-3.5,60,+/-39,5.2%,+/-3.4,171,+/-58,16.4%,+/-5.7
Population 35 to 44 years,"2,396",+/-34,(X),(X),"1,204",+/-24,(X),(X),"1,192",+/-19,(X),(X)
High school graduate or higher,"2,011",+/-111,83.9%,+/-4.4,988,+/-77,82.1%,+/-6.4,"1,023",+/-69,85.8%,+/-5.4
Bachelor's degree or higher,370,+/-109,15.4%,+/-4.6,154,+/-62,12.8%,+/-5.1,216,+/-70,18.1%,+/-5.9
Population 45 to 64 years,"6,708",+/-56,(X),(X),"3,399",+/-58,(X),(X),"3,309",+/-40,(X),(X)
High school graduate or higher,"5,803",+/-185,86.5%,+/-2.6,"2,961",+/-134,87.1%,+/-3.7,"2,842",+/-113,85.9%,+/-3.2
Bachelor's degree or higher,787,+/-166,11.7%,+/-2.5,419,+/-117,12.3%,+/-3.4,368,+/-95,11.1%,+/-2.8
Population 65 years and over,"3,640",+/-43,(X),(X),"1,747",+/-30,(X),(X),"1,893",+/-30,(X),(X)
High school graduate or higher,"2,833",+/-136,77.8%,+/-3.6,"1,307",+/-109,74.8%,+/-6.0,"1,526",+/-74,80.6%,+/-3.9
Bachelor's degree or higher,405,+/-108,11.1%,+/-2.9,228,+/-81,13.1%,+/-4.6,177,+/-66,9.4%,+/-3.5
