RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"14,554",+/-32,(X),(X),"7,277",+/-30,(X),(X),"7,277",+/-29,(X),(X)
High school graduate or higher,"12,263",+/-286,84.3%,+/-1.9,"6,057",+/-194,83.2%,+/-2.7,"6,206",+/-170,85.3%,+/-2.2
Bachelor's degree or higher,"1,708",+/-232,11.7%,+/-1.6,805,+/-150,11.1%,+/-2.1,903,+/-134,12.4%,+/-1.8
"White alone, not Hispanic or Latino","14,437",+/-21,(X),(X),"7,208",+/-21,(X),(X),"7,229",+/-21,(X),(X)
High school graduate or higher,"12,185",+/-281,84.4%,+/-1.9,"6,007",+/-194,83.3%,+/-2.7,"6,178",+/-159,85.5%,+/-2.2
Bachelor's degree or higher,"1,692",+/-224,11.7%,+/-1.6,789,+/-144,10.9%,+/-2.0,903,+/-134,12.5%,+/-1.9
Black alone,118,+/-50,(X),(X),62,+/-45,(X),(X),56,+/-34,(X),(X)
High school graduate or higher,118,+/-50,100.0%,+/-22.2,62,+/-45,100.0%,+/-36.0,56,+/-34,100.0%,+/-38.1
Bachelor's degree or higher,23,+/-30,19.5%,+/-19.4,23,+/-30,37.1%,+/-27.2,0,+/-21,0.0%,+/-38.1
American Indian or Alaska Native alone,58,+/-38,(X),(X),34,+/-32,(X),(X),24,+/-23,(X),(X)
High school graduate or higher,48,+/-34,82.8%,+/-20.3,34,+/-32,100.0%,+/-48.9,14,+/-16,58.3%,+/-38.5
Bachelor's degree or higher,21,+/-25,36.2%,+/-33.5,16,+/-25,47.1%,+/-49.8,5,+/-7,20.8%,+/-24.3
Asian alone,77,+/-12,(X),(X),34,+/-14,(X),(X),43,+/-11,(X),(X)
High school graduate or higher,41,+/-21,53.2%,+/-22.7,25,+/-14,73.5%,+/-25.2,16,+/-21,37.2%,+/-44.7
Bachelor's degree or higher,12,+/-19,15.6%,+/-24.6,0,+/-21,0.0%,+/-48.9,12,+/-19,27.9%,+/-39.4
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Two or more races,123,+/-63,(X),(X),86,+/-42,(X),(X),37,+/-46,(X),(X)
High school graduate or higher,112,+/-66,91.1%,+/-13.7,75,+/-45,87.2%,+/-19.4,37,+/-46,100.0%,+/-46.8
Bachelor's degree or higher,29,+/-29,23.6%,+/-20.7,17,+/-25,19.8%,+/-26.6,12,+/-19,32.4%,+/-29.9
Hispanic or Latino Origin,153,+/-42,(X),(X),105,+/-47,(X),(X),48,+/-29,(X),(X)
High school graduate or higher,114,+/-71,74.5%,+/-25.1,86,+/-58,81.9%,+/-19.6,28,+/-37,58.3%,+/-45.9
Bachelor's degree or higher,39,+/-43,25.5%,+/-21.5,39,+/-43,37.1%,+/-28.8,0,+/-21,0.0%,+/-41.1
