Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,683",+/-90,(X),(X),"1,066",+/-89,(X),(X),617,+/-12,(X),(X)
Less than high school graduate,477,+/-103,28.3%,+/-5.6,344,+/-85,32.3%,+/-7.0,133,+/-53,21.6%,+/-8.5
High school graduate (includes equivalency),654,+/-103,38.9%,+/-6.0,424,+/-84,39.8%,+/-6.9,230,+/-69,37.3%,+/-10.9
Some college or associate's degree,464,+/-108,27.6%,+/-6.3,283,+/-80,26.5%,+/-7.8,181,+/-68,29.3%,+/-11.1
Bachelor's degree or higher,88,+/-59,5.2%,+/-3.5,15,+/-25,1.4%,+/-2.3,73,+/-53,11.8%,+/-8.6
Population 25 years and over,"13,657",+/-136,(X),(X),"7,246",+/-135,(X),(X),"6,411",+/-73,(X),(X)
Less than 9th grade,599,+/-114,4.4%,+/-0.8,357,+/-84,4.9%,+/-1.2,242,+/-65,3.8%,+/-1.0
"9th to 12th grade, no diploma","1,354",+/-196,9.9%,+/-1.4,702,+/-118,9.7%,+/-1.6,652,+/-112,10.2%,+/-1.7
High school graduate (includes equivalency),"6,986",+/-314,51.2%,+/-2.3,"4,031",+/-202,55.6%,+/-2.6,"2,955",+/-207,46.1%,+/-3.3
"Some college, no degree","2,174",+/-218,15.9%,+/-1.5,936,+/-146,12.9%,+/-2.0,"1,238",+/-160,19.3%,+/-2.5
Associate's degree,980,+/-192,7.2%,+/-1.4,443,+/-124,6.1%,+/-1.7,537,+/-131,8.4%,+/-2.0
Bachelor's degree,817,+/-158,6.0%,+/-1.2,513,+/-121,7.1%,+/-1.6,304,+/-92,4.7%,+/-1.4
Graduate or professional degree,747,+/-168,5.5%,+/-1.2,264,+/-94,3.6%,+/-1.3,483,+/-111,7.5%,+/-1.7
Percent high school graduate or higher,(X),(X),85.7%,+/-1.4,(X),(X),85.4%,+/-1.5,(X),(X),86.1%,+/-1.9
Percent bachelor's degree or higher,(X),(X),11.5%,+/-1.5,(X),(X),10.7%,+/-1.6,(X),(X),12.3%,+/-2.0
Population 25 to 34 years,"2,529",+/-93,(X),(X),"1,552",+/-90,(X),(X),977,+/-13,(X),(X)
High school graduate or higher,"2,276",+/-103,90.0%,+/-2.8,"1,381",+/-91,89.0%,+/-3.5,895,+/-48,91.6%,+/-4.8
Bachelor's degree or higher,424,+/-131,16.8%,+/-5.0,234,+/-94,15.1%,+/-5.7,190,+/-70,19.4%,+/-7.2
Population 35 to 44 years,"2,440",+/-73,(X),(X),"1,394",+/-54,(X),(X),"1,046",+/-51,(X),(X)
High school graduate or higher,"2,226",+/-83,91.2%,+/-2.2,"1,212",+/-64,86.9%,+/-3.6,"1,014",+/-61,96.9%,+/-2.6
Bachelor's degree or higher,233,+/-77,9.5%,+/-3.2,81,+/-32,5.8%,+/-2.4,152,+/-69,14.5%,+/-6.5
Population 45 to 64 years,"5,512",+/-88,(X),(X),"2,871",+/-60,(X),(X),"2,641",+/-62,(X),(X)
High school graduate or higher,"4,907",+/-141,89.0%,+/-2.0,"2,511",+/-98,87.5%,+/-2.6,"2,396",+/-95,90.7%,+/-2.7
Bachelor's degree or higher,601,+/-126,10.9%,+/-2.3,289,+/-74,10.1%,+/-2.6,312,+/-86,11.8%,+/-3.3
Population 65 years and over,"3,176",+/-43,(X),(X),"1,429",+/-36,(X),(X),"1,747",+/-16,(X),(X)
High school graduate or higher,"2,295",+/-130,72.3%,+/-4.0,"1,083",+/-78,75.8%,+/-5.0,"1,212",+/-90,69.4%,+/-5.2
Bachelor's degree or higher,306,+/-109,9.6%,+/-3.4,173,+/-64,12.1%,+/-4.5,133,+/-67,7.6%,+/-3.8
