RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,051",+/-36,(X),(X),"6,806",+/-28,(X),(X),"6,245",+/-31,(X),(X)
High school graduate or higher,"11,348",+/-155,87.0%,+/-1.1,"5,887",+/-112,86.5%,+/-1.6,"5,461",+/-116,87.4%,+/-1.8
Bachelor's degree or higher,"1,779",+/-207,13.6%,+/-1.6,827,+/-131,12.2%,+/-1.9,952,+/-146,15.2%,+/-2.3
"White alone, not Hispanic or Latino","13,003",+/-18,(X),(X),"6,777",+/-18,(X),(X),"6,226",+/-18,(X),(X)
High school graduate or higher,"11,306",+/-149,86.9%,+/-1.1,"5,864",+/-108,86.5%,+/-1.6,"5,442",+/-110,87.4%,+/-1.8
Bachelor's degree or higher,"1,779",+/-207,13.7%,+/-1.6,827,+/-131,12.2%,+/-1.9,952,+/-146,15.3%,+/-2.3
Black alone,376,+/-96,(X),(X),324,+/-104,(X),(X),52,+/-61,(X),(X)
High school graduate or higher,316,+/-84,84.0%,+/-13.1,264,+/-89,81.5%,+/-14.6,52,+/-61,100.0%,+/-39.5
Bachelor's degree or higher,45,+/-48,12.0%,+/-12.4,37,+/-44,11.4%,+/-12.4,8,+/-15,15.4%,+/-38.7
American Indian or Alaska Native alone,25,+/-41,(X),(X),14,+/-22,(X),(X),11,+/-19,(X),(X)
High school graduate or higher,25,+/-41,100.0%,+/-57.0,14,+/-22,100.0%,+/-76.1,11,+/-19,100.0%,+/-85.9
Bachelor's degree or higher,0,+/-18,0.0%,+/-57.0,0,+/-18,0.0%,+/-76.1,0,+/-18,0.0%,+/-85.9
Asian alone,40,+/-34,(X),(X),23,+/-20,(X),(X),17,+/-25,(X),(X)
High school graduate or higher,31,+/-24,77.5%,+/-35.8,23,+/-20,100.0%,+/-59.4,8,+/-14,47.1%,+/-52.9
Bachelor's degree or higher,1,+/-2,2.5%,+/-5.6,1,+/-2,4.3%,+/-10.3,0,+/-18,0.0%,+/-69.1
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,30,+/-40,(X),(X),30,+/-40,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,30,+/-40,100.0%,+/-52.0,30,+/-40,100.0%,+/-52.0,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-52.0,0,+/-18,0.0%,+/-52.0,0,+/-18,-,**
Two or more races,71,+/-57,(X),(X),21,+/-20,(X),(X),50,+/-49,(X),(X)
High school graduate or higher,71,+/-57,100.0%,+/-33.0,21,+/-20,100.0%,+/-62.2,50,+/-49,100.0%,+/-40.3
Bachelor's degree or higher,0,+/-18,0.0%,+/-33.0,0,+/-18,0.0%,+/-62.2,0,+/-18,0.0%,+/-40.3
Hispanic or Latino Origin,84,+/-44,(X),(X),65,+/-42,(X),(X),19,+/-31,(X),(X)
High school graduate or higher,78,+/-43,92.9%,+/-14.8,59,+/-41,90.8%,+/-19.3,19,+/-31,100.0%,+/-65.4
Bachelor's degree or higher,0,+/-18,0.0%,+/-29.2,0,+/-18,0.0%,+/-34.9,0,+/-18,0.0%,+/-65.4
