Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,919,*****,(X),(X),474,*****,(X),(X),445,*****,(X),(X)
Less than high school graduate,198,+/-59,21.5%,+/-6.4,144,+/-54,30.4%,+/-11.4,54,+/-32,12.1%,+/-7.2
High school graduate (includes equivalency),389,+/-83,42.3%,+/-9.1,194,+/-54,40.9%,+/-11.5,195,+/-63,43.8%,+/-14.2
Some college or associate's degree,270,+/-76,29.4%,+/-8.3,111,+/-47,23.4%,+/-9.9,159,+/-57,35.7%,+/-12.9
Bachelor's degree or higher,62,+/-31,6.7%,+/-3.4,25,+/-18,5.3%,+/-3.8,37,+/-26,8.3%,+/-5.9
Population 25 years and over,"8,977",*****,(X),(X),"4,479",*****,(X),(X),"4,498",*****,(X),(X)
Less than 9th grade,297,+/-77,3.3%,+/-0.9,168,+/-62,3.8%,+/-1.4,129,+/-45,2.9%,+/-1.0
"9th to 12th grade, no diploma",929,+/-155,10.3%,+/-1.7,531,+/-120,11.9%,+/-2.7,398,+/-99,8.8%,+/-2.2
High school graduate (includes equivalency),"4,196",+/-277,46.7%,+/-3.1,"2,121",+/-187,47.4%,+/-4.2,"2,075",+/-171,46.1%,+/-3.8
"Some college, no degree","1,770",+/-212,19.7%,+/-2.4,940,+/-141,21.0%,+/-3.1,830,+/-133,18.5%,+/-3.0
Associate's degree,741,+/-141,8.3%,+/-1.6,316,+/-80,7.1%,+/-1.8,425,+/-109,9.4%,+/-2.4
Bachelor's degree,661,+/-131,7.4%,+/-1.5,270,+/-79,6.0%,+/-1.8,391,+/-92,8.7%,+/-2.0
Graduate or professional degree,383,+/-108,4.3%,+/-1.2,133,+/-52,3.0%,+/-1.2,250,+/-73,5.6%,+/-1.6
Percent high school graduate or higher,(X),(X),86.3%,+/-1.8,(X),(X),84.4%,+/-2.8,(X),(X),88.3%,+/-2.3
Percent bachelor's degree or higher,(X),(X),11.6%,+/-2.1,(X),(X),9.0%,+/-2.2,(X),(X),14.3%,+/-2.7
Population 25 to 34 years,"1,333",*****,(X),(X),691,*****,(X),(X),642,*****,(X),(X)
High school graduate or higher,"1,147",+/-69,86.0%,+/-5.2,528,+/-64,76.4%,+/-9.3,619,+/-27,96.4%,+/-4.3
Bachelor's degree or higher,182,+/-64,13.7%,+/-4.8,27,+/-23,3.9%,+/-3.3,155,+/-57,24.1%,+/-8.9
Population 35 to 44 years,"1,529",*****,(X),(X),786,*****,(X),(X),743,*****,(X),(X)
High school graduate or higher,"1,450",+/-47,94.8%,+/-3.1,741,+/-32,94.3%,+/-4.0,709,+/-27,95.4%,+/-3.6
Bachelor's degree or higher,276,+/-85,18.1%,+/-5.5,130,+/-55,16.5%,+/-7.1,146,+/-58,19.7%,+/-7.8
Population 45 to 64 years,"3,785",*****,(X),(X),"1,938",*****,(X),(X),"1,847",*****,(X),(X)
High school graduate or higher,"3,300",+/-120,87.2%,+/-3.2,"1,679",+/-87,86.6%,+/-4.5,"1,621",+/-74,87.8%,+/-4.0
Bachelor's degree or higher,371,+/-94,9.8%,+/-2.5,120,+/-50,6.2%,+/-2.6,251,+/-72,13.6%,+/-3.9
Population 65 years and over,"2,330",*****,(X),(X),"1,064",*****,(X),(X),"1,266",*****,(X),(X)
High school graduate or higher,"1,854",+/-95,79.6%,+/-4.1,832,+/-63,78.2%,+/-5.9,"1,022",+/-65,80.7%,+/-5.1
Bachelor's degree or higher,215,+/-75,9.2%,+/-3.2,126,+/-48,11.8%,+/-4.5,89,+/-46,7.0%,+/-3.7
