RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"8,647",+/-17,(X),(X),"4,327",+/-16,(X),(X),"4,320",+/-9,(X),(X)
High school graduate or higher,"7,478",+/-165,86.5%,+/-1.9,"3,673",+/-127,84.9%,+/-2.9,"3,805",+/-110,88.1%,+/-2.5
Bachelor's degree or higher,"1,121",+/-182,13.0%,+/-2.1,475,+/-116,11.0%,+/-2.7,646,+/-129,15.0%,+/-3.0
"White alone, not Hispanic or Latino","8,639",+/-9,(X),(X),"4,319",+/-18,(X),(X),"4,320",+/-9,(X),(X)
High school graduate or higher,"7,470",+/-162,86.5%,+/-1.9,"3,665",+/-126,84.9%,+/-2.9,"3,805",+/-110,88.1%,+/-2.5
Bachelor's degree or higher,"1,121",+/-182,13.0%,+/-2.1,475,+/-116,11.0%,+/-2.7,646,+/-129,15.0%,+/-3.0
Black alone,51,+/-43,(X),(X),40,+/-35,(X),(X),11,+/-25,(X),(X)
High school graduate or higher,39,+/-33,76.5%,+/-25.7,28,+/-22,70.0%,+/-27.3,11,+/-25,100.0%,+/-85.9
Bachelor's degree or higher,0,+/-18,0.0%,+/-39.9,0,+/-18,0.0%,+/-45.1,0,+/-18,0.0%,+/-85.9
American Indian or Alaska Native alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Asian alone,27,+/-45,(X),(X),0,+/-18,(X),(X),27,+/-45,(X),(X)
High school graduate or higher,27,+/-45,100.0%,+/-54.8,0,+/-18,-,**,27,+/-45,100.0%,+/-54.8
Bachelor's degree or higher,27,+/-45,100.0%,+/-54.8,0,+/-18,-,**,27,+/-45,100.0%,+/-54.8
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,19,+/-31,(X),(X),15,+/-29,(X),(X),4,+/-7,(X),(X)
High school graduate or higher,4,+/-7,21.1%,+/-44.3,0,+/-18,0.0%,+/-73.6,4,+/-7,100.0%,+/-100.0
Bachelor's degree or higher,4,+/-7,21.1%,+/-44.3,0,+/-18,0.0%,+/-73.6,4,+/-7,100.0%,+/-100.0
Two or more races,51,+/-68,(X),(X),28,+/-46,(X),(X),23,+/-38,(X),(X)
High school graduate or higher,18,+/-36,35.3%,+/-50.5,0,+/-18,0.0%,+/-53.8,18,+/-36,78.3%,+/-57.5
Bachelor's degree or higher,0,+/-18,0.0%,+/-39.9,0,+/-18,0.0%,+/-53.8,0,+/-18,0.0%,+/-59.4
Hispanic or Latino Origin,27,+/-34,(X),(X),23,+/-32,(X),(X),4,+/-7,(X),(X)
High school graduate or higher,12,+/-17,44.4%,+/-55.6,8,+/-16,34.8%,+/-65.2,4,+/-7,100.0%,+/-100.0
Bachelor's degree or higher,4,+/-7,14.8%,+/-26.9,0,+/-18,0.0%,+/-59.4,4,+/-7,100.0%,+/-100.0
