RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"105,389",+/-295,(X),(X),"51,057",+/-180,(X),(X),"54,332",+/-189,(X),(X)
High school graduate or higher,"97,206",+/-825,92.2%,+/-0.8,"47,178",+/-478,92.4%,+/-0.9,"50,028",+/-541,92.1%,+/-0.9
Bachelor's degree or higher,"27,729","+/-1,124",26.3%,+/-1.1,"13,464",+/-711,26.4%,+/-1.4,"14,265",+/-656,26.3%,+/-1.2
"White alone, not Hispanic or Latino","98,650",+/-31,(X),(X),"47,729",+/-31,(X),(X),"50,921",+/-27,(X),(X)
High school graduate or higher,"91,433",+/-776,92.7%,+/-0.8,"44,337",+/-447,92.9%,+/-0.9,"47,096",+/-469,92.5%,+/-0.9
Bachelor's degree or higher,"26,674","+/-1,085",27.0%,+/-1.1,"12,997",+/-698,27.2%,+/-1.5,"13,677",+/-629,26.9%,+/-1.2
Black alone,"3,170",+/-172,(X),(X),"1,465",+/-116,(X),(X),"1,705",+/-97,(X),(X)
High school graduate or higher,"2,925",+/-227,92.3%,+/-3.7,"1,379",+/-131,94.1%,+/-4.3,"1,546",+/-144,90.7%,+/-5.5
Bachelor's degree or higher,524,+/-133,16.5%,+/-4.1,224,+/-83,15.3%,+/-5.6,300,+/-103,17.6%,+/-6.1
American Indian or Alaska Native alone,234,+/-87,(X),(X),63,+/-53,(X),(X),171,+/-64,(X),(X)
High school graduate or higher,213,+/-86,91.0%,+/-12.7,63,+/-53,100.0%,+/-35.6,150,+/-65,87.7%,+/-16.9
Bachelor's degree or higher,51,+/-41,21.8%,+/-15.7,11,+/-18,17.5%,+/-24.5,40,+/-36,23.4%,+/-19.5
Asian alone,"1,471",+/-79,(X),(X),566,+/-46,(X),(X),905,+/-63,(X),(X)
High school graduate or higher,"1,350",+/-88,91.8%,+/-5.7,535,+/-48,94.5%,+/-6.1,815,+/-68,90.1%,+/-7.4
Bachelor's degree or higher,939,+/-142,63.8%,+/-9.2,429,+/-81,75.8%,+/-13.2,510,+/-111,56.4%,+/-11.6
Native Hawaiian and Other Pacific Islander alone,82,+/-63,(X),(X),0,+/-27,(X),(X),82,+/-63,(X),(X)
High school graduate or higher,82,+/-63,100.0%,+/-29.7,0,+/-27,-,**,82,+/-63,100.0%,+/-29.7
Bachelor's degree or higher,42,+/-38,51.2%,+/-35.8,0,+/-27,-,**,42,+/-38,51.2%,+/-35.8
Some other race alone,"1,058",+/-257,(X),(X),536,+/-152,(X),(X),522,+/-147,(X),(X)
High school graduate or higher,701,+/-184,66.3%,+/-10.1,320,+/-113,59.7%,+/-15.4,381,+/-129,73.0%,+/-11.7
Bachelor's degree or higher,142,+/-76,13.4%,+/-7.0,37,+/-34,6.9%,+/-6.5,105,+/-69,20.1%,+/-11.7
Two or more races,885,+/-216,(X),(X),607,+/-150,(X),(X),278,+/-121,(X),(X)
High school graduate or higher,759,+/-203,85.8%,+/-8.9,514,+/-135,84.7%,+/-9.6,245,+/-115,88.1%,+/-13.6
Bachelor's degree or higher,202,+/-82,22.8%,+/-8.7,133,+/-65,21.9%,+/-10.4,69,+/-46,24.8%,+/-15.2
Hispanic or Latino Origin,"8,106",*****,(X),(X),"3,985",*****,(X),(X),"4,121",*****,(X),(X)
High school graduate or higher,"6,733",+/-254,83.1%,+/-3.1,"3,282",+/-187,82.4%,+/-4.7,"3,451",+/-145,83.7%,+/-3.5
Bachelor's degree or higher,"1,212",+/-257,15.0%,+/-3.2,519,+/-162,13.0%,+/-4.1,693,+/-158,16.8%,+/-3.8
