RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"17,315",+/-67,(X),(X),"8,489",+/-67,(X),(X),"8,826",+/-26,(X),(X)
High school graduate or higher,"16,167",+/-199,93.4%,+/-1.1,"7,889",+/-159,92.9%,+/-1.7,"8,278",+/-135,93.8%,+/-1.5
Bachelor's degree or higher,"3,616",+/-317,20.9%,+/-1.8,"1,661",+/-187,19.6%,+/-2.2,"1,955",+/-220,22.2%,+/-2.5
"White alone, not Hispanic or Latino","17,196",+/-21,(X),(X),"8,394",+/-21,(X),(X),"8,802",+/-21,(X),(X)
High school graduate or higher,"16,057",+/-190,93.4%,+/-1.1,"7,794",+/-143,92.9%,+/-1.7,"8,263",+/-131,93.9%,+/-1.5
Bachelor's degree or higher,"3,560",+/-304,20.7%,+/-1.8,"1,605",+/-174,19.1%,+/-2.1,"1,955",+/-220,22.2%,+/-2.5
Black alone,209,+/-102,(X),(X),75,+/-74,(X),(X),134,+/-109,(X),(X)
High school graduate or higher,209,+/-102,100.0%,+/-13.3,75,+/-74,100.0%,+/-31.7,134,+/-109,100.0%,+/-19.9
Bachelor's degree or higher,0,+/-21,0.0%,+/-13.3,0,+/-21,0.0%,+/-31.7,0,+/-21,0.0%,+/-19.9
American Indian or Alaska Native alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Asian alone,39,+/-41,(X),(X),13,+/-14,(X),(X),26,+/-28,(X),(X)
High school graduate or higher,25,+/-27,64.1%,+/-6.5,13,+/-14,100.0%,+/-79.0,12,+/-13,46.2%,+/-8.1
Bachelor's degree or higher,13,+/-14,33.3%,+/-6.2,13,+/-14,100.0%,+/-79.0,0,+/-21,0.0%,+/-55.9
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,18,+/-21,(X),(X),8,+/-13,(X),(X),10,+/-16,(X),(X)
High school graduate or higher,18,+/-21,100.0%,+/-67.2,8,+/-13,100.0%,+/-100.0,10,+/-16,100.0%,+/-90.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-67.2,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-90.1
Two or more races,52,+/-53,(X),(X),33,+/-45,(X),(X),19,+/-23,(X),(X)
High school graduate or higher,52,+/-53,100.0%,+/-39.5,33,+/-45,100.0%,+/-49.6,19,+/-23,100.0%,+/-65.4
Bachelor's degree or higher,3,+/-7,5.8%,+/-11.9,3,+/-7,9.1%,+/-24.5,0,+/-21,0.0%,+/-65.4
Hispanic or Latino Origin,137,+/-67,(X),(X),103,+/-65,(X),(X),34,+/-32,(X),(X)
High school graduate or higher,128,+/-68,93.4%,+/-9.5,103,+/-65,100.0%,+/-24.9,25,+/-30,73.5%,+/-34.6
Bachelor's degree or higher,56,+/-58,40.9%,+/-32.5,56,+/-58,54.4%,+/-42.9,0,+/-21,0.0%,+/-48.9
