Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,054",+/-81,(X),(X),"1,092",+/-68,(X),(X),962,+/-47,(X),(X)
Less than high school graduate,379,+/-93,18.5%,+/-4.3,219,+/-69,20.1%,+/-5.7,160,+/-67,16.6%,+/-6.9
High school graduate (includes equivalency),760,+/-158,37.0%,+/-7.6,475,+/-117,43.5%,+/-10.8,285,+/-107,29.6%,+/-11.4
Some college or associate's degree,765,+/-134,37.2%,+/-6.5,364,+/-111,33.3%,+/-10.1,401,+/-100,41.7%,+/-9.9
Bachelor's degree or higher,150,+/-74,7.3%,+/-3.6,34,+/-44,3.1%,+/-4.0,116,+/-66,12.1%,+/-6.8
Population 25 years and over,"17,829",+/-91,(X),(X),"8,750",+/-105,(X),(X),"9,079",+/-107,(X),(X)
Less than 9th grade,271,+/-94,1.5%,+/-0.5,128,+/-67,1.5%,+/-0.8,143,+/-55,1.6%,+/-0.6
"9th to 12th grade, no diploma",862,+/-158,4.8%,+/-0.9,380,+/-115,4.3%,+/-1.3,482,+/-108,5.3%,+/-1.2
High school graduate (includes equivalency),"6,713",+/-356,37.7%,+/-2.0,"3,358",+/-274,38.4%,+/-3.2,"3,355",+/-244,37.0%,+/-2.7
"Some college, no degree","4,278",+/-284,24.0%,+/-1.6,"2,232",+/-236,25.5%,+/-2.7,"2,046",+/-226,22.5%,+/-2.5
Associate's degree,"2,016",+/-272,11.3%,+/-1.5,959,+/-212,11.0%,+/-2.4,"1,057",+/-202,11.6%,+/-2.2
Bachelor's degree,"2,388",+/-325,13.4%,+/-1.8,"1,134",+/-203,13.0%,+/-2.3,"1,254",+/-215,13.8%,+/-2.3
Graduate or professional degree,"1,301",+/-185,7.3%,+/-1.0,559,+/-121,6.4%,+/-1.4,742,+/-112,8.2%,+/-1.2
Percent high school graduate or higher,(X),(X),93.6%,+/-1.0,(X),(X),94.2%,+/-1.5,(X),(X),93.1%,+/-1.2
Percent bachelor's degree or higher,(X),(X),20.7%,+/-2.1,(X),(X),19.3%,+/-2.7,(X),(X),22.0%,+/-2.6
Population 25 to 34 years,"2,834",+/-112,(X),(X),"1,411",+/-61,(X),(X),"1,423",+/-90,(X),(X)
High school graduate or higher,"2,678",+/-125,94.5%,+/-3.0,"1,341",+/-75,95.0%,+/-4.3,"1,337",+/-100,94.0%,+/-4.0
Bachelor's degree or higher,718,+/-154,25.3%,+/-5.0,272,+/-84,19.3%,+/-5.8,446,+/-125,31.3%,+/-7.8
Population 35 to 44 years,"3,018",+/-71,(X),(X),"1,463",+/-26,(X),(X),"1,555",+/-69,(X),(X)
High school graduate or higher,"2,983",+/-74,98.8%,+/-0.7,"1,456",+/-28,99.5%,+/-0.5,"1,527",+/-72,98.2%,+/-1.3
Bachelor's degree or higher,696,+/-173,23.1%,+/-5.8,265,+/-104,18.1%,+/-7.1,431,+/-106,27.7%,+/-6.8
Population 45 to 64 years,"7,605",+/-50,(X),(X),"3,827",+/-26,(X),(X),"3,778",+/-35,(X),(X)
High school graduate or higher,"7,156",+/-154,94.1%,+/-2.0,"3,583",+/-98,93.6%,+/-2.5,"3,573",+/-81,94.6%,+/-2.0
Bachelor's degree or higher,"1,470",+/-215,19.3%,+/-2.8,665,+/-132,17.4%,+/-3.4,805,+/-159,21.3%,+/-4.2
Population 65 years and over,"4,372",+/-90,(X),(X),"2,049",+/-91,(X),(X),"2,323",+/-10,(X),(X)
High school graduate or higher,"3,879",+/-127,88.7%,+/-2.6,"1,862",+/-108,90.9%,+/-3.2,"2,017",+/-84,86.8%,+/-3.6
Bachelor's degree or higher,805,+/-132,18.4%,+/-2.9,491,+/-104,24.0%,+/-4.8,314,+/-79,13.5%,+/-3.4
