Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,965,+/-31,(X),(X),532,+/-30,(X),(X),433,+/-8,(X),(X)
Less than high school graduate,296,+/-73,30.7%,+/-7.4,181,+/-69,34.0%,+/-12.9,115,+/-45,26.6%,+/-10.4
High school graduate (includes equivalency),344,+/-89,35.6%,+/-9.3,228,+/-64,42.9%,+/-12.0,116,+/-50,26.8%,+/-11.6
Some college or associate's degree,228,+/-78,23.6%,+/-8.0,94,+/-49,17.7%,+/-8.9,134,+/-53,30.9%,+/-12.3
Bachelor's degree or higher,97,+/-50,10.1%,+/-5.2,29,+/-36,5.5%,+/-6.8,68,+/-34,15.7%,+/-8.0
Population 25 years and over,"8,884",+/-79,(X),(X),"4,437",+/-78,(X),(X),"4,447",+/-63,(X),(X)
Less than 9th grade,334,+/-112,3.8%,+/-1.3,193,+/-78,4.3%,+/-1.8,141,+/-61,3.2%,+/-1.4
"9th to 12th grade, no diploma",667,+/-144,7.5%,+/-1.6,321,+/-86,7.2%,+/-1.9,346,+/-105,7.8%,+/-2.4
High school graduate (includes equivalency),"4,127",+/-261,46.5%,+/-3.0,"2,250",+/-193,50.7%,+/-4.4,"1,877",+/-160,42.2%,+/-3.6
"Some college, no degree","2,192",+/-249,24.7%,+/-2.8,"1,025",+/-158,23.1%,+/-3.6,"1,167",+/-169,26.2%,+/-3.7
Associate's degree,519,+/-130,5.8%,+/-1.4,182,+/-76,4.1%,+/-1.7,337,+/-94,7.6%,+/-2.1
Bachelor's degree,727,+/-125,8.2%,+/-1.4,328,+/-84,7.4%,+/-1.9,399,+/-88,9.0%,+/-2.0
Graduate or professional degree,318,+/-73,3.6%,+/-0.8,138,+/-50,3.1%,+/-1.1,180,+/-50,4.0%,+/-1.1
Percent high school graduate or higher,(X),(X),88.7%,+/-1.9,(X),(X),88.4%,+/-2.4,(X),(X),89.0%,+/-2.6
Percent bachelor's degree or higher,(X),(X),11.8%,+/-1.8,(X),(X),10.5%,+/-2.4,(X),(X),13.0%,+/-2.3
Population 25 to 34 years,"1,365",+/-46,(X),(X),674,+/-5,(X),(X),691,+/-46,(X),(X)
High school graduate or higher,"1,179",+/-86,86.4%,+/-5.1,597,+/-52,88.6%,+/-7.8,582,+/-71,84.2%,+/-8.3
Bachelor's degree or higher,149,+/-61,10.9%,+/-4.5,58,+/-36,8.6%,+/-5.4,91,+/-49,13.2%,+/-7.4
Population 35 to 44 years,"1,533",+/-52,(X),(X),820,+/-51,(X),(X),713,+/-23,(X),(X)
High school graduate or higher,"1,382",+/-82,90.2%,+/-4.5,747,+/-65,91.1%,+/-5.5,635,+/-50,89.1%,+/-7.0
Bachelor's degree or higher,334,+/-88,21.8%,+/-5.8,124,+/-49,15.1%,+/-5.9,210,+/-65,29.5%,+/-9.1
Population 45 to 64 years,"3,670",+/-68,(X),(X),"1,846",+/-61,(X),(X),"1,824",+/-39,(X),(X)
High school graduate or higher,"3,408",+/-100,92.9%,+/-2.2,"1,688",+/-78,91.4%,+/-2.5,"1,720",+/-54,94.3%,+/-2.9
Bachelor's degree or higher,358,+/-87,9.8%,+/-2.4,149,+/-51,8.1%,+/-2.8,209,+/-62,11.5%,+/-3.4
Population 65 years and over,"2,316",+/-34,(X),(X),"1,097",+/-20,(X),(X),"1,219",+/-18,(X),(X)
High school graduate or higher,"1,914",+/-98,82.6%,+/-4.0,891,+/-71,81.2%,+/-6.3,"1,023",+/-61,83.9%,+/-4.7
Bachelor's degree or higher,204,+/-73,8.8%,+/-3.2,135,+/-59,12.3%,+/-5.3,69,+/-39,5.7%,+/-3.2
