RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"8,601",+/-51,(X),(X),"4,297",+/-38,(X),(X),"4,304",+/-59,(X),(X)
High school graduate or higher,"7,681",+/-166,89.3%,+/-1.8,"3,798",+/-108,88.4%,+/-2.4,"3,883",+/-122,90.2%,+/-2.4
Bachelor's degree or higher,"1,023",+/-159,11.9%,+/-1.8,451,+/-104,10.5%,+/-2.4,572,+/-102,13.3%,+/-2.4
"White alone, not Hispanic or Latino","8,481",+/-18,(X),(X),"4,244",+/-18,(X),(X),"4,237",+/-18,(X),(X)
High school graduate or higher,"7,564",+/-157,89.2%,+/-1.9,"3,747",+/-105,88.3%,+/-2.5,"3,817",+/-102,90.1%,+/-2.4
Bachelor's degree or higher,"1,016",+/-157,12.0%,+/-1.9,451,+/-104,10.6%,+/-2.4,565,+/-100,13.3%,+/-2.4
Black alone,52,+/-60,(X),(X),45,+/-57,(X),(X),7,+/-10,(X),(X)
High school graduate or higher,52,+/-60,100.0%,+/-39.5,45,+/-57,100.0%,+/-42.5,7,+/-10,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-39.5,0,+/-18,0.0%,+/-42.5,0,+/-18,0.0%,+/-100.0
American Indian or Alaska Native alone,19,+/-21,(X),(X),13,+/-15,(X),(X),6,+/-9,(X),(X)
High school graduate or higher,19,+/-21,100.0%,+/-65.4,13,+/-15,100.0%,+/-79.0,6,+/-9,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-65.4,0,+/-18,0.0%,+/-79.0,0,+/-18,0.0%,+/-100.0
Asian alone,32,+/-32,(X),(X),15,+/-23,(X),(X),17,+/-25,(X),(X)
High school graduate or higher,15,+/-23,46.9%,+/-53.1,15,+/-23,100.0%,+/-73.6,0,+/-18,0.0%,+/-69.1
Bachelor's degree or higher,15,+/-23,46.9%,+/-53.1,15,+/-23,100.0%,+/-73.6,0,+/-18,0.0%,+/-69.1
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,79,+/-52,(X),(X),28,+/-33,(X),(X),51,+/-35,(X),(X)
High school graduate or higher,49,+/-48,62.0%,+/-40.9,23,+/-36,82.1%,+/-58.3,26,+/-23,51.0%,+/-42.6
Bachelor's degree or higher,0,+/-18,0.0%,+/-30.6,0,+/-18,0.0%,+/-53.8,0,+/-18,0.0%,+/-39.9
Two or more races,101,+/-42,(X),(X),39,+/-30,(X),(X),62,+/-32,(X),(X)
High school graduate or higher,67,+/-45,66.3%,+/-28.1,29,+/-32,74.4%,+/-33.2,38,+/-30,61.3%,+/-35.2
Bachelor's degree or higher,7,+/-12,6.9%,+/-11.3,0,+/-18,0.0%,+/-45.6,7,+/-12,11.3%,+/-16.8
Hispanic or Latino Origin,230,+/-12,(X),(X),88,+/-47,(X),(X),142,+/-51,(X),(X)
High school graduate or higher,180,+/-42,78.3%,+/-17.8,81,+/-49,92.0%,+/-13.0,99,+/-56,69.7%,+/-26.4
Bachelor's degree or higher,7,+/-14,3.0%,+/-6.0,0,+/-18,0.0%,+/-28.2,7,+/-14,4.9%,+/-9.6
