Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"5,438",+/-161,(X),(X),"2,853",+/-120,(X),(X),"2,585",+/-103,(X),(X)
Less than high school graduate,679,+/-147,12.5%,+/-2.7,375,+/-102,13.1%,+/-3.5,304,+/-105,11.8%,+/-4.1
High school graduate (includes equivalency),"1,870",+/-274,34.4%,+/-4.8,"1,208",+/-195,42.3%,+/-6.9,662,+/-169,25.6%,+/-6.3
Some college or associate's degree,"2,677",+/-260,49.2%,+/-4.5,"1,190",+/-198,41.7%,+/-6.5,"1,487",+/-150,57.5%,+/-5.4
Bachelor's degree or higher,212,+/-87,3.9%,+/-1.6,80,+/-48,2.8%,+/-1.7,132,+/-74,5.1%,+/-2.9
Population 25 years and over,"24,705",+/-140,(X),(X),"13,210",+/-129,(X),(X),"11,495",+/-113,(X),(X)
Less than 9th grade,839,+/-177,3.4%,+/-0.7,440,+/-112,3.3%,+/-0.8,399,+/-135,3.5%,+/-1.2
"9th to 12th grade, no diploma","2,144",+/-276,8.7%,+/-1.1,"1,294",+/-210,9.8%,+/-1.6,850,+/-166,7.4%,+/-1.5
High school graduate (includes equivalency),"10,562",+/-542,42.8%,+/-2.2,"5,609",+/-361,42.5%,+/-2.7,"4,953",+/-348,43.1%,+/-3.1
"Some college, no degree","5,322",+/-399,21.5%,+/-1.6,"2,867",+/-285,21.7%,+/-2.1,"2,455",+/-277,21.4%,+/-2.4
Associate's degree,"2,075",+/-296,8.4%,+/-1.2,"1,170",+/-250,8.9%,+/-1.9,905,+/-191,7.9%,+/-1.7
Bachelor's degree,"2,149",+/-285,8.7%,+/-1.1,944,+/-183,7.1%,+/-1.4,"1,205",+/-214,10.5%,+/-1.8
Graduate or professional degree,"1,614",+/-288,6.5%,+/-1.2,886,+/-182,6.7%,+/-1.4,728,+/-170,6.3%,+/-1.5
Percent high school graduate or higher,(X),(X),87.9%,+/-1.4,(X),(X),86.9%,+/-1.9,(X),(X),89.1%,+/-1.7
Percent bachelor's degree or higher,(X),(X),15.2%,+/-1.8,(X),(X),13.9%,+/-1.7,(X),(X),16.8%,+/-2.5
Population 25 to 34 years,"4,478",+/-92,(X),(X),"2,723",+/-86,(X),(X),"1,755",+/-59,(X),(X)
High school graduate or higher,"3,848",+/-137,85.9%,+/-2.8,"2,241",+/-120,82.3%,+/-3.9,"1,607",+/-93,91.6%,+/-4.1
Bachelor's degree or higher,634,+/-181,14.2%,+/-4.0,192,+/-80,7.1%,+/-2.9,442,+/-145,25.2%,+/-8.2
Population 35 to 44 years,"4,503",+/-87,(X),(X),"2,552",+/-84,(X),(X),"1,951",+/-34,(X),(X)
High school graduate or higher,"4,053",+/-136,90.0%,+/-2.6,"2,269",+/-108,88.9%,+/-3.7,"1,784",+/-73,91.4%,+/-3.3
Bachelor's degree or higher,829,+/-228,18.4%,+/-5.1,395,+/-135,15.5%,+/-5.3,434,+/-118,22.2%,+/-6.1
Population 45 to 64 years,"10,212",+/-100,(X),(X),"5,484",+/-80,(X),(X),"4,728",+/-59,(X),(X)
High school graduate or higher,"9,134",+/-210,89.4%,+/-1.9,"4,833",+/-162,88.1%,+/-2.7,"4,301",+/-107,91.0%,+/-2.0
Bachelor's degree or higher,"1,645",+/-268,16.1%,+/-2.6,939,+/-160,17.1%,+/-2.9,706,+/-172,14.9%,+/-3.6
Population 65 years and over,"5,512",+/-45,(X),(X),"2,451",+/-8,(X),(X),"3,061",+/-44,(X),(X)
High school graduate or higher,"4,687",+/-177,85.0%,+/-3.2,"2,133",+/-111,87.0%,+/-4.5,"2,554",+/-127,83.4%,+/-4.0
Bachelor's degree or higher,655,+/-178,11.9%,+/-3.2,304,+/-100,12.4%,+/-4.1,351,+/-120,11.5%,+/-3.9
