Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,937",+/-66,(X),(X),"1,013",+/-53,(X),(X),924,+/-33,(X),(X)
Less than high school graduate,455,+/-89,23.5%,+/-4.4,251,+/-69,24.8%,+/-6.5,204,+/-57,22.1%,+/-6.4
High school graduate (includes equivalency),782,+/-120,40.4%,+/-6.1,470,+/-76,46.4%,+/-7.5,312,+/-87,33.8%,+/-9.2
Some college or associate's degree,621,+/-104,32.1%,+/-5.2,261,+/-69,25.8%,+/-6.6,360,+/-73,39.0%,+/-7.6
Bachelor's degree or higher,79,+/-44,4.1%,+/-2.3,31,+/-22,3.1%,+/-2.2,48,+/-31,5.2%,+/-3.3
Population 25 years and over,"17,429",+/-70,(X),(X),"8,390",+/-71,(X),(X),"9,039",+/-41,(X),(X)
Less than 9th grade,766,+/-147,4.4%,+/-0.8,456,+/-118,5.4%,+/-1.4,310,+/-72,3.4%,+/-0.8
"9th to 12th grade, no diploma","1,605",+/-175,9.2%,+/-1.0,842,+/-125,10.0%,+/-1.5,763,+/-127,8.4%,+/-1.4
High school graduate (includes equivalency),"7,608",+/-304,43.7%,+/-1.7,"3,887",+/-240,46.3%,+/-2.8,"3,721",+/-222,41.2%,+/-2.4
"Some college, no degree","3,706",+/-273,21.3%,+/-1.6,"1,853",+/-186,22.1%,+/-2.2,"1,853",+/-185,20.5%,+/-2.0
Associate's degree,"1,466",+/-184,8.4%,+/-1.1,529,+/-108,6.3%,+/-1.3,937,+/-162,10.4%,+/-1.8
Bachelor's degree,"1,320",+/-161,7.6%,+/-0.9,482,+/-91,5.7%,+/-1.1,838,+/-132,9.3%,+/-1.4
Graduate or professional degree,958,+/-154,5.5%,+/-0.9,341,+/-83,4.1%,+/-1.0,617,+/-123,6.8%,+/-1.4
Percent high school graduate or higher,(X),(X),86.4%,+/-1.2,(X),(X),84.5%,+/-2.0,(X),(X),88.1%,+/-1.5
Percent bachelor's degree or higher,(X),(X),13.1%,+/-1.3,(X),(X),9.8%,+/-1.6,(X),(X),16.1%,+/-2.0
Population 25 to 34 years,"2,654",+/-65,(X),(X),"1,314",+/-59,(X),(X),"1,340",+/-62,(X),(X)
High school graduate or higher,"2,306",+/-89,86.9%,+/-3.4,"1,100",+/-70,83.7%,+/-5.2,"1,206",+/-59,90.0%,+/-4.4
Bachelor's degree or higher,494,+/-118,18.6%,+/-4.4,132,+/-52,10.0%,+/-3.9,362,+/-95,27.0%,+/-7.0
Population 35 to 44 years,"3,034",+/-53,(X),(X),"1,532",+/-39,(X),(X),"1,502",+/-24,(X),(X)
High school graduate or higher,"2,722",+/-104,89.7%,+/-3.3,"1,307",+/-83,85.3%,+/-5.4,"1,415",+/-49,94.2%,+/-2.9
Bachelor's degree or higher,442,+/-97,14.6%,+/-3.1,116,+/-48,7.6%,+/-3.1,326,+/-87,21.7%,+/-5.7
Population 45 to 64 years,"7,008",+/-61,(X),(X),"3,477",+/-49,(X),(X),"3,531",+/-55,(X),(X)
High school graduate or higher,"6,284",+/-128,89.7%,+/-1.9,"3,099",+/-100,89.1%,+/-2.7,"3,185",+/-88,90.2%,+/-2.5
Bachelor's degree or higher,810,+/-146,11.6%,+/-2.1,337,+/-88,9.7%,+/-2.5,473,+/-101,13.4%,+/-2.8
Population 65 years and over,"4,733",+/-39,(X),(X),"2,067",+/-17,(X),(X),"2,666",+/-33,(X),(X)
High school graduate or higher,"3,746",+/-141,79.1%,+/-2.9,"1,586",+/-84,76.7%,+/-4.0,"2,160",+/-100,81.0%,+/-3.7
Bachelor's degree or higher,532,+/-100,11.2%,+/-2.1,238,+/-62,11.5%,+/-3.0,294,+/-72,11.0%,+/-2.7
