RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"16,914",+/-110,(X),(X),"8,164",+/-62,(X),(X),"8,750",+/-69,(X),(X)
High school graduate or higher,"14,514",+/-276,85.8%,+/-1.6,"6,864",+/-192,84.1%,+/-2.3,"7,650",+/-162,87.4%,+/-1.9
Bachelor's degree or higher,"2,293",+/-266,13.6%,+/-1.6,833,+/-142,10.2%,+/-1.7,"1,460",+/-183,16.7%,+/-2.1
"White alone, not Hispanic or Latino","16,630",+/-79,(X),(X),"8,004",+/-41,(X),(X),"8,626",+/-39,(X),(X)
High school graduate or higher,"14,421",+/-268,86.7%,+/-1.6,"6,804",+/-184,85.0%,+/-2.3,"7,617",+/-162,88.3%,+/-1.8
Bachelor's degree or higher,"2,293",+/-266,13.8%,+/-1.6,833,+/-142,10.4%,+/-1.8,"1,460",+/-183,16.9%,+/-2.1
Black alone,97,+/-39,(X),(X),56,+/-38,(X),(X),41,+/-33,(X),(X)
High school graduate or higher,80,+/-31,82.5%,+/-18.4,50,+/-37,89.3%,+/-20.0,30,+/-32,73.2%,+/-45.2
Bachelor's degree or higher,27,+/-32,27.8%,+/-33.4,0,+/-21,0.0%,+/-38.1,27,+/-32,65.9%,+/-49.6
American Indian or Alaska Native alone,2,+/-6,(X),(X),2,+/-6,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-100.0,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-100.0,0,+/-21,-,**
Asian alone,51,+/-45,(X),(X),6,+/-9,(X),(X),45,+/-44,(X),(X)
High school graduate or higher,51,+/-45,100.0%,+/-39.9,6,+/-9,100.0%,+/-100.0,45,+/-44,100.0%,+/-42.5
Bachelor's degree or higher,45,+/-43,88.2%,+/-18.8,6,+/-9,100.0%,+/-100.0,39,+/-44,86.7%,+/-26.2
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,138,+/-89,(X),(X),62,+/-45,(X),(X),76,+/-50,(X),(X)
High school graduate or higher,110,+/-82,79.7%,+/-18.6,46,+/-42,74.2%,+/-29.6,64,+/-48,84.2%,+/-23.2
Bachelor's degree or higher,9,+/-12,6.5%,+/-10.8,4,+/-6,6.5%,+/-12.8,5,+/-7,6.6%,+/-10.5
Two or more races,202,+/-64,(X),(X),93,+/-57,(X),(X),109,+/-59,(X),(X)
High school graduate or higher,171,+/-59,84.7%,+/-14.8,62,+/-45,66.7%,+/-28.6,109,+/-59,100.0%,+/-23.7
Bachelor's degree or higher,6,+/-11,3.0%,+/-5.8,0,+/-21,0.0%,+/-27.0,6,+/-11,5.5%,+/-11.4
Hispanic or Latino Origin,398,+/-37,(X),(X),216,+/-42,(X),(X),182,+/-23,(X),(X)
High school graduate or higher,162,+/-78,40.7%,+/-17.6,83,+/-46,38.4%,+/-17.8,79,+/-50,43.4%,+/-29.7
Bachelor's degree or higher,0,+/-21,0.0%,+/-7.3,0,+/-21,0.0%,+/-12.9,0,+/-21,0.0%,+/-15.2
