RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"9,371",+/-38,(X),(X),"4,554",+/-24,(X),(X),"4,817",+/-27,(X),(X)
High school graduate or higher,"7,374",+/-244,78.7%,+/-2.6,"3,498",+/-169,76.8%,+/-3.6,"3,876",+/-152,80.5%,+/-3.1
Bachelor's degree or higher,"1,079",+/-181,11.5%,+/-1.9,386,+/-97,8.5%,+/-2.1,693,+/-132,14.4%,+/-2.7
"White alone, not Hispanic or Latino","9,320",+/-20,(X),(X),"4,521",+/-8,(X),(X),"4,799",+/-13,(X),(X)
High school graduate or higher,"7,338",+/-242,78.7%,+/-2.6,"3,475",+/-167,76.9%,+/-3.7,"3,863",+/-149,80.5%,+/-3.1
Bachelor's degree or higher,"1,079",+/-181,11.6%,+/-1.9,386,+/-97,8.5%,+/-2.1,693,+/-132,14.4%,+/-2.8
Black alone,24,+/-37,(X),(X),18,+/-32,(X),(X),6,+/-11,(X),(X)
High school graduate or higher,11,+/-18,45.8%,+/-52.9,5,+/-10,27.8%,+/-48.4,6,+/-11,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-17,0.0%,+/-55.7,0,+/-17,0.0%,+/-64.3,0,+/-17,0.0%,+/-100.0
American Indian or Alaska Native alone,30,+/-29,(X),(X),30,+/-29,(X),(X),0,+/-17,(X),(X)
High school graduate or higher,0,+/-17,0.0%,+/-49.8,0,+/-17,0.0%,+/-49.8,0,+/-17,-,**
Bachelor's degree or higher,0,+/-17,0.0%,+/-49.8,0,+/-17,0.0%,+/-49.8,0,+/-17,-,**
Asian alone,12,+/-16,(X),(X),0,+/-17,(X),(X),12,+/-16,(X),(X)
High school graduate or higher,12,+/-16,100.0%,+/-78.7,0,+/-17,-,**,12,+/-16,100.0%,+/-78.7
Bachelor's degree or higher,0,+/-17,0.0%,+/-78.7,0,+/-17,-,**,0,+/-17,0.0%,+/-78.7
Native Hawaiian and Other Pacific Islander alone,0,+/-17,(X),(X),0,+/-17,(X),(X),0,+/-17,(X),(X)
High school graduate or higher,0,+/-17,-,**,0,+/-17,-,**,0,+/-17,-,**
Bachelor's degree or higher,0,+/-17,-,**,0,+/-17,-,**,0,+/-17,-,**
Some other race alone,17,+/-24,(X),(X),12,+/-19,(X),(X),5,+/-9,(X),(X)
High school graduate or higher,17,+/-24,100.0%,+/-66.2,12,+/-19,100.0%,+/-78.7,5,+/-9,100.0%,+/-100.0
Bachelor's degree or higher,9,+/-16,52.9%,+/-52.9,4,+/-7,33.3%,+/-54.6,5,+/-9,100.0%,+/-100.0
Two or more races,196,+/-41,(X),(X),89,+/-42,(X),(X),107,+/-43,(X),(X)
High school graduate or higher,135,+/-48,68.9%,+/-17.0,51,+/-35,57.3%,+/-28.1,84,+/-42,78.5%,+/-21.3
Bachelor's degree or higher,3,+/-5,1.5%,+/-2.2,3,+/-5,3.4%,+/-4.9,0,+/-17,0.0%,+/-22.4
Hispanic or Latino Origin,59,+/-38,(X),(X),41,+/-24,(X),(X),18,+/-27,(X),(X)
High school graduate or higher,44,+/-29,74.6%,+/-27.1,31,+/-21,75.6%,+/-36.7,13,+/-22,72.2%,+/-37.1
Bachelor's degree or higher,0,+/-17,0.0%,+/-35.2,0,+/-17,0.0%,+/-42.6,0,+/-17,0.0%,+/-64.3
