Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,981,+/-31,(X),(X),477,+/-17,(X),(X),504,+/-31,(X),(X)
Less than high school graduate,232,+/-67,23.6%,+/-6.9,146,+/-57,30.6%,+/-12.0,86,+/-41,17.1%,+/-8.0
High school graduate (includes equivalency),314,+/-100,32.0%,+/-10.2,121,+/-55,25.4%,+/-11.6,193,+/-71,38.3%,+/-13.9
Some college or associate's degree,426,+/-108,43.4%,+/-10.6,207,+/-66,43.4%,+/-13.9,219,+/-71,43.5%,+/-13.7
Bachelor's degree or higher,9,+/-10,0.9%,+/-1.0,3,+/-5,0.6%,+/-1.0,6,+/-6,1.2%,+/-1.2
Population 25 years and over,"9,629",+/-75,(X),(X),"4,756",+/-73,(X),(X),"4,873",+/-45,(X),(X)
Less than 9th grade,666,+/-160,6.9%,+/-1.7,396,+/-113,8.3%,+/-2.4,270,+/-100,5.5%,+/-2.1
"9th to 12th grade, no diploma","1,389",+/-221,14.4%,+/-2.3,767,+/-154,16.1%,+/-3.1,622,+/-141,12.8%,+/-2.9
High school graduate (includes equivalency),"3,827",+/-263,39.7%,+/-2.7,"2,047",+/-192,43.0%,+/-4.1,"1,780",+/-192,36.5%,+/-3.9
"Some college, no degree","2,064",+/-270,21.4%,+/-2.8,999,+/-175,21.0%,+/-3.7,"1,065",+/-177,21.9%,+/-3.6
Associate's degree,535,+/-120,5.6%,+/-1.3,145,+/-69,3.0%,+/-1.4,390,+/-111,8.0%,+/-2.3
Bachelor's degree,722,+/-163,7.5%,+/-1.7,290,+/-92,6.1%,+/-1.9,432,+/-120,8.9%,+/-2.5
Graduate or professional degree,426,+/-98,4.4%,+/-1.0,112,+/-64,2.4%,+/-1.3,314,+/-83,6.4%,+/-1.7
Percent high school graduate or higher,(X),(X),78.7%,+/-2.8,(X),(X),75.5%,+/-4.1,(X),(X),81.7%,+/-3.2
Percent bachelor's degree or higher,(X),(X),11.9%,+/-2.2,(X),(X),8.5%,+/-2.5,(X),(X),15.3%,+/-3.0
Population 25 to 34 years,"1,562",+/-75,(X),(X),804,+/-73,(X),(X),758,+/-20,(X),(X)
High school graduate or higher,"1,227",+/-110,78.6%,+/-7.5,576,+/-72,71.6%,+/-10.9,651,+/-66,85.9%,+/-8.1
Bachelor's degree or higher,220,+/-112,14.1%,+/-7.3,71,+/-47,8.8%,+/-5.9,149,+/-79,19.7%,+/-10.4
Population 35 to 44 years,"1,606",+/-33,(X),(X),835,+/-33,(X),(X),771,+/-17,(X),(X)
High school graduate or higher,"1,328",+/-99,82.7%,+/-6.2,667,+/-73,79.9%,+/-8.6,661,+/-74,85.7%,+/-9.6
Bachelor's degree or higher,276,+/-120,17.2%,+/-7.5,79,+/-58,9.5%,+/-6.9,197,+/-83,25.6%,+/-10.8
Population 45 to 64 years,"3,779",+/-73,(X),(X),"1,848",+/-52,(X),(X),"1,931",+/-36,(X),(X)
High school graduate or higher,"3,151",+/-150,83.4%,+/-3.7,"1,514",+/-96,81.9%,+/-4.8,"1,637",+/-103,84.8%,+/-4.8
Bachelor's degree or higher,420,+/-88,11.1%,+/-2.3,143,+/-63,7.7%,+/-3.4,277,+/-77,14.3%,+/-4.0
Population 65 years and over,"2,682",+/-44,(X),(X),"1,269",+/-41,(X),(X),"1,413",+/-26,(X),(X)
High school graduate or higher,"1,868",+/-154,69.6%,+/-5.7,836,+/-116,65.9%,+/-9.1,"1,032",+/-77,73.0%,+/-5.4
Bachelor's degree or higher,232,+/-111,8.7%,+/-4.1,109,+/-60,8.6%,+/-4.7,123,+/-61,8.7%,+/-4.3
