RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"11,387",+/-56,(X),(X),"5,556",+/-56,(X),(X),"5,831",+/-18,(X),(X)
High school graduate or higher,"9,802",+/-226,86.1%,+/-2.0,"4,824",+/-152,86.8%,+/-2.8,"4,978",+/-135,85.4%,+/-2.3
Bachelor's degree or higher,"1,694",+/-253,14.9%,+/-2.2,814,+/-139,14.7%,+/-2.5,880,+/-155,15.1%,+/-2.7
"White alone, not Hispanic or Latino","11,313",+/-18,(X),(X),"5,482",+/-18,(X),(X),"5,831",+/-18,(X),(X)
High school graduate or higher,"9,755",+/-225,86.2%,+/-2.0,"4,777",+/-155,87.1%,+/-2.8,"4,978",+/-135,85.4%,+/-2.3
Bachelor's degree or higher,"1,694",+/-253,15.0%,+/-2.2,814,+/-139,14.8%,+/-2.5,880,+/-155,15.1%,+/-2.7
Black alone,135,+/-64,(X),(X),66,+/-42,(X),(X),69,+/-66,(X),(X)
High school graduate or higher,96,+/-67,71.1%,+/-27.4,27,+/-29,40.9%,+/-37.2,69,+/-66,100.0%,+/-33.6
Bachelor's degree or higher,0,+/-18,0.0%,+/-19.8,0,+/-18,0.0%,+/-34.6,0,+/-18,0.0%,+/-33.6
American Indian or Alaska Native alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Asian alone,2,+/-3,(X),(X),0,+/-18,(X),(X),2,+/-3,(X),(X)
High school graduate or higher,2,+/-3,100.0%,+/-100.0,0,+/-18,-,**,2,+/-3,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**,0,+/-18,0.0%,+/-100.0
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,54,+/-58,(X),(X),54,+/-58,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,16,+/-22,29.6%,+/-53.4,16,+/-22,29.6%,+/-53.4,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-38.8,0,+/-18,0.0%,+/-38.8,0,+/-18,-,**
Two or more races,92,+/-47,(X),(X),36,+/-36,(X),(X),56,+/-33,(X),(X)
High school graduate or higher,92,+/-47,100.0%,+/-27.2,36,+/-36,100.0%,+/-47.5,56,+/-33,100.0%,+/-38.1
Bachelor's degree or higher,40,+/-51,43.5%,+/-35.2,17,+/-30,47.2%,+/-52.0,23,+/-28,41.1%,+/-37.5
Hispanic or Latino Origin,145,+/-34,(X),(X),145,+/-34,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,80,+/-36,55.2%,+/-28.6,80,+/-36,55.2%,+/-28.6,0,+/-18,-,**
Bachelor's degree or higher,17,+/-30,11.7%,+/-20.4,17,+/-30,11.7%,+/-20.4,0,+/-18,-,**
